date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,2.94,3.09,2.94,3.09,3.09,16416.0,0.0,1.0
2021-04-15,3.15,3.15,2.94,2.94,2.94,29828.0,0.0,1.0
2021-04-14,3.15,3.245,3.15,3.15,3.15,13547.0,0.0,1.0
2021-04-13,3.26,3.3,3.1113,3.15,3.15,41675.0,0.0,1.0
2021-04-12,3.45,3.48,3.25,3.25,3.25,69103.0,0.0,1.0
2021-04-09,3.36,3.48,3.36,3.45,3.45,24219.0,0.0,1.0
2021-04-08,3.37,3.48,3.37,3.41,3.41,26953.0,0.0,1.0
2021-04-07,3.37,3.4776,3.312,3.39,3.39,34654.0,0.0,1.0
2021-04-06,3.53,3.55,3.36,3.36,3.36,23007.0,0.0,1.0
2021-04-05,3.5,3.5962,3.41,3.53,3.53,15947.0,0.0,1.0
2021-04-01,3.3,3.46,3.3,3.4,3.4,31417.0,0.0,1.0
2021-03-31,3.18,3.3754,3.16,3.25,3.25,25905.0,0.0,1.0
2021-03-30,3.29,3.29,3.15,3.24,3.24,93529.0,0.0,1.0
2021-03-29,3.58,3.65,3.35,3.37,3.37,77104.0,0.0,1.0
2021-03-26,3.67,3.8,3.55,3.55,3.55,72397.0,0.0,1.0
2021-03-25,3.55,3.8699,3.55,3.69,3.69,113986.0,0.0,1.0
2021-03-24,3.73,3.77,3.55,3.56,3.56,140117.0,0.0,1.0
2021-03-23,4.08,4.23,3.66,3.74,3.74,310280.0,0.0,1.0
2021-03-22,3.8,4.65,3.56,4.06,4.06,1123923.0,0.0,1.0
2021-03-19,3.79,4.04,3.6343,3.79,3.79,274057.0,0.0,1.0
2021-03-18,3.39,4.3,3.39,3.86,3.86,1353498.0,0.0,1.0
2021-03-17,3.36,3.49,3.27,3.39,3.39,51787.0,0.0,1.0
2021-03-16,3.46,3.53,3.35,3.43,3.43,32844.0,0.0,1.0
2021-03-15,3.6,3.62,3.3101,3.43,3.43,73770.0,0.0,1.0
2021-03-12,3.74,3.74,3.5003,3.53,3.53,59134.0,0.0,1.0
2021-03-11,3.55,3.86,3.5,3.78,3.78,195248.0,0.0,1.0
2021-03-10,3.2701,3.79,3.2701,3.55,3.55,300105.0,0.0,1.0
2021-03-09,3.12,3.41,3.12,3.26,3.26,52341.0,0.0,1.0
2021-03-08,3.04,3.2599,2.995,3.15,3.15,42612.0,0.0,1.0
2021-03-05,2.92,3.09,2.8101,3.02,3.02,50578.0,0.0,1.0
2021-03-04,3.45,3.52,2.98,2.98,2.98,71689.0,0.0,1.0
2021-03-03,3.62,3.7799,3.45,3.45,3.45,135610.0,0.0,1.0
2021-03-02,3.61,3.67,3.47,3.57,3.57,17249.0,0.0,1.0
2021-03-01,3.62,3.68,3.5254,3.63,3.63,37601.0,0.0,1.0
2021-02-26,3.71,3.71,3.45,3.47,3.47,79728.0,0.0,1.0
2021-02-25,3.74,3.81,3.5501,3.61,3.61,109604.0,0.0,1.0
2021-02-24,3.6,3.86,3.6,3.69,3.69,167263.0,0.0,1.0
2021-02-23,4.28,4.28,3.51,3.52,3.52,506777.0,0.0,1.0
2021-02-22,4.22,4.93,4.15,4.61,4.61,1877677.0,0.0,1.0
2021-02-19,4.2,4.28,4.15,4.16,4.16,78504.0,0.0,1.0
2021-02-18,4.56,4.62,4.02,4.11,4.11,280463.0,0.0,1.0
2021-02-17,4.49,4.735,4.43,4.49,4.49,348316.0,0.0,1.0
2021-02-16,4.45,4.6,4.32,4.42,4.42,246675.0,0.0,1.0
2021-02-12,3.97,4.91,3.9038,4.38,4.38,1661191.0,0.0,1.0
2021-02-11,4.0,4.02,3.78,3.95,3.95,195963.0,0.0,1.0
2021-02-10,4.42,4.44,3.8554,3.96,3.96,415365.0,0.0,1.0
2021-02-09,3.83,4.12,3.76,4.07,4.07,429877.0,0.0,1.0
2021-02-08,3.66,3.85,3.6589,3.82,3.82,90899.0,0.0,1.0
2021-02-05,3.72,3.79,3.61,3.63,3.63,184626.0,0.0,1.0
2021-02-04,3.77,3.91,3.65,3.72,3.72,119179.0,0.0,1.0
2021-02-03,3.71,4.2,3.64,3.77,3.77,710053.0,0.0,1.0
2021-02-02,3.71,3.8366,3.5401,3.68,3.68,150800.0,0.0,1.0
2021-02-01,3.5,3.75,3.43,3.7,3.7,139113.0,0.0,1.0
2021-01-29,3.52,3.54,3.4,3.5,3.5,117589.0,0.0,1.0
2021-01-28,3.6,3.62,3.4,3.52,3.52,185211.0,0.0,1.0
2021-01-27,3.36,4.04,3.35,3.56,3.56,414159.0,0.0,1.0
2021-01-26,3.61,3.61,3.35,3.44,3.44,181529.0,0.0,1.0
2021-01-25,3.46,3.55,3.3,3.42,3.42,161746.0,0.0,1.0
2021-01-22,3.35,3.58,3.22,3.46,3.46,184801.0,0.0,1.0
2021-01-21,3.52,3.6191,3.34,3.44,3.44,334972.0,0.0,1.0
2021-01-20,4.01,4.01,3.55,3.7,3.7,535255.0,0.0,1.0
2021-01-19,3.27,3.59,3.01,3.52,3.52,965944.0,0.0,1.0
2021-01-15,3.5565,3.63,3.04,3.44,3.44,2455476.0,0.0,1.0
2021-01-14,3.33,5.75,3.16,3.55,3.55,84564024.0,0.0,1.0
2021-01-13,2.42,2.54,2.284,2.38,2.38,187994.0,0.0,1.0
2021-01-12,2.21,2.7,2.14,2.63,2.63,721630.0,0.0,1.0
2021-01-11,2.1411,2.25,2.11,2.2,2.2,52798.0,0.0,1.0
2021-01-08,2.2,2.28,2.05,2.22,2.22,79858.0,0.0,1.0
2021-01-07,2.11,2.3,2.04,2.15,2.15,94407.0,0.0,1.0
2021-01-06,2.07,2.14,2.07,2.12,2.12,40282.0,0.0,1.0
2021-01-05,2.02,2.11,1.9981,2.08,2.08,42628.0,0.0,1.0
2021-01-04,2.02,2.0369,1.92,2.02,2.02,42855.0,0.0,1.0
2020-12-31,2.06,2.1,1.98,2.0,2.0,47834.0,0.0,1.0
2020-12-30,2.07,2.1499,2.06,2.1,2.1,20143.0,0.0,1.0
2020-12-29,2.18,2.19,2.06,2.11,2.11,19045.0,0.0,1.0
2020-12-28,2.1,2.2,2.03,2.1758,2.1758,36031.0,0.0,1.0
2020-12-24,2.13,2.2,2.08,2.175,2.175,19279.0,0.0,1.0
2020-12-23,2.18,2.1902,2.08,2.1,2.1,19245.0,0.0,1.0
2020-12-22,2.24,2.24,2.09,2.135,2.135,43362.0,0.0,1.0
2020-12-21,2.02,2.27,2.02,2.2,2.2,44515.0,0.0,1.0
2020-12-18,1.98,2.45,1.98,2.09,2.09,237828.0,0.0,1.0
2020-12-17,2.07,2.07,1.91,2.0,2.0,51607.0,0.0,1.0
2020-12-16,2.04,2.0585,2.0,2.03,2.03,37438.0,0.0,1.0
2020-12-15,2.0902,2.1463,2.04,2.06,2.06,20864.0,0.0,1.0
2020-12-14,2.14,2.15,2.04,2.1195,2.1195,28524.0,0.0,1.0
2020-12-11,2.1537,2.2,2.11,2.18,2.18,25733.0,0.0,1.0
2020-12-10,2.14,2.1719,2.1,2.13,2.13,82639.0,0.0,1.0
2020-12-09,2.2,2.2765,2.11,2.1699,2.1699,42802.0,0.0,1.0
2020-12-08,2.18,2.24,2.15,2.2,2.2,51495.0,0.0,1.0
2020-12-07,2.3342,2.3342,2.18,2.23,2.23,40269.0,0.0,1.0
2020-12-04,2.29,2.31,2.23,2.28,2.28,20171.0,0.0,1.0
2020-12-03,2.41,2.45,2.21,2.3,2.3,32209.0,0.0,1.0
2020-12-02,2.17,2.36,2.14,2.34,2.34,82452.0,0.0,1.0
2020-12-01,2.23,2.251,2.12,2.2,2.2,59458.0,0.0,1.0
2020-11-30,2.54,2.54,2.16,2.23,2.23,113183.0,0.0,1.0
2020-11-27,2.28,2.8893,2.23,2.45,2.45,559581.0,0.0,1.0
2020-11-25,2.16,2.25,2.11,2.2,2.2,182323.0,0.0,1.0
2020-11-24,2.04,2.17,1.93,2.09,2.09,100407.0,0.0,1.0
2020-11-23,2.1,2.12,1.986,2.03,2.03,67260.0,0.0,1.0
2020-11-20,1.96,2.13,1.96,2.07,2.07,89541.0,0.0,1.0
2020-11-19,1.92,2.05,1.9,1.98,1.98,176078.0,0.0,1.0
2020-11-18,1.87,1.91,1.81,1.9,1.9,55933.0,0.0,1.0
2020-11-17,1.89,1.89,1.83,1.8401,1.8401,50450.0,0.0,1.0
2020-11-16,1.86,1.91,1.8,1.88,1.88,76325.0,0.0,1.0
2020-11-13,1.9,1.93,1.8441,1.8795,1.8795,102272.0,0.0,1.0
2020-11-12,1.81,1.94,1.76,1.91,1.91,389388.0,0.0,1.0
2020-11-11,2.04,2.04,1.7501,1.81,1.81,252917.0,0.0,1.0
2020-11-10,2.09,2.18,2.015,2.04,2.04,272927.0,0.0,1.0
2020-11-09,2.61,2.61,1.95,2.09,2.09,250330.0,0.0,1.0
2020-11-06,3.49,3.49,1.84,2.0,2.0,509208.0,0.0,1.0
2020-11-05,3.54,3.68,3.1901,3.5,3.5,72898.0,0.0,1.0
2020-11-04,3.51,3.71,3.45,3.54,3.54,15914.0,0.0,1.0
2020-11-03,3.71,3.72,3.5,3.5,3.5,20349.0,0.0,1.0
2020-11-02,3.4355,3.59,3.4,3.59,3.59,13375.0,0.0,1.0
2020-10-30,3.4823,3.59,3.3401,3.38,3.38,12403.0,0.0,1.0
2020-10-29,3.6,3.6,3.3936,3.59,3.59,5300.0,0.0,1.0
2020-10-28,3.48,3.6,3.35,3.6,3.6,16687.0,0.0,1.0
2020-10-27,3.41,3.6,3.41,3.6,3.6,27256.0,0.0,1.0
2020-10-26,3.61,3.61,3.3101,3.59,3.59,21937.0,0.0,1.0
2020-10-23,3.7,3.7,3.391,3.56,3.56,42007.0,0.0,1.0
2020-10-22,3.52,3.62,3.43,3.535,3.535,10838.0,0.0,1.0
2020-10-21,3.52,3.5864,3.31,3.54,3.54,20657.0,0.0,1.0
2020-10-20,3.7,3.7,3.4101,3.6,3.6,23362.0,0.0,1.0
2020-10-19,3.5,3.68,3.5,3.65,3.65,133426.0,0.0,1.0
2020-10-16,3.4,3.49,3.3801,3.48,3.48,6780.0,0.0,1.0
2020-10-15,3.49,3.49,3.36,3.379,3.379,9902.0,0.0,1.0
2020-10-14,3.4,3.45,3.3655,3.45,3.45,8238.0,0.0,1.0
2020-10-13,3.31,3.49,3.31,3.33,3.33,42472.0,0.0,1.0
2020-10-12,3.35,3.4404,3.21,3.29,3.29,9093.0,0.0,1.0
2020-10-09,3.21,3.5,3.21,3.35,3.35,40243.0,0.0,1.0
2020-10-08,3.15,3.28,3.15,3.2,3.2,16103.0,0.0,1.0
2020-10-07,3.13,3.2,3.13,3.17,3.17,10505.0,0.0,1.0
2020-10-06,3.1701,3.29,3.17,3.2,3.2,5729.0,0.0,1.0
2020-10-05,3.14,3.3,3.13,3.17,3.17,25766.0,0.0,1.0
2020-10-02,3.16,3.22,3.14,3.2,3.2,7209.0,0.0,1.0
2020-10-01,3.2185,3.2775,3.13,3.17,3.17,13193.0,0.0,1.0
2020-09-30,3.21,3.225,3.15,3.15,3.15,10717.0,0.0,1.0
2020-09-29,3.18,3.375,3.17,3.28,3.28,8179.0,0.0,1.0
2020-09-28,3.31,3.39,3.13,3.24,3.24,10142.0,0.0,1.0
2020-09-25,3.21,3.3055,3.2,3.2713,3.2713,9067.0,0.0,1.0
2020-09-24,3.32,3.44,3.15,3.2,3.2,25016.0,0.0,1.0
2020-09-23,3.39,3.5498,3.29,3.5498,3.5498,17169.0,0.0,1.0
2020-09-22,3.3548,3.5,3.3362,3.42,3.42,16220.0,0.0,1.0
2020-09-21,3.34,3.4,3.3,3.32,3.32,24498.0,0.0,1.0
2020-09-18,3.3,3.54,3.24,3.48,3.48,19719.0,0.0,1.0
2020-09-17,3.35,3.42,3.1647,3.34,3.34,14152.0,0.0,1.0
2020-09-16,3.2,3.38,3.2,3.38,3.38,33584.0,0.0,1.0
2020-09-15,3.31,3.41,3.13,3.24,3.24,36910.0,0.0,1.0
2020-09-14,3.22,3.435,3.2,3.37,3.37,72891.0,0.0,1.0
2020-09-11,3.49,3.49,3.14,3.21,3.21,118109.0,0.0,1.0
2020-09-10,4.11,4.15,3.5,3.57,3.57,349233.0,0.0,1.0
2020-09-09,3.45,3.95,3.321,3.91,3.91,324833.0,0.0,1.0
2020-09-08,3.16,3.5,3.16,3.41,3.41,313959.0,0.0,1.0
2020-09-04,3.09,3.22,2.95,3.14,3.14,200654.0,0.0,1.0
2020-09-03,2.99,3.05,2.9,2.98,2.98,49790.0,0.0,1.0
2020-09-02,2.8,3.1304,2.8,3.04,3.04,131414.0,0.0,1.0
2020-09-01,2.79,2.85,2.77,2.85,2.85,71176.0,0.0,1.0
2020-08-31,2.82,2.84,2.72,2.8,2.8,59253.0,0.0,1.0
2020-08-28,2.82,2.82,2.72,2.74,2.74,14593.0,0.0,1.0
2020-08-27,2.7,2.9,2.7,2.78,2.78,71708.0,0.0,1.0
2020-08-26,2.77,2.83,2.62,2.7,2.7,209515.0,0.0,1.0
2020-08-25,2.73,2.87,2.73,2.79,2.79,52962.0,0.0,1.0
2020-08-24,2.82,2.875,2.7001,2.73,2.73,71776.0,0.0,1.0
2020-08-21,2.83,2.98,2.8,2.95,2.95,187955.0,0.0,1.0
2020-08-20,2.8,2.8799,2.8,2.83,2.83,72298.0,0.0,1.0
