date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,12.69,12.69,12.66,12.675,12.675,2078.0,0.0,1.0
2021-04-15,12.69,12.69,12.63,12.69,12.69,1735.0,0.0,1.0
2021-04-14,12.63,12.7,12.63,12.63,12.63,7420.0,0.041,1.0
2021-04-13,12.69,12.69,12.63,12.69,12.648938521,5641.0,0.0,1.0
2021-04-12,12.7,12.7,12.67,12.69,12.648938521,3128.0,0.0,1.0
2021-04-09,12.69,12.69,12.61,12.67,12.6290032357,17202.0,0.0,1.0
2021-04-08,12.7,12.7,12.6946,12.6946,12.6535236367,1714.0,0.0,1.0
2021-04-07,12.7,12.7,12.6,12.66,12.6190355931,10864.0,0.0,1.0
2021-04-06,12.73,12.73,12.67,12.7,12.6589061637,6259.0,0.0,1.0
2021-04-05,12.74,12.74,12.66,12.67,12.6290032357,24483.0,0.0,1.0
2021-04-01,12.77,12.78,12.69,12.7,12.6589061637,3948.0,0.0,1.0
2021-03-31,12.84,12.84,12.66,12.76,12.7187120196,19732.0,0.0,1.0
2021-03-30,12.82,12.84,12.7,12.8385,12.7969580144,1544.0,0.0,1.0
2021-03-29,12.77,12.82,12.54,12.81,12.7685502328,8132.0,0.0,1.0
2021-03-26,12.75,12.86,12.69,12.71,12.6688738063,2699.0,0.0,1.0
2021-03-25,12.91,12.91,12.69,12.69,12.648938521,27343.0,0.0,1.0
2021-03-24,12.78,12.88,12.7,12.88,12.8383237314,36937.0,0.0,1.0
2021-03-23,12.71,12.75,12.7,12.708,12.6668802778,15646.0,0.0,1.0
2021-03-22,12.8,12.8,12.722,12.75,12.7087443769,816.0,0.0,1.0
2021-03-19,12.76,12.78,12.76,12.78,12.7386473049,3635.0,0.0,1.0
2021-03-18,12.72,12.7539,12.45,12.71,12.6688738063,6797.0,0.0,1.0
2021-03-17,12.72,12.75,12.6101,12.66,12.6190355931,9700.0,0.0,1.0
2021-03-16,12.66,12.68,12.63,12.655,12.6140517718,1258.0,0.0,1.0
2021-03-15,12.57,12.68,12.57,12.6,12.5592297372,14764.0,0.0,1.0
2021-03-12,12.75,12.79,12.73,12.745,12.7037605556,12206.0,0.041,1.0
2021-03-11,12.96,12.9671,12.92,12.93,12.8468343488,3569.0,0.0,1.0
2021-03-10,13.04,13.04,12.75,12.87,12.7872202683,31686.0,0.0,1.0
2021-03-09,12.99,13.0,12.86,12.9724,12.8889616324,9531.0,0.0,1.0
2021-03-08,12.91,12.91,12.72,12.88,12.7971559484,3163.0,0.0,1.0
2021-03-05,12.85,12.85,12.75,12.8499,12.7672495513,3499.0,0.0,1.0
2021-03-04,12.84,12.84,12.77,12.79,12.7077348276,4094.0,0.0,1.0
2021-03-03,12.75,12.84,12.7,12.79,12.7077348276,9086.0,0.0,1.0
2021-03-02,12.76,12.92,12.76,12.83,12.747477548,1469.0,0.0,1.0
2021-03-01,12.9,12.9,12.71,12.84,12.7574132281,19715.0,0.0,1.0
2021-02-26,13.0,13.0,12.6838,12.78,12.6977991475,1260.0,0.0,1.0
2021-02-25,13.06,13.06,12.6,12.91,12.8269629886,12758.0,0.0,1.0
2021-02-24,13.08,13.1,12.98,12.99,12.9064484293,3286.0,0.0,1.0
2021-02-23,13.07,13.09,12.97,13.0,12.9163841094,3074.0,0.0,1.0
2021-02-22,13.04,13.05,12.98,13.03,12.9461911497,5399.0,0.0,1.0
2021-02-19,13.08,13.085,12.98,12.98,12.8965127492,2830.0,0.0,1.0
2021-02-18,13.07,13.14,13.0,13.01,12.9263197895,3687.0,0.0,1.0
2021-02-17,13.04,13.1,12.99,12.99,12.9064484293,6352.0,0.0,1.0
2021-02-16,13.19,13.22,13.11,13.11,13.0256765903,4209.0,0.0,1.0
2021-02-12,13.18,13.2313,13.1,13.15,13.0654193107,5503.0,0.041,1.0
2021-02-11,13.26,13.26,13.11,13.154,13.0287715573,1979.0,0.0,1.0
2021-02-10,13.27,13.2776,13.08,13.1906,13.0650231187,8364.0,0.0,1.0
2021-02-09,13.2,13.2552,13.04,13.2552,13.1290081151,2938.0,0.0,1.0
2021-02-08,13.21,13.23,13.1299,13.15,13.024809638,1414.0,0.0,1.0
2021-02-05,13.22,13.23,13.165,13.23,13.1040480237,3196.0,0.0,1.0
2021-02-04,13.16,13.16,13.09,13.16,13.0347144362,2483.0,0.0,1.0
2021-02-03,13.15,13.15,13.09,13.09,12.9653808488,1875.0,0.0,1.0
2021-02-02,13.05,13.1991,13.01,13.1991,13.0734421972,4240.0,0.0,1.0
2021-02-01,13.05,13.05,13.0,13.0,12.876237665,2822.0,0.0,1.0
2021-01-29,13.05,13.05,12.95,13.04,12.9158568578,4538.0,0.0,1.0
2021-01-28,13.09,13.09,12.95,12.96,12.8366184722,13562.0,0.0,1.0
2021-01-27,13.1,13.2,13.02,13.02,12.8960472614,5648.0,0.0,1.0
2021-01-26,13.18,13.18,13.06,13.09,12.9653808488,5126.0,0.0,1.0
2021-01-25,13.11,13.11,13.04,13.07,12.9455712524,6034.0,0.0,1.0
2021-01-22,13.24,13.42,12.83,13.01,12.8861424632,26641.0,0.0,1.0
2021-01-21,13.32,13.32,13.18,13.19,13.0644288308,10125.0,0.0,1.0
2021-01-20,13.32,13.32,13.2501,13.26,13.1337624183,1052.0,0.0,1.0
2021-01-19,13.26,13.26,13.2001,13.25,13.1238576201,1741.0,0.0,1.0
2021-01-15,13.22,13.22,13.15,13.17,13.0446192344,4194.0,0.0,1.0
2021-01-14,13.24,13.46,13.16,13.2,13.074333629,4272.0,0.0,1.0
2021-01-13,13.37,13.37,13.23,13.24,13.1139528219,4970.0,0.0,1.0
2021-01-12,13.23,13.39,13.23,13.28,13.1535720147,4527.0,0.0,1.0
2021-01-11,13.34,13.34,13.23,13.23,13.1040480237,6030.0,0.0,1.0
2021-01-08,13.32,13.47,13.23,13.2345,13.1085051828,8528.0,0.0,1.0
