date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,39.8,40.05,39.49,39.82,39.82,147829.0,0.0,1.0
2021-04-15,39.67,40.21,39.1,39.39,39.39,191408.0,0.0,1.0
2021-04-14,39.56,40.33,39.45,39.84,39.84,253559.0,0.0,1.0
2021-04-13,39.88,39.95,39.04,39.37,39.37,262976.0,0.0,1.0
2021-04-12,40.16,40.62,39.89,40.13,40.13,208358.0,0.0,1.0
2021-04-09,41.03,41.295,40.22,40.32,40.32,271042.0,0.0,1.0
2021-04-08,41.33,41.56,40.95,41.0,41.0,359792.0,0.0,1.0
2021-04-07,42.12,42.12,40.93,41.49,41.49,178369.0,0.0,1.0
2021-04-06,43.17,43.245,42.1,42.14,42.14,215838.0,0.0,1.0
2021-04-05,42.21,43.39,42.1,43.29,43.29,198692.0,0.0,1.0
2021-04-01,42.79,42.79,41.79,42.05,42.05,188095.0,0.0,1.0
2021-03-31,43.25,43.46,42.615,43.06,43.06,315482.0,0.0,1.0
2021-03-30,42.98,43.46,42.81,43.17,43.17,139917.0,0.0,1.0
2021-03-29,42.7,43.66,42.135,42.67,42.67,175289.0,0.0,1.0
2021-03-26,41.81,43.08,41.54,42.91,42.91,178267.0,0.0,1.0
2021-03-25,40.72,41.5,40.4,41.4,41.4,151612.0,0.0,1.0
2021-03-24,40.57,41.3,40.51,40.75,40.75,180025.0,0.0,1.0
2021-03-23,40.25,40.635,39.905,40.25,40.25,276121.0,0.0,1.0
2021-03-22,40.71,40.71,40.02,40.4,40.4,209312.0,0.0,1.0
2021-03-19,40.29,41.23,39.7,40.91,40.91,797430.0,0.0,1.0
2021-03-18,39.22,40.45,39.07,40.2,40.2,263942.0,0.0,1.0
2021-03-17,39.5,39.73,38.61,39.04,39.04,347211.0,0.0,1.0
2021-03-16,38.15,39.12,38.15,39.09,39.09,253481.0,0.0,1.0
2021-03-15,37.61,38.51,36.815,38.5,38.5,243520.0,0.0,1.0
2021-03-12,37.91,38.25,37.57,37.74,37.74,163181.0,0.0,1.0
2021-03-11,37.44,37.615,37.31,37.58,37.58,142260.0,0.0,1.0
2021-03-10,36.75,37.83,36.62,37.59,37.59,209830.0,0.0,1.0
2021-03-09,37.4,37.49,36.64,36.77,36.77,223923.0,0.0,1.0
2021-03-08,36.33,37.66,36.0,37.54,37.54,206492.0,0.0,1.0
2021-03-05,35.46,36.28,35.25,35.88,35.88,211292.0,0.0,1.0
2021-03-04,34.06,35.41,34.06,34.88,34.88,256145.0,0.0,1.0
2021-03-03,33.6,34.86,33.56,34.33,34.33,163340.0,0.0,1.0
2021-03-02,33.44,33.84,33.12,33.43,33.43,130629.0,0.25,1.0
2021-03-01,33.8,34.04,33.72,33.86,33.6086638955,146978.0,0.0,1.0
2021-02-26,33.48,33.8,33.22,33.29,33.0428948931,256230.0,0.0,1.0
2021-02-25,33.7,34.14,33.6,33.69,33.439925772,143153.0,0.0,1.0
2021-02-24,33.48,34.15,33.48,33.75,33.4994804038,168954.0,0.0,1.0
2021-02-23,33.69,34.78,33.3,33.4,33.1520783848,255187.0,0.0,1.0
2021-02-22,32.71,33.62,32.61,33.45,33.2017072447,455515.0,0.0,1.0
2021-02-19,33.86,33.87,32.26,32.79,32.5466062945,350595.0,0.0,1.0
2021-02-18,36.04,36.04,33.75,33.95,33.6979958432,249752.0,0.0,1.0
2021-02-17,31.97,32.89,31.86,32.57,32.3282393112,98082.0,0.0,1.0
2021-02-16,31.93,32.3111,31.69,32.04,31.8021733967,167611.0,0.0,1.0
2021-02-12,32.05,32.12,31.6,31.79,31.5540290974,85155.0,0.0,1.0
2021-02-11,31.84,32.58,31.74,32.05,31.8120991686,183628.0,0.0,1.0
2021-02-10,32.22,32.31,31.66,31.7,31.4646971496,111446.0,0.0,1.0
2021-02-09,31.71,32.29,31.435,32.11,31.8716538005,153197.0,0.0,1.0
2021-02-08,31.32,31.63,31.15,31.63,31.3952167458,67191.0,0.0,1.0
2021-02-05,31.55,31.59,30.825,31.21,30.978334323,117320.0,0.0,1.0
