date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,29.4,29.98,29.12,29.9,29.9,406777.0,0.0,1.0
2021-04-15,29.25,29.39,28.83,29.08,29.08,585838.0,0.0,1.0
2021-04-14,28.48,29.11,28.26,29.07,29.07,609482.0,0.0,1.0
2021-04-13,28.67,28.9914,28.16,28.24,28.24,493211.0,0.0,1.0
2021-04-12,28.0,28.43,27.58,28.33,28.33,514537.0,0.0,1.0
2021-04-09,27.61,27.9,27.08,27.85,27.85,371604.0,0.0,1.0
2021-04-08,27.36,27.65,26.98,27.54,27.54,608932.0,0.0,1.0
2021-04-07,27.16,27.4399,26.75,27.25,27.25,410387.0,0.0,1.0
2021-04-06,27.01,27.61,26.99,27.02,27.02,372404.0,0.0,1.0
2021-04-05,27.25,27.3,26.7906,27.01,27.01,281102.0,0.0,1.0
2021-04-01,26.8,27.16,26.42,26.94,26.94,388082.0,0.0,1.0
2021-03-31,27.33,27.44,26.83,26.83,26.83,447239.0,0.0,1.0
2021-03-30,26.43,27.1,26.3,27.04,27.04,360720.0,0.0,1.0
2021-03-29,27.05,27.66,26.35,26.58,26.58,571085.0,0.0,1.0
2021-03-26,26.76,27.39,26.5,27.11,27.11,692581.0,0.0,1.0
2021-03-25,25.85,26.66,25.26,26.65,26.65,859664.0,0.0,1.0
2021-03-24,27.56,27.675,26.03,26.14,26.14,865742.0,0.0,1.0
2021-03-23,28.16,28.315,27.11,27.24,27.24,558899.0,0.0,1.0
2021-03-22,28.89,29.24,28.29,28.35,28.35,770534.0,0.0,1.0
2021-03-19,28.12,28.12,27.4,27.67,27.67,539594.0,0.0,1.0
2021-03-18,27.87,28.11,27.6,27.75,27.75,721890.0,0.0,1.0
2021-03-17,28.15,28.225,27.63,27.87,27.87,578856.0,0.0,1.0
2021-03-16,28.89,28.96,28.24,28.25,28.25,730743.0,0.0,1.0
2021-03-15,28.5,28.83,27.72,28.79,28.79,425956.0,0.0,1.0
2021-03-12,28.65,29.1,28.6,28.61,28.61,801361.0,0.0,1.0
2021-03-11,27.84,28.78,27.41,28.72,28.72,624353.0,0.0,1.0
2021-03-10,27.48,27.81,27.0,27.41,27.41,688477.0,0.0,1.0
2021-03-09,26.54,26.9,26.25,26.33,26.33,411196.0,0.0,1.0
2021-03-08,25.87,26.68,25.79,26.08,26.08,832499.0,0.0,1.0
2021-03-05,25.19,25.82,24.555,25.78,25.78,867680.0,0.0,1.0
2021-03-04,25.37,25.79,24.2019,24.96,24.96,826600.0,0.0,1.0
2021-03-03,26.21,26.5,25.37,25.62,25.62,734511.0,0.0,1.0
2021-03-02,26.31,26.83,25.78,26.14,26.14,1089705.0,0.0,1.0
2021-03-01,26.32,27.29,25.92,27.2,27.2,1128162.0,0.0,1.0
2021-02-26,25.17,26.02,24.465,25.65,25.65,1142023.0,0.0,1.0
2021-02-25,26.13,26.47,25.1,25.22,25.22,578207.0,0.0,1.0
2021-02-24,25.36,26.42,25.11,26.03,26.03,755225.0,0.0,1.0
2021-02-23,25.24,25.5921,24.88,25.38,25.38,712949.0,0.0,1.0
2021-02-22,24.74,25.96,24.54,25.38,25.38,863674.0,0.0,1.0
2021-02-19,24.99,25.29,24.72,24.75,24.75,477398.0,0.0,1.0
2021-02-18,24.59,25.01,24.48,24.86,24.86,401351.0,0.0,1.0
2021-02-17,24.14,24.84,23.95,24.84,24.84,577518.0,0.0,1.0
2021-02-16,23.72,24.32,23.65,24.25,24.25,488687.0,0.0,1.0
2021-02-12,23.26,23.67,23.11,23.64,23.64,304425.0,0.0,1.0
2021-02-11,23.2,23.28,22.91,23.28,23.28,433263.0,0.0,1.0
2021-02-10,23.41,23.41,22.42,23.06,23.06,619329.0,0.0,1.0
2021-02-09,23.23,23.56,22.48,23.22,23.22,666278.0,0.0,1.0
2021-02-08,23.02,23.33,22.57,23.33,23.33,1026260.0,0.0,1.0
2021-02-05,23.57,23.6,22.48,22.82,22.82,1228321.0,0.0,1.0
2021-02-04,22.24,24.15,21.29,23.12,23.12,2079443.0,0.0,1.0
2021-02-03,22.82,23.294,22.36,22.94,22.94,1809373.0,0.0,1.0
2021-02-02,22.93,22.93,22.12,22.65,22.65,1495304.0,0.0,1.0
2021-02-01,21.74,22.93,21.15,22.53,22.53,1245218.0,0.0,1.0
2021-01-29,21.84,22.26,21.4,21.76,21.76,936415.0,0.0,1.0
2021-01-28,21.86,22.28,21.62,22.01,22.01,758254.0,0.0,1.0
2021-01-27,22.26,22.34,21.72,21.81,21.81,806545.0,0.0,1.0
2021-01-26,22.75,22.97,22.385,22.66,22.66,510867.0,0.0,1.0
2021-01-25,22.64,22.97,22.15,22.59,22.59,815881.0,0.0,1.0
2021-01-22,23.18,23.225,22.17,22.72,22.72,932056.0,0.0,1.0
2021-01-21,23.6,23.95,23.26,23.28,23.28,717985.0,0.0,1.0
2021-01-20,23.66,24.1495,23.03,23.81,23.81,1665780.0,0.0,1.0
2021-01-19,23.75,24.04,23.48,24.01,24.01,759061.0,0.0,1.0
2021-01-15,23.68,23.765,23.01,23.46,23.46,717195.0,0.0,1.0
2021-01-14,22.91,23.95,22.8,23.74,23.74,1284385.0,0.0,1.0
2021-01-13,23.11,23.13,22.59,22.84,22.84,474247.0,0.0,1.0
2021-01-12,22.98,23.2,22.55,23.04,23.04,704778.0,0.0,1.0
2021-01-11,23.13,23.365,22.64,23.11,23.11,807412.0,0.0,1.0
2021-01-08,23.85,24.04,23.22,23.4,23.4,1034752.0,0.0,1.0
2021-01-07,24.02,24.4,23.47,23.74,23.74,1359758.0,0.0,1.0
2021-01-06,25.08,25.53,23.78,24.21,24.21,8651316.0,0.0,1.0
2021-01-05,25.31,25.49,24.585,25.21,25.21,1195877.0,0.0,1.0
2021-01-04,25.31,25.85,24.02,25.1,25.1,1787528.0,0.0,1.0
2020-12-31,26.18,26.19,24.74,25.19,25.19,3811439.0,0.0,1.0
2020-12-30,23.19,23.96,23.14,23.45,23.45,440161.0,0.0,1.0
2020-12-29,23.37,23.59,22.78,23.21,23.21,380007.0,0.0,1.0
2020-12-28,23.56,23.695,23.04,23.46,23.46,351704.0,0.0,1.0
2020-12-24,23.58,23.605,22.91,23.34,23.34,269406.0,0.0,1.0
2020-12-23,23.06,23.7,22.92,23.69,23.69,504037.0,0.0,1.0
2020-12-22,22.7,23.07,22.49,23.0,23.0,872920.0,0.0,1.0
2020-12-21,22.3,22.71,22.03,22.71,22.71,704625.0,0.0,1.0
2020-12-18,22.06,22.87,22.03,22.6,22.6,727310.0,0.0,1.0
2020-12-17,21.72,22.03,21.0,22.02,22.02,694467.0,0.0,1.0
2020-12-16,21.49,22.13,21.3,21.6,21.6,542356.0,0.0,1.0
2020-12-15,21.34,21.43,21.08,21.23,21.23,329057.0,0.0,1.0
2020-12-14,21.75,21.87,21.05,21.17,21.17,293778.0,0.0,1.0
2020-12-11,21.64,21.83,21.17,21.54,21.54,305356.0,0.0,1.0
2020-12-10,21.9,22.13,21.55,21.74,21.74,452433.0,0.0,1.0
2020-12-09,22.87,23.06,21.85,22.0,22.0,427079.0,0.0,1.0
2020-12-08,22.23,23.055,21.89,22.59,22.59,643196.0,0.0,1.0
2020-12-07,22.23,22.55,22.18,22.26,22.26,333768.0,0.0,1.0
2020-12-04,22.43,22.63,22.21,22.36,22.36,429006.0,0.0,1.0
2020-12-03,22.5,22.5,22.09,22.25,22.25,415701.0,0.0,1.0
2020-12-02,21.73,22.62,21.49,22.49,22.49,682959.0,0.0,1.0
2020-12-01,22.0,22.0,21.37,21.93,21.93,461270.0,0.0,1.0
2020-11-30,21.63,21.94,21.29,21.74,21.74,458998.0,0.0,1.0
2020-11-27,21.84,21.85,21.27,21.62,21.62,168238.0,0.0,1.0
2020-11-25,21.94,22.0338,21.56,21.83,21.83,274682.0,0.0,1.0
2020-11-24,22.44,22.46,21.96,22.27,22.27,495459.0,0.0,1.0
