date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,0.77,0.835,0.75,0.81,0.81,13461.0,0.0,1.0
2021-04-15,0.87,0.87,0.82,0.87,0.87,74400.0,0.0,1.0
2021-04-14,0.87,0.8701,0.85,0.87,0.87,26902.0,0.0,1.0
2021-04-13,0.99,0.99,0.81,0.849999,0.849999,15003.0,0.0,1.0
2021-04-12,0.91,1.0,0.9,0.9,0.9,76924.0,0.0,1.0
2021-04-09,0.91,0.9201,0.87,0.91,0.91,103761.0,0.0,1.0
2021-04-08,0.96,0.96,0.88,0.89,0.89,2287.0,0.0,1.0
2021-04-07,0.9501,0.9505,0.889899,0.95,0.95,46111.0,0.0,1.0
2021-04-06,0.86,1.04,0.86,0.91,0.91,61070.0,0.0,1.0
2021-04-05,0.82,0.86,0.82,0.86,0.86,40638.0,0.0,1.0
2021-04-01,0.85,0.892501,0.85,0.8576,0.8576,27370.0,0.0,1.0
2021-03-31,0.79,0.8903,0.7831,0.89,0.89,136328.0,0.0,1.0
2021-03-30,0.7895,0.7895,0.7,0.707,0.707,243800.0,0.0,1.0
2021-03-29,0.79,0.79,0.7005,0.73,0.73,21694.0,0.0,1.0
2021-03-26,0.7,0.7543,0.68,0.730101,0.730101,60096.0,0.0,1.0
2021-03-25,0.6502,0.709899,0.65,0.66,0.66,19833.0,0.0,1.0
2021-03-24,0.75,0.785,0.66,0.72,0.72,120378.0,0.0,1.0
2021-03-23,0.8411,0.87555,0.761,0.761,0.761,226787.0,0.0,1.0
2021-03-22,0.82,0.880001,0.82,0.84,0.84,250987.0,0.0,1.0
2021-03-19,0.8,0.8,0.7501,0.76,0.76,59460.0,0.0,1.0
2021-03-18,0.85,0.85,0.8,0.8,0.8,52026.0,0.0,1.0
2021-03-17,0.85,0.85,0.811,0.85,0.85,17104.0,0.0,1.0
2021-03-16,0.94,0.94,0.8501,0.8501,0.8501,35912.0,0.0,1.0
2021-03-15,1.01,1.01,0.8501,0.9388,0.9388,117839.0,0.0,1.0
2021-03-12,1.23,1.23,1.01,1.01,1.01,102957.0,0.0,1.0
2021-03-11,1.3,1.3,1.05,1.07,1.07,164701.0,0.0,1.0
2021-03-10,1.04,1.04,0.8554,0.97,0.97,211146.0,0.0,1.0
2021-03-09,1.13,1.19,0.91,0.935,0.935,50217.0,0.0,1.0
2021-03-08,1.05,1.35,1.05,1.08,1.08,5972.0,0.0,1.0
2021-03-05,1.0,1.5,1.0,1.5,1.5,2532.0,0.0,1.0
