date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,25.85,25.95,25.77,25.95,25.95,2380.0,0.0,1.0
2021-04-15,25.775,25.775,25.775,25.775,25.775,4.0,0.0,1.0
2021-04-14,25.7841,25.91,25.76,25.775,25.775,1210.0,0.0,1.0
2021-04-13,25.65,25.8579,25.43,25.8579,25.8579,2850.0,0.0,1.0
2021-04-12,25.94,25.94,25.62,25.62,25.62,1077.0,0.0,1.0
2021-04-09,26.42,26.42,25.6723,25.8482,25.8482,1800.0,0.0,1.0
2021-04-08,25.69,25.69,25.69,25.69,25.69,8.0,0.0,1.0
2021-04-07,25.6,25.69,25.6,25.69,25.69,1653.0,0.0,1.0
2021-04-06,25.61,25.61,25.4001,25.52,25.52,2394.0,0.0,1.0
2021-04-05,25.66,25.66,25.61,25.61,25.61,1101.0,0.0,1.0
2021-04-01,25.45,25.64,25.45,25.64,25.64,1028.0,0.0,1.0
2021-03-31,25.5067,25.5067,25.5067,25.5067,25.5067,1116.0,0.0,1.0
2021-03-30,25.496,25.496,25.47,25.49,25.49,1197.0,0.0,1.0
2021-03-29,25.39,25.39,25.34,25.34,25.34,400.0,0.0,1.0
2021-03-26,25.45,25.45,25.33,25.33,25.33,1719.0,0.0,1.0
2021-03-25,25.3,25.32,25.3,25.32,25.32,297.0,0.0,1.0
2021-03-24,25.4779,25.48,25.47,25.47,25.47,706.0,0.0,1.0
2021-03-23,25.46,25.46,25.45,25.45,25.45,716.0,0.0,1.0
2021-03-22,25.43,25.43,25.43,25.43,25.43,101.0,0.0,1.0
2021-03-19,25.43,25.43,25.43,25.43,25.43,93.0,0.0,1.0
2021-03-18,25.43,25.43,25.43,25.43,25.43,255.0,0.0,1.0
2021-03-17,25.59,25.59,25.48,25.48,25.48,1442.0,0.0,1.0
2021-03-16,25.48,25.48,25.48,25.48,25.48,199.0,0.0,1.0
2021-03-15,25.35,25.4,25.3242,25.4,25.4,4193.0,0.0,1.0
