date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,119.5,119.52,116.09,117.38,117.38,810372.0,0.0,1.0
2021-04-15,118.98,120.6,117.89,119.3,119.3,750300.0,0.0,1.0
2021-04-14,117.89,119.95,117.0765,118.0,118.0,778714.0,0.0,1.0
2021-04-13,121.33,121.33,116.09,118.31,118.31,987988.0,0.0,1.0
2021-04-12,121.4,121.4,117.82,119.7,119.7,980213.0,0.0,1.0
2021-04-09,121.76,121.76,119.81,121.45,121.45,802022.0,0.0,1.0
2021-04-08,120.4,123.285,119.49,122.05,122.05,1292865.0,0.0,1.0
2021-04-07,119.15,120.13,118.41,118.63,118.63,1100795.0,0.0,1.0
2021-04-06,119.32,122.5975,118.53,119.15,119.15,996498.0,0.0,1.0
2021-04-05,124.0,126.4135,118.8301,120.41,120.41,1896566.0,0.0,1.0
2021-04-01,113.5502,120.78,113.25,120.09,120.09,1545511.0,0.0,1.0
2021-03-31,109.89,113.57,109.59,111.8,111.8,1291516.0,0.0,1.0
2021-03-30,105.79,109.45,105.44,108.8,108.8,578223.0,0.0,1.0
2021-03-29,109.59,111.069,105.07,106.6,106.6,955343.0,0.0,1.0
2021-03-26,103.64,110.18,103.44,110.03,110.03,715086.0,0.0,1.0
2021-03-25,100.46,104.24,99.65,103.75,103.75,485918.0,0.0,1.0
2021-03-24,104.7,106.44,102.48,102.65,102.65,794714.0,0.0,1.0
2021-03-23,105.01,105.73,101.78,102.24,102.24,634023.0,0.0,1.0
2021-03-22,105.49,106.78,103.73,105.0,105.0,660176.0,0.0,1.0
2021-03-19,102.23,104.86,100.12,102.87,102.87,812876.0,0.0,1.0
2021-03-18,104.53,105.58,101.5,101.61,101.61,649023.0,0.0,1.0
2021-03-17,104.54,108.19,102.21,106.82,106.82,711471.0,0.0,1.0
2021-03-16,107.16,108.82,104.67,105.44,105.44,715867.0,0.0,1.0
2021-03-15,103.0,105.53,101.64,105.47,105.47,760581.0,0.0,1.0
2021-03-12,101.62,103.81,101.44,102.58,102.58,565747.0,0.0,1.0
2021-03-11,102.22,104.9,99.98,104.66,104.66,1059214.0,0.0,1.0
2021-03-10,103.27,104.1,98.47,98.66,98.66,747374.0,0.0,1.0
