date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,22.94,22.94,22.822,22.92,22.92,107057.0,0.0,1.0
2021-04-15,22.75,22.9299,22.75,22.88,22.88,59548.0,0.0,1.0
2021-04-14,22.85,22.89,22.6914,22.72,22.72,48673.0,0.0,1.0
2021-04-13,22.64,22.81,22.64,22.78,22.78,82713.0,0.0,1.0
2021-04-12,22.6,22.6799,22.51,22.59,22.59,97155.0,0.0,1.0
2021-04-09,22.4,22.6,22.35,22.6,22.6,66173.0,0.0,1.0
2021-04-08,22.43,22.52,22.24,22.38,22.38,107953.0,0.0,1.0
2021-04-07,22.24,22.4,22.18,22.33,22.33,83062.0,0.0,1.0
2021-04-06,22.07,22.25,22.03,22.18,22.18,84999.0,0.0,1.0
2021-04-05,21.91,22.07,21.9077,22.02,22.02,86924.0,0.0,1.0
2021-04-01,21.77,21.84,21.75,21.82,21.82,68588.0,0.0,1.0
2021-03-31,21.31,21.64,21.31,21.61,21.61,182720.0,0.0,1.0
2021-03-30,21.3,21.3398,21.09,21.3,21.3,115667.0,0.0,1.0
2021-03-29,21.19,21.3682,21.0085,21.26,21.26,159581.0,0.0,1.0
2021-03-26,21.06,21.14,20.89,21.09,21.09,109298.0,0.0,1.0
2021-03-25,21.0,21.01,20.68,20.97,20.97,161823.0,0.0,1.0
2021-03-24,21.29,21.3492,21.1,21.13,21.13,87448.0,0.0,1.0
2021-03-23,21.27,21.48,21.13,21.16,21.16,143041.0,0.0988,1.0
2021-03-22,21.34,21.44,21.18,21.32,21.2209155738,127205.0,0.0,1.0
2021-03-19,21.19,21.34,21.0701,21.23,21.1313338476,157714.0,0.0,1.0
2021-03-18,21.62,21.6899,21.11,21.26,21.161194423,220486.0,0.0,1.0
2021-03-17,21.71,21.79,21.57,21.77,21.6688242046,112084.0,0.0,1.0
2021-03-16,21.72,21.89,21.7,21.8,21.6986847799,140780.0,0.0,1.0
2021-03-15,21.67,21.74,21.55,21.72,21.6190565789,206945.0,0.0,1.0
