date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,39.01,39.1,38.7,38.74,38.74,322046.0,0.0,1.0
2021-04-15,38.59,38.74,38.08,38.71,38.71,341137.0,0.0,1.0
2021-04-14,38.43,38.52,38.09,38.39,38.39,250653.0,0.0,1.0
2021-04-13,38.55,39.14,37.84,38.24,38.24,363058.0,0.0,1.0
2021-04-12,38.76,38.98,38.33,38.97,38.97,421789.0,0.0,1.0
2021-04-09,39.42,39.45,38.43,38.59,38.59,714761.0,0.0,1.0
2021-04-08,39.13,39.5799,38.69,39.42,39.42,394801.0,0.0,1.0
2021-04-07,39.65,39.65,38.99,39.01,39.01,333063.0,0.0,1.0
2021-04-06,39.96,40.28,39.43,39.63,39.63,726421.0,0.0,1.0
2021-04-05,38.84,40.07,38.8,39.88,39.88,484469.0,0.0,1.0
2021-04-01,39.54,39.56,38.67,38.75,38.75,451319.0,0.0,1.0
2021-03-31,40.41,40.49,39.565,39.6,39.6,696038.0,0.0,1.0
2021-03-30,39.79,40.39,39.61,40.2,40.2,664126.0,0.0,1.0
2021-03-29,38.31,40.07,38.31,39.9,39.9,628170.0,0.0,1.0
2021-03-26,38.84,39.27,38.03,38.53,38.53,2003235.0,0.0,1.0
2021-03-25,36.79,38.76,36.76,38.5,38.5,576186.0,0.0,1.0
2021-03-24,37.74,38.475,36.88,37.06,37.06,696599.0,0.0,1.0
2021-03-23,37.42,38.33,37.18,37.91,37.91,909167.0,0.0,1.0
2021-03-22,38.75,38.78,36.56,37.41,37.41,1308349.0,0.0,1.0
2021-03-19,39.06,39.4,38.085,38.75,38.75,10708906.0,0.0,1.0
2021-03-18,40.41,41.72,38.93,38.95,38.95,1596796.0,0.0,1.0
2021-03-17,39.25,40.5,38.67,40.43,40.43,1266241.0,0.0,1.0
2021-03-16,37.53,39.29,37.36,39.15,39.15,1166378.0,0.0,1.0
2021-03-15,37.78,38.83,37.58,38.27,38.27,1797582.0,0.0,1.0
2021-03-12,34.97,36.09,34.9,35.68,35.68,941804.0,0.0,1.0
2021-03-11,34.05,35.03,33.61,34.77,34.77,781631.0,0.0,1.0
2021-03-10,32.34,34.28,32.25,34.02,34.02,769480.0,0.0,1.0
2021-03-09,33.23,33.5,32.23,32.3,32.3,505861.0,0.0,1.0
2021-03-08,31.78,33.17,31.76,32.97,32.97,581977.0,0.0,1.0
2021-03-05,30.22,31.65,30.09,31.6,31.6,984878.0,0.0,1.0
2021-03-04,30.61,31.25,29.87,29.99,29.99,527573.0,0.15,1.0
2021-03-03,30.31,31.02,30.065,30.61,30.4576609157,620581.0,0.0,1.0
2021-03-02,30.67,30.965,30.15,30.17,30.0198506967,672388.0,0.0,1.0
2021-03-01,31.03,31.51,30.83,30.91,30.7561678832,409812.0,0.0,1.0
2021-02-26,30.68,31.205,30.2,30.59,30.4377604512,915304.0,0.0,1.0
2021-02-25,31.56,31.8,30.55,30.79,30.6367650962,589036.0,0.0,1.0
2021-02-24,32.15,32.25,31.28,31.5,31.3432315859,756480.0,0.0,1.0
2021-02-23,32.75,32.97,32.16,32.27,32.1093994691,874473.0,0.0,1.0
2021-02-22,31.77,32.77,31.52,32.65,32.4875082946,763292.0,0.0,1.0
2021-02-19,32.72,33.2,31.97,32.03,31.8705938952,538432.0,0.0,1.0
2021-02-18,32.89,33.52,32.64,32.71,32.5472096881,473532.0,0.0,1.0
2021-02-17,33.49,33.76,32.88,33.15,32.9850199071,432334.0,0.0,1.0
2021-02-16,33.0,33.47,32.53,33.27,33.1044226941,523720.0,0.0,1.0
2021-02-12,33.58,33.585,33.22,33.32,33.1541738553,398221.0,0.0,1.0
2021-02-11,34.35,34.585,33.13,33.83,33.6616357001,639284.0,0.0,1.0
2021-02-10,34.54,35.285,34.05,34.44,34.2685998673,782996.0,0.0,1.0
2021-02-09,34.78,36.11,32.82,34.31,34.139246848,859985.0,0.0,1.0
2021-02-08,34.0,34.81,33.86,34.25,34.0795454545,678033.0,0.0,1.0
2021-02-05,33.33,33.89,32.56,33.68,33.5123822163,544262.0,0.0,1.0
2021-02-04,33.0,33.02,32.11,32.91,32.7462143331,546755.0,0.0,1.0
2021-02-03,33.06,33.22,32.34,33.16,32.9949701393,370716.0,0.0,1.0
2021-02-02,34.08,34.105,33.1,33.21,33.0447213006,597671.0,0.0,1.0
2021-02-01,33.42,34.01,33.16,33.8,33.6317850033,368988.0,0.0,1.0
2021-01-29,35.0,35.23,33.37,33.4,33.2337757133,469643.0,0.0,1.0
2021-01-28,36.2,36.88,34.31,35.0,34.8258128733,728125.0,0.0,1.0
2021-01-27,35.22,37.36,35.14,36.36,36.1790444592,457287.0,0.0,1.0
2021-01-26,35.5,36.05,34.83,35.72,35.5422295952,659585.0,0.0,1.0
2021-01-25,33.44,36.58,33.34,35.5,35.3233244857,788944.0,0.0,1.0
2021-01-22,33.85,33.8958,33.09,33.59,33.4228301261,425238.0,0.0,1.0
2021-01-21,34.1,34.34,33.07,34.02,33.8506901128,463512.0,0.0,1.0
2021-01-20,34.42,34.53,34.07,34.19,34.019844061,339210.0,0.0,1.0
2021-01-19,34.58,34.75,34.12,34.42,34.2486994028,378461.0,0.0,1.0
2021-01-15,34.21,34.632,33.77,34.31,34.139246848,428053.0,0.0,1.0
2021-01-14,34.27,34.99,33.92,34.46,34.2885003318,490352.0,0.0,1.0
2021-01-13,34.43,34.55,33.84,34.22,34.0496947578,306108.0,0.0,1.0
2021-01-12,34.94,35.36,34.31,34.46,34.2885003318,582337.0,0.0,1.0
2021-01-11,34.3,35.155,34.3,34.78,34.6069077638,331563.0,0.0,1.0
2021-01-08,35.2,35.2,34.18,34.67,34.497455209,354745.0,0.0,1.0
2021-01-07,35.06,35.305,34.35,34.82,34.6467086928,400141.0,0.0,1.0
2021-01-06,34.48,35.5,34.445,34.98,34.8059124088,548752.0,0.0,1.0
2021-01-05,34.17,34.98,33.86,34.35,34.179047777,278281.0,0.0,1.0
2021-01-04,34.56,34.8,34.13,34.37,34.1989482415,298524.0,0.0,1.0
2020-12-31,35.13,35.24,34.58,34.58,34.4079031188,358529.0,0.0,1.0
2020-12-30,35.5,35.7,34.845,34.99,34.815862641,252531.0,0.0,1.0
2020-12-29,36.01,36.01,35.21,35.25,35.0745686795,233475.0,0.0,1.0
2020-12-28,35.93,36.0,35.47,35.8,35.6218314532,163768.0,0.0,1.0
2020-12-24,35.92,35.92,35.38,35.55,35.373075647,67653.0,0.0,1.0
2020-12-23,35.26,35.82,35.26,35.65,35.4725779695,190386.0,0.0,1.0
2020-12-22,34.91,35.74,34.62,35.26,35.0845189117,312395.0,0.0,1.0
2020-12-21,35.18,35.53,34.48,34.99,34.815862641,348909.0,0.0,1.0
2020-12-18,36.26,36.48,35.87,35.96,35.7810351692,746335.0,0.0,1.0
2020-12-17,36.75,36.75,35.94,36.09,35.9103881885,246153.0,0.0,1.0
2020-12-16,36.81,36.86,36.1,36.45,36.2685965494,253061.0,0.0,1.0
2020-12-15,36.4,36.63,36.06,36.38,36.1989449237,250402.0,0.0,1.0
2020-12-14,36.79,37.085,36.15,36.15,35.970089582,241841.0,0.0,1.0
2020-12-11,36.33,37.085,36.07,36.31,36.1292932979,422332.0,0.0,1.0
2020-12-10,35.78,37.28,35.705,36.77,36.5870039814,748600.0,0.0,1.0
2020-12-09,35.23,36.15,35.08,36.02,35.8407365627,465408.0,0.15,1.0
2020-12-08,34.1,35.2,33.24,35.13,34.8102039106,521986.0,0.0,1.0
2020-12-07,35.24,35.28,34.48,34.79,34.4732990052,316386.0,0.0,1.0
2020-12-04,34.76,35.43,34.65,35.26,34.9390204921,333462.0,0.0,1.0
2020-12-03,34.94,35.81,34.31,34.5,34.1859389387,453434.0,0.0,1.0
2020-12-02,34.73,35.27,34.33,34.89,34.5723886832,360962.0,0.0,1.0
2020-12-01,35.2,35.36,33.96,34.78,34.4633900374,433119.0,0.0,1.0
2020-11-30,35.33,35.505,34.32,34.75,34.4336631339,609576.0,0.0,1.0
2020-11-27,36.15,36.19,35.27,35.68,35.3551971401,172798.0,0.0,1.0
2020-11-25,35.77,36.79,35.77,36.5,36.1677325004,533987.0,0.0,1.0
2020-11-24,36.41,36.57,35.49,36.05,35.721828949,497883.0,0.0,1.0
2020-11-23,35.38,36.66,35.2,36.1,35.771373788,646951.0,0.0,1.0
2020-11-20,35.2,35.66,34.68,35.02,34.7012052648,497565.0,0.0,1.0
2020-11-19,34.67,35.53,34.59,35.19,34.8696577175,295905.0,0.0,1.0
2020-11-18,36.71,36.78,34.5101,34.58,34.2652106812,457859.0,0.0,1.0
2020-11-17,35.94,37.19,35.84,36.64,36.3064580497,575720.0,0.0,1.0
2020-11-16,36.0,36.9,35.46,36.41,36.0785517901,725302.0,0.0,1.0
2020-11-13,34.37,35.49,33.04,35.37,35.048019138,621707.0,0.0,1.0
2020-11-12,32.86,35.71,31.96,33.86,33.551764999,2027588.0,0.0,1.0
2020-11-11,31.65,32.76,31.1,32.38,32.0852377634,726075.0,0.0,1.0
2020-11-10,30.94,31.99,30.73,31.54,31.2528844675,879607.0,0.0,1.0
2020-11-09,30.62,32.11,30.21,30.55,30.2718966544,862244.0,0.0,1.0
2020-11-06,28.53,28.94,28.33,28.82,28.5576452236,208885.0,0.0,1.0
2020-11-05,27.43,28.77,27.34,28.3,28.0423788976,369420.0,0.0,1.0
2020-11-04,27.13,27.75,26.44,27.24,26.9920283099,212867.0,0.0,1.0
2020-11-03,27.2,27.86,26.9794,27.66,27.4082049578,519837.0,0.0,1.0
2020-11-02,26.76,27.14,26.36,26.69,26.4470350804,290563.0,0.0,1.0
2020-10-30,26.7,27.01,25.91,26.22,25.9813135934,347993.0,0.0,1.0
2020-10-29,26.92,26.97,25.5,26.75,26.5064888873,731395.0,0.0,1.0
2020-10-28,27.52,27.94,27.31,27.45,27.2001166338,355807.0,0.0,1.0
