date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.85,9.885,9.8199,9.82,9.82,263781.0,0.0,1.0
2021-04-15,9.95,9.95,9.85,9.85,9.85,225426.0,0.0,1.0
2021-04-14,9.89,9.92,9.87,9.9,9.9,53320.0,0.0,1.0
2021-04-13,9.92,9.97,9.85,9.94,9.94,147888.0,0.0,1.0
2021-04-12,9.82,9.935,9.82,9.92,9.92,305822.0,0.0,1.0
2021-04-09,9.85,9.95,9.82,9.87,9.87,351803.0,0.0,1.0
2021-04-08,9.83,9.94,9.81,9.9,9.9,154999.0,0.0,1.0
2021-04-07,9.8,9.85,9.8,9.85,9.85,113324.0,0.0,1.0
2021-04-06,9.8,9.825,9.785,9.81,9.81,106834.0,0.0,1.0
2021-04-05,9.83,9.83,9.77,9.8,9.8,97519.0,0.0,1.0
2021-04-01,9.79,9.87,9.75,9.81,9.81,206619.0,0.0,1.0
2021-03-31,9.78,9.805,9.75,9.75,9.75,153581.0,0.0,1.0
2021-03-30,9.74,9.83,9.74,9.8,9.8,210797.0,0.0,1.0
2021-03-29,9.78,9.79,9.75,9.77,9.77,63672.0,0.0,1.0
2021-03-26,9.75,9.8,9.7,9.76,9.76,391019.0,0.0,1.0
2021-03-25,9.68,9.76,9.6,9.74,9.74,460690.0,0.0,1.0
2021-03-24,9.72,9.78,9.67,9.69,9.69,470539.0,0.0,1.0
2021-03-23,9.81,9.86,9.77,9.8,9.8,206214.0,0.0,1.0
2021-03-22,9.9,9.9099,9.81,9.83,9.83,115593.0,0.0,1.0
2021-03-19,9.9,9.95,9.86,9.9,9.9,179920.0,0.0,1.0
2021-03-18,9.91,9.95,9.8841,9.92,9.92,172890.0,0.0,1.0
2021-03-17,9.91,9.96,9.8801,9.93,9.93,148055.0,0.0,1.0
2021-03-16,9.91,9.965,9.9,9.93,9.93,421122.0,0.0,1.0
2021-03-15,9.95,9.962,9.9,9.92,9.92,170017.0,0.0,1.0
2021-03-12,9.97,9.99,9.92,9.95,9.95,304819.0,0.0,1.0
2021-03-11,9.91,10.03,9.91,10.0,10.0,594440.0,0.0,1.0
2021-03-10,9.98,9.98,9.86,9.92,9.92,526603.0,0.0,1.0
2021-03-09,10.0,10.0,9.95,9.96,9.96,185506.0,0.0,1.0
2021-03-08,9.98,10.03,9.95,9.99,9.99,942029.0,0.0,1.0
2021-03-05,9.9,9.99,9.74,9.98,9.98,520903.0,0.0,1.0
2021-03-04,9.95,9.98,9.84,9.9,9.9,702578.0,0.0,1.0
2021-03-03,10.07,10.1,9.9,9.99,9.99,771080.0,0.0,1.0
2021-03-02,10.16,10.17,10.01,10.04,10.04,932607.0,0.0,1.0
2021-03-01,10.23,10.26,10.1,10.15,10.15,551124.0,0.0,1.0
2021-02-26,10.16,10.3246,10.08,10.16,10.16,895076.0,0.0,1.0
2021-02-25,10.35,10.4003,10.08,10.23,10.23,462325.0,0.0,1.0
2021-02-24,10.41,10.4659,10.33,10.37,10.37,364868.0,0.0,1.0
2021-02-23,10.48,10.49,10.22,10.44,10.44,772596.0,0.0,1.0
2021-02-22,10.58,10.66,10.5,10.63,10.63,378656.0,0.0,1.0
2021-02-19,10.55,10.65,10.5,10.63,10.63,388798.0,0.0,1.0
2021-02-18,10.44,10.58,10.34,10.52,10.52,417254.0,0.0,1.0
2021-02-17,10.49,10.54,10.46,10.47,10.47,387902.0,0.0,1.0
2021-02-16,10.53,10.56,10.45,10.46,10.46,682759.0,0.0,1.0
2021-02-12,10.59,10.59,10.41,10.51,10.51,352776.0,0.0,1.0
2021-02-11,10.68,10.69,10.555,10.58,10.58,353676.0,0.0,1.0
2021-02-10,10.6,10.7,10.41,10.66,10.66,440362.0,0.0,1.0
2021-02-09,10.54,10.58,10.47,10.53,10.53,328586.0,0.0,1.0
2021-02-08,10.61,10.7,10.41,10.54,10.54,964487.0,0.0,1.0
2021-02-05,10.77,10.78,10.48,10.52,10.52,540205.0,0.0,1.0
2021-02-04,10.74,10.77,10.58,10.68,10.68,521473.0,0.0,1.0
2021-02-03,10.55,10.85,10.48,10.66,10.66,745420.0,0.0,1.0
2021-02-02,10.45,10.58,10.41,10.45,10.45,332839.0,0.0,1.0
2021-02-01,10.28,10.5,10.28,10.39,10.39,639919.0,0.0,1.0
2021-01-29,10.36,10.45,10.22,10.32,10.32,256059.0,0.0,1.0
2021-01-28,10.3,10.45,10.23,10.4,10.4,502525.0,0.0,1.0
