date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,8.14,8.17,7.925,7.99,7.99,2017277.0,0.0,1.0
2021-04-15,8.14,8.14,7.89,8.12,8.12,2667438.0,0.0,1.0
2021-04-14,7.93,8.135,7.87,8.12,8.12,2886485.0,0.0,1.0
2021-04-13,7.89,8.01,7.78,7.85,7.85,3062608.0,0.0,1.0
2021-04-12,7.77,7.91,7.755,7.91,7.91,2913519.0,0.0,1.0
2021-04-09,8.0,8.065,7.67,7.68,7.68,3732615.0,0.0,1.0
2021-04-08,8.26,8.26,7.97,8.03,8.03,3601460.0,0.0,1.0
2021-04-07,8.21,8.44,8.19,8.34,8.34,3564336.0,0.0,1.0
2021-04-06,8.14,8.28,8.11,8.23,8.23,4801420.0,0.0,1.0
2021-04-05,8.43,8.48,7.93,8.1,8.1,4182320.0,0.0,1.0
2021-04-01,8.22,8.495,8.04,8.48,8.48,4868973.0,0.0,1.0
2021-03-31,7.98,8.21,7.93,8.16,8.16,5053537.0,0.0,1.0
2021-03-30,8.35,8.35,7.905,8.02,8.02,5543087.0,0.0,1.0
2021-03-29,8.64,8.75,8.36,8.36,8.36,4147362.0,0.0,1.0
2021-03-26,8.4,8.705,8.33,8.63,8.63,3458786.0,0.0,1.0
2021-03-25,7.94,8.27,7.77,8.25,8.25,3315444.0,0.0,1.0
2021-03-24,7.89,8.125,7.86,8.02,8.02,3219839.0,0.0,1.0
2021-03-23,8.24,8.29,7.735,7.86,7.86,4719258.0,0.0,1.0
2021-03-22,8.26,8.31,8.09,8.22,8.22,3109189.0,0.0,1.0
2021-03-19,7.89,8.44,7.84,8.25,8.25,7540818.0,0.0,1.0
2021-03-18,8.08,8.1,7.79,7.83,7.83,4195665.0,0.0,1.0
2021-03-17,8.11,8.26,7.97,8.08,8.08,4034955.0,0.0,1.0
2021-03-16,8.01,8.23,8.01,8.12,8.12,2362704.0,0.0,1.0
2021-03-15,8.05,8.16,8.01,8.11,8.11,2988652.0,0.0,1.0
2021-03-12,8.16,8.18,7.915,8.06,8.06,2103168.0,0.0,1.0
2021-03-11,8.16,8.285,8.065,8.13,8.13,3189731.0,0.0,1.0
2021-03-10,7.69,8.19,7.69,8.15,8.15,4081632.0,0.0,1.0
2021-03-09,7.82,7.87,7.62,7.69,7.69,2829989.0,0.0,1.0
2021-03-08,7.58,7.855,7.51,7.83,7.83,4773934.0,0.0,1.0
2021-03-05,7.6,7.64,7.24,7.55,7.55,6263368.0,0.0,1.0
2021-03-04,7.51,7.74,7.25,7.44,7.44,6925403.0,0.0,1.0
2021-03-03,7.33,7.555,7.19,7.44,7.44,5579010.0,0.0,1.0
2021-03-02,7.52,7.562,7.33,7.34,7.34,4346728.0,0.0,1.0
2021-03-01,7.35,7.565,7.28,7.5,7.5,3169137.0,0.0,1.0
2021-02-26,7.43,7.49,7.1,7.23,7.23,5653098.0,0.0,1.0
2021-02-25,7.54,7.83,7.41,7.49,7.49,5233055.0,0.0,1.0
2021-02-24,7.29,7.54,7.19,7.52,7.52,6094090.0,0.0,1.0
2021-02-23,7.35,7.3618,6.81,7.28,7.28,5558295.0,0.0,1.0
2021-02-22,7.54,7.58,7.3,7.33,7.33,4005620.0,0.0,1.0
