date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,41.09,41.2,40.715,40.74,40.74,208598.0,0.0,1.0
2021-04-15,40.34,41.07,40.03,40.94,40.94,284622.0,0.0,1.0
2021-04-14,39.98,40.24,39.83,39.92,39.92,227276.0,0.0,1.0
2021-04-13,39.63,39.96,39.28,39.78,39.78,225656.0,0.0,1.0
2021-04-12,39.56,39.86,39.09,39.81,39.81,263217.0,0.0,1.0
2021-04-09,39.51,39.65,39.2,39.56,39.56,167980.0,0.0,1.0
2021-04-08,38.72,39.9,38.66,39.67,39.67,395237.0,0.0,1.0
2021-04-07,39.03,39.26,38.47,38.61,38.61,321209.0,0.0,1.0
2021-04-06,38.66,39.23,38.55,39.09,39.09,404669.0,0.0,1.0
2021-04-05,38.41,39.11,38.01,38.74,38.74,323343.0,0.0,1.0
2021-04-01,37.44,38.27,37.44,38.18,38.18,186106.0,0.0,1.0
2021-03-31,37.25,37.715,36.97,37.22,37.22,517224.0,0.0,1.0
2021-03-30,37.15,37.22,36.6,37.16,37.16,269003.0,0.0,1.0
2021-03-29,37.42,38.08,36.68,37.13,37.13,345956.0,0.0,1.0
2021-03-26,37.06,37.58,36.85,37.56,37.56,239602.0,0.0,1.0
2021-03-25,36.26,36.97,36.025,36.75,36.75,320351.0,0.0,1.0
2021-03-24,36.82,37.28,36.4,36.4,36.4,261506.0,0.0,1.0
2021-03-23,37.26,37.65,36.58,36.69,36.69,349414.0,0.0,1.0
2021-03-22,38.22,38.2445,37.5,37.66,37.66,300829.0,0.0,1.0
2021-03-19,38.3,38.46,37.63,38.19,38.19,982000.0,0.0,1.0
2021-03-18,38.97,39.64,38.2,38.24,38.24,633317.0,0.0,1.0
2021-03-17,37.87,39.09,37.5152,39.05,39.05,540442.0,0.0,1.0
2021-03-16,38.04,38.24,37.58,37.97,37.97,427725.0,0.0,1.0
2021-03-15,37.74,38.32,37.53,38.05,38.05,419490.0,0.0,1.0
2021-03-12,36.91,37.75,36.81,37.71,37.71,373959.0,0.0,1.0
2021-03-11,37.16,37.6,36.89,37.42,37.42,428503.0,0.0,1.0
2021-03-10,36.29,36.86,36.12,36.76,36.76,557519.0,0.0,1.0
2021-03-09,36.9,37.18,36.01,36.1,36.1,704772.0,0.0,1.0
2021-03-08,37.07,37.88,36.52,37.6,37.6,535339.0,0.0,1.0
2021-03-05,37.09,37.09,35.93,36.97,36.97,596722.0,0.0,1.0
2021-03-04,36.81,36.85,36.24,36.5,36.5,788894.0,0.0,1.0
2021-03-03,35.93,37.09,35.82,36.64,36.64,795547.0,0.0,1.0
2021-03-02,36.64,37.0,35.51,36.03,36.03,872145.0,0.0,1.0
2021-03-01,39.05,39.05,35.67,36.76,36.76,1098745.0,0.0,1.0
2021-02-26,37.8,39.15,37.0298,38.9,38.9,664429.0,0.05,1.0
2021-02-25,38.37,38.5,37.45,37.73,37.6815661104,389566.0,0.0,1.0
2021-02-24,37.3,38.65,37.2,38.49,38.4405905006,346929.0,0.0,1.0
2021-02-23,36.75,37.46,36.24,37.3,37.2521181001,436727.0,0.0,1.0
2021-02-22,36.77,37.08,36.36,36.91,36.862618742,269705.0,0.0,1.0
2021-02-19,37.35,37.51,36.89,37.06,37.0124261874,351394.0,0.0,1.0
2021-02-18,37.5,37.7,37.0,37.24,37.192195122,267118.0,0.0,1.0
2021-02-17,37.56,38.18,37.56,37.62,37.5717073171,249724.0,0.0,1.0
2021-02-16,38.36,38.41,37.66,37.96,37.9112708601,298643.0,0.0,1.0
2021-02-12,38.69,38.89,37.86,38.29,38.2408472401,327330.0,0.0,1.0
2021-02-11,38.39,38.78,37.95,38.76,38.7102439024,390722.0,0.0,1.0
2021-02-10,37.97,38.27,37.43,38.22,38.1709370988,425460.0,0.0,1.0
2021-02-09,38.08,38.32,37.73,37.9,37.8513478819,311705.0,0.0,1.0
2021-02-08,37.72,38.05,37.4,38.0,37.9512195122,270569.0,0.0,1.0
2021-02-05,37.89,37.985,37.03,37.58,37.531758665,266036.0,0.0,1.0
2021-02-04,36.9,37.64,36.55,37.56,37.5117843389,335247.0,0.0,1.0
2021-02-03,36.47,36.6444,36.02,36.5,36.4531450578,301184.0,0.0,1.0
2021-02-02,36.06,36.97,35.87,36.72,36.6728626444,189245.0,0.0,1.0
2021-02-01,34.92,35.68,34.07,35.55,35.50436457,278153.0,0.0,1.0
2021-01-29,35.89,35.89,34.64,34.7,34.6554557125,303219.0,0.0,1.0
2021-01-28,35.3,36.29,34.93,36.0,35.9537869063,754061.0,0.0,1.0
2021-01-27,35.21,35.51,33.85,34.8,34.7553273427,489713.0,0.0,1.0
2021-01-26,37.0,37.3205,35.94,35.99,35.9437997433,289871.0,0.0,1.0
2021-01-25,37.21,37.37,35.95,36.65,36.6029525032,492786.0,0.0,1.0
2021-01-22,37.81,38.06,37.04,37.43,37.3819512195,309453.0,0.0,1.0
2021-01-21,38.82,38.82,37.83,38.17,38.1210012837,304271.0,0.0,1.0
2021-01-20,38.8,38.97,38.31,38.68,38.6303465982,233577.0,0.0,1.0
2021-01-19,38.6,38.69,38.06,38.62,38.57042362,359756.0,0.0,1.0
2021-01-15,39.06,39.38,38.17,38.38,38.3307317073,838023.0,0.0,1.0
2021-01-14,39.8,40.08,38.89,39.41,39.3594094994,647587.0,0.0,1.0
2021-01-13,40.12,40.85,39.49,39.58,39.5291912709,356823.0,0.0,1.0
2021-01-12,40.02,40.09,39.28,39.79,39.7389216945,197241.0,0.0,1.0
2021-01-11,39.9,39.91,39.41,39.85,39.7988446727,215175.0,0.0,1.0
2021-01-08,39.96,40.27,39.275,39.85,39.7988446727,326427.0,0.0,1.0
2021-01-07,39.4,39.69,39.09,39.61,39.5591527599,209951.0,0.0,1.0
2021-01-06,38.45,39.99,38.45,39.49,39.4393068036,444246.0,0.0,1.0
2021-01-05,38.34,38.78,38.08,38.33,38.2807958922,351585.0,0.0,1.0
2021-01-04,39.7,39.7,37.49,38.33,38.2807958922,499994.0,0.0,1.0
2020-12-31,39.2,39.76,39.0,39.32,39.2695250321,379064.0,0.0,1.0
2020-12-30,39.43,39.71,39.15,39.33,39.2795121951,288807.0,0.0,1.0
2020-12-29,40.0,40.0,39.11,39.43,39.3793838254,249752.0,0.0,1.0
2020-12-28,40.28,40.38,39.61,39.85,39.7988446727,312820.0,0.0,1.0
2020-12-24,39.57,40.1,39.39,40.03,39.9786136072,109487.0,0.0,1.0
2020-12-23,39.6,39.9432,38.97,39.4,39.3494223363,244111.0,0.0,1.0
2020-12-22,40.62,40.62,39.44,39.65,39.5991014121,330056.0,0.0,1.0
2020-12-21,41.44,41.69,40.19,40.69,40.6377663671,316666.0,0.0,1.0
2020-12-18,41.29,42.35,40.63,42.04,41.9860333761,1070363.0,0.0,1.0
2020-12-17,40.21,41.24,39.8505,41.17,41.1171501926,444088.0,0.0,1.0
2020-12-16,41.05,41.45,39.91,39.97,39.918690629,462640.0,0.0,1.0
2020-12-15,40.7,41.09,40.6223,41.01,40.9573555841,365581.0,0.0,1.0
2020-12-14,40.86,41.45,40.59,40.59,40.5378947368,476310.0,0.0,1.0
2020-12-11,39.74,40.41,39.595,40.3,40.248267009,642645.0,0.0,1.0
