date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,27.44,28.8,26.57,27.08,27.08,55897.0,0.0,1.0
2021-04-15,27.71,29.64,26.78,27.91,27.91,39681.0,0.0,1.0
2021-04-14,27.97,28.865,26.9,28.15,28.15,35844.0,0.0,1.0
2021-04-13,28.52,28.9999,26.37,27.87,27.87,109228.0,0.0,1.0
2021-04-12,29.76,30.65,28.5,28.61,28.61,64401.0,0.0,1.0
2021-04-09,30.04,31.0,28.94,29.54,29.54,95375.0,0.0,1.0
2021-04-08,30.45,31.5,28.35,30.0,30.0,226937.0,0.0,1.0
2021-04-07,29.11,33.08,28.21,30.0,30.0,285150.0,0.0,1.0
2021-04-06,29.47,31.545,28.42,29.58,29.58,174160.0,0.0,1.0
2021-04-05,30.52,32.24,28.15,30.25,30.25,283758.0,0.0,1.0
2021-04-01,30.6,34.99,29.35,30.01,30.01,342346.0,0.0,1.0
2021-03-31,31.43,33.55,27.9,32.5,32.5,425315.0,0.0,1.0
2021-03-30,35.23,37.58,30.2,31.22,31.22,582716.0,0.0,1.0
2021-03-29,26.1,40.49,26.02,35.99,35.99,648946.0,0.0,1.0
2021-03-26,27.0,34.3,25.09,30.0,30.0,1959057.0,0.0,1.0
