date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.99,10.99,10.99,10.99,10.99,0.0,0.0,1.0
2021-04-15,11.25,11.67,10.61,10.99,10.99,2498.0,0.0,1.0
2021-04-14,11.35,11.35,11.3,11.3,11.3,201.0,0.0,1.0
2021-04-13,11.35,11.35,11.35,11.35,11.35,118.0,0.0,1.0
2021-04-12,10.89,11.0,10.89,11.0,11.0,1216.0,0.0,1.0
2021-04-09,11.06,11.06,11.06,11.06,11.06,0.0,0.0,1.0
2021-04-08,12.32,12.32,11.06,11.06,11.06,567.0,0.0,1.0
2021-04-07,10.87,10.87,10.87,10.87,10.87,36.0,0.0,1.0
2021-04-06,10.87,10.87,10.87,10.87,10.87,2.0,0.0,1.0
2021-04-05,10.91,11.5153,10.82,10.87,10.87,8778.0,0.0,1.0
2021-04-01,11.2783,11.5013,10.61,11.23,11.23,21873.0,0.0,1.0
2021-03-31,11.22,11.22,11.22,11.22,11.22,20.0,0.0,1.0
2021-03-30,11.22,11.22,11.22,11.22,11.22,257.0,0.0,1.0
2021-03-29,11.0014,11.0014,11.0014,11.0014,11.0014,100.0,0.0,1.0
2021-03-26,11.1,11.1,11.1,11.1,11.1,5.0,0.0,1.0
2021-03-25,11.1,11.1,11.1,11.1,11.1,54.0,0.0,1.0
2021-03-24,11.1,11.1,11.1,11.1,11.1,265.0,0.0,1.0
2021-03-23,12.2452,12.2452,12.2452,12.2452,12.2452,100.0,0.0,1.0
2021-03-22,13.37,13.37,12.33,12.33,12.33,439.0,0.0,1.0
2021-03-19,12.75,12.75,12.75,12.75,12.75,279.0,0.0,1.0
2021-03-18,12.21,12.21,12.21,12.21,12.21,359.0,0.0,1.0
2021-03-17,13.55,13.55,13.55,13.55,13.55,146.0,0.0,1.0
2021-03-16,14.52,14.55,13.35,13.35,13.35,970.0,0.0,1.0
2021-03-15,15.48,15.48,13.9,14.5,14.5,1107.0,0.0,1.0
2021-03-12,15.61,15.61,14.07,14.07,14.07,531.0,0.0,1.0
2021-03-11,12.67,14.4,12.67,14.4,14.4,2177.0,0.0,1.0
2021-03-10,13.23,14.55,12.5,12.71,12.71,9056.0,0.0,1.0
2021-03-09,12.92,14.85,12.92,13.23,13.23,1984.0,0.0,1.0
2021-03-08,12.85,12.85,12.65,12.65,12.65,1006.0,0.0,1.0
2021-03-05,12.88,12.9,12.4,12.85,12.85,3874.0,0.0,1.0
2021-03-04,14.7,14.7,12.92,14.26,14.26,10441.0,0.0,1.0
2021-03-03,14.4,14.7,14.0,14.7,14.7,3003.0,0.0,1.0
