date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,56.41,56.65,56.4,56.48,56.48,58097.0,0.0,1.0
2021-04-15,56.21,56.21,56.0,56.05,56.05,25985.0,0.0,1.0
2021-04-14,56.09,56.71,56.0,56.05,56.05,70421.0,0.0,1.0
2021-04-13,55.95,56.19,55.84,55.9,55.9,21161.0,0.0,1.0
2021-04-12,56.12,56.25,55.86,55.92,55.92,27883.0,0.0,1.0
2021-04-09,56.18,56.345,55.82,55.96,55.96,28330.0,0.0,1.0
2021-04-08,56.02,56.2,55.8,56.0,56.0,87854.0,0.0,1.0
2021-04-07,56.08,56.08,55.91,55.95,55.95,31506.0,0.0,1.0
2021-04-06,55.95,56.09,55.79,55.98,55.98,41437.0,0.0,1.0
2021-04-05,56.46,56.7,55.95,55.95,55.95,41215.0,0.0,1.0
2021-04-01,55.92,56.04,55.885,56.04,56.04,30034.0,0.0,1.0
2021-03-31,55.79,56.03,55.79,55.92,55.92,50659.0,0.0,1.0
2021-03-30,56.05,56.2,55.88,56.01,56.01,57129.0,0.0,1.0
2021-03-29,55.93,56.25,55.89,55.89,55.89,60133.0,0.0,1.0
2021-03-26,56.27,56.565,55.9,56.22,56.22,84449.0,0.0,1.0
2021-03-25,55.88,56.25,55.84,56.06,56.06,59055.0,0.0,1.0
2021-03-24,56.15,56.73,55.74,55.84,55.84,64121.0,0.0,1.0
2021-03-23,56.18,56.265,55.915,56.02,56.02,56822.0,0.0,1.0
2021-03-22,56.6,56.78,56.0,56.42,56.42,51899.0,0.0,1.0
2021-03-19,57.03,57.03,56.68,56.68,56.68,254491.0,0.0,1.0
2021-03-18,57.36,57.38,56.85,57.0,57.0,73936.0,0.0,1.0
2021-03-17,57.48,57.48,57.0,57.09,57.09,75636.0,0.0,1.0
2021-03-16,57.24,57.48,57.0,57.37,57.37,42787.0,0.0,1.0
2021-03-15,57.79,57.79,56.48,57.33,57.33,67821.0,0.0,1.0
2021-03-12,57.43,58.0,57.18,57.96,57.96,69035.0,0.52,1.0
2021-03-11,57.9,58.0,57.55,57.95,57.4347127223,37750.0,0.0,1.0
2021-03-10,57.53,58.0,56.86,57.9,57.3851573187,62606.0,0.0,1.0
2021-03-09,57.81,58.0,57.05,57.32,56.8103146375,45327.0,0.0,1.0
2021-03-08,57.04,57.85,57.04,57.56,57.0481805746,61110.0,0.0,1.0
2021-03-05,57.26,57.41,56.48,56.76,56.2552941176,68866.0,0.0,1.0
2021-03-04,57.78,57.98,56.44,56.78,56.2751162791,33620.0,0.0,1.0
2021-03-03,57.75,58.3,57.57,57.58,57.068002736,74009.0,0.0,1.0
2021-03-02,57.6,57.68,57.23,57.61,57.0977359781,76019.0,0.0,1.0
2021-03-01,57.75,57.75,57.1138,57.49,56.9788030096,63272.0,0.0,1.0
2021-02-26,57.045,57.5,57.03,57.04,56.5328043776,37109.0,0.0,1.0
2021-02-25,57.59,57.59,57.03,57.25,56.7409370725,37835.0,0.0,1.0
2021-02-24,57.42,57.75,56.73,57.59,57.0779138167,64085.0,0.0,1.0
2021-02-23,56.95,57.54,56.88,57.16,56.6517373461,48349.0,0.0,1.0
2021-02-22,56.67,56.97,56.4008,56.84,56.3345827633,77482.0,0.0,1.0
2021-02-19,56.6,57.0,56.45,56.75,56.2453830369,81348.0,0.0,1.0
2021-02-18,56.33,56.6,56.3,56.51,56.0075170999,64431.0,0.0,1.0
