date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,23.9,23.9,23.31,23.69,23.69,100585.0,0.0,1.0
2021-04-15,23.38,23.55,22.7769,23.53,23.53,108754.0,0.0,1.0
2021-04-14,22.78,23.52,22.78,23.4,23.4,95057.0,0.0,1.0
2021-04-13,23.08,23.32,22.805,22.95,22.95,168472.0,0.0,1.0
2021-04-12,23.23,23.465,23.02,23.32,23.32,83315.0,0.0,1.0
2021-04-09,22.98,23.4441,22.88,23.0,23.0,165432.0,0.0,1.0
2021-04-08,22.92,23.33,22.48,22.98,22.98,127198.0,0.0,1.0
2021-04-07,23.69,23.86,22.87,23.0,23.0,187605.0,0.0,1.0
2021-04-06,23.4,23.83,23.2,23.31,23.31,135533.0,0.0,1.0
2021-04-05,24.06,24.08,23.28,23.45,23.45,167736.0,0.0,1.0
2021-04-01,23.46,24.06,23.23,23.675,23.675,130804.0,0.0,1.0
2021-03-31,23.62,24.1,23.26,23.46,23.46,164357.0,0.0,1.0
2021-03-30,23.21,23.775,23.035,23.55,23.55,112828.0,0.0,1.0
2021-03-29,23.52,23.91,22.8,22.92,22.92,113564.0,0.0,1.0
2021-03-26,23.25,23.99,23.25,23.91,23.91,156180.0,0.0,1.0
2021-03-25,22.52,23.21,22.185,22.97,22.97,291482.0,0.0,1.0
2021-03-24,23.1,23.63,22.46,22.51,22.51,168097.0,0.0,1.0
2021-03-23,23.5,23.5,22.66,22.77,22.77,126544.0,0.0,1.0
2021-03-22,24.45,24.45,23.1,23.46,23.46,122391.0,0.0,1.0
2021-03-19,24.54,24.75,23.93,24.25,24.25,577153.0,0.0,1.0
2021-03-18,24.13,25.59,23.66,24.67,24.67,556706.0,0.0,1.0
2021-03-17,24.01,24.2,23.435,23.61,23.61,160969.0,0.0,1.0
2021-03-16,24.34,24.755,23.66,23.77,23.77,175743.0,0.0,1.0
2021-03-15,24.94,25.06,23.94,24.3,24.3,164951.0,0.0,1.0
2021-03-12,25.12,25.525,24.81,24.85,24.85,220851.0,0.0,1.0
2021-03-11,24.92,25.07,24.56,24.9,24.9,160247.0,0.0,1.0
2021-03-10,24.59,25.04,24.31,24.9,24.9,232010.0,0.0,1.0
2021-03-09,24.7,25.07,24.2,24.47,24.47,218785.0,0.0,1.0
2021-03-08,24.15,25.26,23.835,24.73,24.73,317997.0,0.0,1.0
2021-03-05,25.0,25.0,23.44,23.95,23.95,307821.0,0.0,1.0
2021-03-04,23.79,24.55,22.63,23.13,23.13,277264.0,0.0,1.0
2021-03-03,23.29,23.92,23.24,23.53,23.53,130941.0,0.0,1.0
2021-03-02,23.69,23.69,23.08,23.19,23.19,76031.0,0.0,1.0
2021-03-01,23.26,23.56,23.03,23.49,23.49,152802.0,0.0,1.0
2021-02-26,23.53,23.75,22.85,22.85,22.85,186014.0,0.0,1.0
2021-02-25,24.15,24.23,23.635,23.68,23.68,167925.0,0.0,1.0
2021-02-24,23.58,24.07,23.36,23.89,23.89,203208.0,0.0,1.0
2021-02-23,22.905,23.49,22.68,23.35,23.35,148406.0,0.0,1.0
2021-02-22,21.9,22.73,21.9,22.72,22.72,82800.0,0.0,1.0
2021-02-19,21.77,22.2,21.67,22.18,22.18,107353.0,0.0,1.0
2021-02-18,21.74,22.0,21.44,21.69,21.69,67707.0,0.0,1.0
2021-02-17,21.71,22.07,21.7,21.79,21.79,75746.0,0.0,1.0
2021-02-16,21.59,21.99,21.535,21.84,21.84,113327.0,0.0,1.0
2021-02-12,21.45,22.05,20.0324,21.6,21.6,94278.0,0.0,1.0
2021-02-11,21.67,22.05,21.52,21.81,21.81,73149.0,0.0,1.0
2021-02-10,22.0,22.23,21.8,21.85,21.85,88349.0,0.0,1.0
2021-02-09,21.62,21.99,21.55,21.92,21.92,80735.0,0.0,1.0
2021-02-08,21.29,21.71,21.1121,21.67,21.67,87560.0,0.0,1.0
2021-02-05,21.37,21.44,20.9164,21.03,21.03,85893.0,0.0,1.0
2021-02-04,20.3,21.26,20.16,21.2,21.2,211967.0,0.09,1.0
2021-02-03,20.53,20.62,20.18,20.39,20.3038046031,125706.0,0.0,1.0
2021-02-02,20.64,20.77,20.5,20.67,20.5826209488,111562.0,0.0,1.0
2021-02-01,20.32,20.66,20.01,20.46,20.3735086895,157334.0,0.0,1.0
2021-01-29,20.78,21.11,20.25,20.26,20.1743541569,92786.0,0.0,1.0
2021-01-28,20.82,21.04,20.09,20.77,20.6821982151,119566.0,0.0,1.0
2021-01-27,21.9,21.9,20.35,20.5,20.4133395961,199964.0,0.0,1.0
2021-01-26,21.68,21.93,21.32,21.47,21.3792390794,148943.0,0.0,1.0
2021-01-25,20.98,21.51,20.5938,21.45,21.3593236261,151466.0,0.0,1.0
2021-01-22,20.48,21.32,20.1715,21.29,21.2,181508.0,0.0,1.0
2021-01-21,21.38,21.78,20.6512,20.8,20.712071395,73374.0,0.0,1.0
2021-01-20,21.77,21.77,21.2,21.34,21.2497886332,108338.0,0.0,1.0
2021-01-19,21.44,21.69,21.35,21.59,21.498731799,160003.0,0.0,1.0
2021-01-15,21.15,21.72,21.02,21.35,21.2597463598,120999.0,0.0,1.0
2021-01-14,21.27,21.59,21.15,21.5,21.4091122593,79602.0,0.0,1.0
2021-01-13,21.7,21.78,20.87,21.02,20.9311413809,203230.0,0.0,1.0
2021-01-12,21.32,21.8,21.235,21.64,21.5485204321,221132.0,0.0,1.0
2021-01-11,20.76,21.34,20.18,21.32,21.2298731799,110734.0,0.0,1.0
2021-01-08,21.41,21.45,20.45,20.82,20.7319868483,136086.0,0.0,1.0
2021-01-07,21.5,22.11,21.0,21.49,21.3991545326,257388.0,0.0,1.0
2021-01-06,20.56,21.27,20.08,20.88,20.7917332081,349783.0,0.0,1.0
2021-01-05,19.82,20.17,19.805,19.95,19.8656646313,102501.0,0.0,1.0
2021-01-04,20.08,20.295,19.55,19.8,19.7162987318,116531.0,0.0,1.0
2020-12-31,19.92,20.21,19.92,20.0,19.9154532644,64350.0,0.0,1.0
2020-12-30,19.82,20.25,19.0065,19.88,19.7959605449,68960.0,0.0,1.0
2020-12-29,20.49,20.49,19.85,19.99,19.9054955378,109086.0,0.0,1.0
2020-12-28,20.23,20.56,20.055,20.32,20.2341005167,93112.0,0.0,1.0
2020-12-24,20.04,20.04,19.79,19.97,19.8855800845,43835.0,0.0,1.0
2020-12-23,19.59,20.14,19.59,20.03,19.9453264443,77648.0,0.0,1.0
2020-12-22,19.65,19.808,19.4401,19.56,19.4773132926,75283.0,0.0,1.0
2020-12-21,20.0,20.01,19.27,19.56,19.4773132926,117582.0,0.0,1.0
2020-12-18,20.1,20.41,19.9,19.96,19.8756223579,439487.0,0.0,1.0
2020-12-17,19.97,20.01,19.42,19.92,19.8357914514,165385.0,0.0,1.0
