date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,47.66,48.0,47.03,47.61,47.61,108396.0,0.0,1.0
2021-04-15,46.96,46.96,45.94,46.87,46.87,73850.0,0.0,1.0
2021-04-14,46.5,47.67,46.5,47.03,47.03,88651.0,0.0,1.0
2021-04-13,47.44,47.44,46.3,46.42,46.42,110437.0,0.0,1.0
2021-04-12,47.31,47.78,46.98,47.73,47.73,143951.0,0.0,1.0
2021-04-09,46.75,47.14,46.49,47.1,47.1,129250.0,0.0,1.0
2021-04-08,45.89,46.59,45.3701,46.59,46.59,157067.0,0.0,1.0
2021-04-07,46.41,46.68,45.75,46.06,46.06,124620.0,0.0,1.0
2021-04-06,46.37,46.68,46.07,46.47,46.47,93075.0,0.0,1.0
2021-04-05,47.23,47.53,45.52,46.41,46.41,152117.0,0.0,1.0
2021-04-01,45.83,46.525,45.52,46.52,46.52,110739.0,0.0,1.0
2021-03-31,46.47,46.9,45.51,46.04,46.04,207949.0,0.0,1.0
2021-03-30,46.11,46.88,45.85,46.44,46.44,125494.0,0.0,1.0
2021-03-29,46.42,47.21,45.36,45.66,45.66,191162.0,0.0,1.0
2021-03-26,46.75,47.39,46.43,47.07,47.07,154647.0,0.0,1.0
2021-03-25,45.44,46.58,45.0975,46.2,46.2,255878.0,0.0,1.0
2021-03-24,45.99,47.155,45.45,45.46,45.46,168087.0,0.0,1.0
2021-03-23,46.49,47.0,45.11,45.39,45.39,211748.0,0.0,1.0
2021-03-22,48.23,48.23,46.72,47.07,47.07,231309.0,0.0,1.0
2021-03-19,49.5,49.5,48.38,49.12,49.12,716370.0,0.0,1.0
2021-03-18,49.47,51.24,49.455,49.86,49.86,309062.0,0.0,1.0
2021-03-17,49.3,49.77,48.46,49.09,49.09,127537.0,0.0,1.0
2021-03-16,49.21,49.21,48.27,49.13,49.13,114960.0,0.0,1.0
2021-03-15,50.98,50.98,48.82,49.59,49.59,135487.0,0.0,1.0
2021-03-12,50.0,51.0,49.9,50.82,50.82,274043.0,0.0,1.0
2021-03-11,49.51,49.9,48.85,49.81,49.81,148302.0,0.0,1.0
2021-03-10,48.13,49.735,48.13,49.67,49.67,184048.0,0.0,1.0
2021-03-09,49.14,49.435,47.49,48.09,48.09,168841.0,0.0,1.0
2021-03-08,48.39,49.93,48.23,49.47,49.47,257573.0,0.0,1.0
2021-03-05,47.31,48.05,46.56,47.83,47.83,350275.0,0.0,1.0
2021-03-04,47.13,48.51,45.98,46.45,46.45,222286.0,0.0,1.0
2021-03-03,46.35,48.6,46.05,46.99,46.99,335847.0,0.0,1.0
2021-03-02,46.81,47.485,45.85,45.94,45.94,160650.0,0.0,1.0
2021-03-01,46.52,47.43,45.74,47.1,47.1,278375.0,0.0,1.0
2021-02-26,46.28,46.59,45.145,45.42,45.42,217375.0,0.0,1.0
2021-02-25,47.18,47.46,46.32,46.58,46.58,237370.0,0.0,1.0
2021-02-24,46.1,47.47,45.69,46.96,46.96,306875.0,0.0,1.0
2021-02-23,45.98,46.66,45.28,46.04,46.04,380886.0,0.0,1.0
2021-02-22,44.07,46.28,44.07,45.93,45.93,350950.0,0.0,1.0
2021-02-19,44.04,44.62,43.97,44.36,44.36,207681.0,0.0,1.0
2021-02-18,43.92,44.32,43.76,44.01,44.01,172813.0,0.0,1.0
2021-02-17,43.86,44.2,43.5,44.04,44.04,211806.0,0.0,1.0
2021-02-16,44.0,44.51,43.52,44.11,44.11,331041.0,0.0,1.0
2021-02-12,42.89,43.7,42.89,43.7,43.7,211658.0,0.0,1.0
