date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,17.17,17.17,16.75,16.75,16.75,19588.0,0.0,1.0
2021-04-15,16.96,17.2,16.76,16.81,16.81,19545.0,0.0,1.0
2021-04-14,17.3,17.3,16.9,16.92,16.92,14717.0,0.0,1.0
2021-04-13,16.94,17.26,16.8,16.92,16.92,15022.0,0.0,1.0
2021-04-12,16.92,17.3,16.65,16.67,16.67,29103.0,0.0,1.0
2021-04-09,16.91,16.91,16.7,16.7,16.7,10835.0,0.0,1.0
2021-04-08,16.91,17.0,16.85,16.91,16.91,7973.0,0.0,1.0
2021-04-07,16.9,17.1,16.8,16.95,16.95,38217.0,0.0,1.0
2021-04-06,16.9,17.05,16.82,16.97,16.97,9163.0,0.0,1.0
2021-04-05,17.0,17.0,16.38,16.65,16.65,33315.0,0.0,1.0
2021-04-01,16.66,16.98,16.525,16.86,16.86,32228.0,0.0,1.0
2021-03-31,16.65,17.22,16.35,16.62,16.62,30171.0,0.0,1.0
2021-03-30,16.3,16.66,16.26,16.56,16.56,6378.0,0.0,1.0
2021-03-29,16.66,17.805,16.42,16.44,16.44,19911.0,0.0,1.0
2021-03-26,17.28,17.5,16.51,16.66,16.66,16652.0,0.0,1.0
2021-03-25,17.26,18.23,16.9,17.1,17.1,21880.0,0.0,1.0
2021-03-24,17.79,18.02,17.0,17.32,17.32,21841.0,0.0,1.0
2021-03-23,17.44,17.44,17.15,17.3,17.3,23604.0,0.0,1.0
2021-03-22,17.94,17.94,17.5,17.53,17.53,19763.0,0.0,1.0
2021-03-19,17.58,18.13,17.51,18.13,18.13,120559.0,0.0,1.0
2021-03-18,17.805,17.805,17.62,17.66,17.66,15699.0,0.0,1.0
2021-03-17,18.145,18.145,17.595,17.62,17.62,13662.0,0.0,1.0
2021-03-16,17.51,17.68,17.51,17.68,17.68,12624.0,0.0,1.0
2021-03-15,18.14,18.17,17.65,17.85,17.85,16693.0,0.0,1.0
2021-03-12,17.75,18.24,17.75,18.21,18.21,28263.0,0.0,1.0
2021-03-11,18.02,18.58,17.52,17.75,17.75,30289.0,0.0,1.0
2021-03-10,18.21,18.21,17.43,17.99,17.99,34506.0,0.0,1.0
2021-03-09,18.65,18.74,17.87,18.2,18.2,34914.0,0.0,1.0
2021-03-08,18.0,18.65,17.51,18.64,18.64,44355.0,0.0,1.0
2021-03-05,17.47,18.0,16.69,17.97,17.97,41193.0,0.0,1.0
2021-03-04,17.13,17.48,16.93,17.35,17.35,25888.0,0.0,1.0
2021-03-03,16.99,17.49,16.97,17.22,17.22,20975.0,0.0,1.0
2021-03-02,16.51,17.0,16.51,16.8,16.8,19081.0,0.0,1.0
2021-03-01,16.5,16.57,16.13,16.57,16.57,17016.0,0.0,1.0
2021-02-26,16.48,16.5,16.11,16.28,16.28,27888.0,0.0,1.0
2021-02-25,16.33,16.33,15.89,15.97,15.97,37067.0,0.0,1.0
2021-02-24,16.09,16.39,15.905,16.39,16.39,10829.0,0.0,1.0
2021-02-23,16.13,16.4,15.91,16.02,16.02,16543.0,0.0,1.0
2021-02-22,15.99,16.3415,15.99,16.2,16.2,10525.0,0.0,1.0
2021-02-19,15.78,16.4,15.78,16.1,16.1,17009.0,0.0,1.0
2021-02-18,15.995,16.02,15.61,15.8,15.8,28826.0,0.0,1.0
2021-02-17,16.03,16.38,15.96,16.0,16.0,33486.0,0.0,1.0
2021-02-16,16.4,16.4,16.06,16.24,16.24,10961.0,0.0,1.0
2021-02-12,16.12,16.4,16.035,16.4,16.4,9733.0,0.0,1.0
2021-02-11,15.76,16.43,15.7,16.37,16.37,28996.0,0.06,1.0
2021-02-10,15.9,15.9,15.3,15.7,15.6426658551,18217.0,0.0,1.0
2021-02-09,16.24,16.24,15.61,15.92,15.8618624467,8724.0,0.0,1.0
2021-02-08,15.85,15.99,15.41,15.99,15.9316068168,16173.0,0.0,1.0
2021-02-05,15.18,15.71,15.16,15.71,15.6526293366,8090.0,0.0,1.0
2021-02-04,15.48,15.48,15.24,15.48,15.4234692635,42451.0,0.0,1.0
2021-02-03,15.11,15.69,15.1,15.25,15.1943091905,55989.0,0.0,1.0
2021-02-02,15.01,15.32,14.645,15.24,15.1843457091,56103.0,0.0,1.0
2021-02-01,14.1,15.1794,14.0,14.7,14.6463177115,38234.0,0.0,1.0
2021-01-29,14.66,14.66,13.7,13.7,13.6499695679,19437.0,0.0,1.0
2021-01-28,15.02,15.25,14.37,14.37,14.3175228241,28574.0,0.0,1.0
2021-01-27,15.65,15.75,14.53,14.62,14.56660986,57516.0,0.0,1.0
2021-01-26,16.14,16.22,15.68,15.68,15.6227388923,18413.0,0.0,1.0
2021-01-25,16.22,16.4,16.04,16.32,16.2604017042,9898.0,0.0,1.0
2021-01-22,16.0,16.32,15.495,16.32,16.2604017042,20013.0,0.0,1.0
2021-01-21,16.4,16.4,16.0,16.0,15.9415702982,23849.0,0.0,1.0
2021-01-20,16.43,16.67,16.025,16.17,16.1109494827,23879.0,0.0,1.0
2021-01-19,16.2,16.5,16.1,16.1,16.0412051126,24428.0,0.0,1.0
2021-01-15,16.84,16.84,16.2,16.36,16.3002556299,34337.0,0.0,1.0
2021-01-14,17.0,17.44,17.0,17.05,16.9877358491,12439.0,0.0,1.0
2021-01-13,16.8514,17.1685,16.7,16.82,16.758575776,24002.0,0.0,1.0
2021-01-12,17.06,17.105,16.39,16.8,16.7386488131,15480.0,0.0,1.0
2021-01-11,16.815,17.24,16.5,16.66,16.599160073,24460.0,0.0,1.0
2021-01-08,17.12,17.3,16.64,16.72,16.6589409617,14458.0,0.0,1.0
2021-01-07,16.67,17.73,16.67,17.49,17.4261290323,17020.0,0.0,1.0
2021-01-06,16.14,17.85,16.14,17.3,17.236822885,45492.0,0.0,1.0
2021-01-05,15.64,16.405,15.64,15.85,15.7921180767,51330.0,0.0,1.0
2021-01-04,15.7,15.7,15.57,15.62,15.5629580037,21179.0,0.0,1.0
2020-12-31,15.04,15.96,15.04,15.6,15.5430310408,24112.0,0.0,1.0
2020-12-30,15.6,15.6,15.3685,15.59,15.5330675593,3702.0,0.0,1.0
2020-12-29,15.87,15.87,15.36,15.66,15.6028119294,7581.0,0.0,1.0
2020-12-28,15.75,16.07,15.3501,15.75,15.6924832623,27703.0,0.0,1.0
2020-12-24,15.65,15.75,15.65,15.69,15.6327023737,2202.0,0.0,1.0
2020-12-23,15.45,15.75,15.39,15.57,15.5131405965,23233.0,0.0,1.0
2020-12-22,15.6,15.6,15.26,15.5,15.4433962264,38513.0,0.0,1.0
2020-12-21,15.19,15.62,15.19,15.6,15.5430310408,27480.0,0.0,1.0
2020-12-18,15.66,15.685,15.19,15.19,15.1345283019,80871.0,0.0,1.0
