date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.9,9.9,9.83,9.9,9.9,217185.0,0.0,1.0
2021-04-15,9.93,9.94,9.89,9.92,9.92,228785.0,0.0,1.0
2021-04-14,9.9,9.94,9.885,9.94,9.94,120645.0,0.0,1.0
2021-04-13,9.86,9.95,9.85,9.9,9.9,169013.0,0.0,1.0
2021-04-12,9.9,9.94,9.851,9.9,9.9,202079.0,0.0,1.0
2021-04-09,9.88,9.94,9.88,9.94,9.94,254461.0,0.0,1.0
2021-04-08,9.86,9.92,9.85,9.88,9.88,270727.0,0.0,1.0
2021-04-07,9.86,9.89,9.85,9.88,9.88,287732.0,0.0,1.0
2021-04-06,9.85,9.93,9.85,9.89,9.89,79441.0,0.0,1.0
2021-04-05,9.82,9.9,9.81,9.89,9.89,103863.0,0.0,1.0
2021-04-01,9.77,9.89,9.74,9.87,9.87,174066.0,0.0,1.0
2021-03-31,9.7301,9.79,9.7,9.77,9.77,191235.0,0.0,1.0
2021-03-30,9.75,9.82,9.7,9.73,9.73,134119.0,0.0,1.0
2021-03-29,9.82,9.825,9.73,9.75,9.75,212740.0,0.0,1.0
2021-03-26,9.73,9.81,9.68,9.76,9.76,291350.0,0.0,1.0
2021-03-25,9.71,9.8,9.66,9.72,9.72,360034.0,0.0,1.0
2021-03-24,9.8,9.9,9.7,9.81,9.81,408768.0,0.0,1.0
2021-03-23,9.96,9.98,9.7925,9.85,9.85,285733.0,0.0,1.0
2021-03-22,9.96,10.0,9.94,9.96,9.96,180948.0,0.0,1.0
2021-03-19,9.96,9.99,9.94,9.98,9.98,258670.0,0.0,1.0
2021-03-18,9.97,10.0,9.94,9.96,9.96,217940.0,0.0,1.0
2021-03-17,9.94,10.01,9.92,9.97,9.97,361990.0,0.0,1.0
2021-03-16,10.02,10.02,9.92,9.99,9.99,308188.0,0.0,1.0
2021-03-15,10.07,10.08,9.97,9.98,9.98,462787.0,0.0,1.0
2021-03-12,10.0,10.165,9.98,10.08,10.08,222783.0,0.0,1.0
2021-03-11,9.95,10.15,9.91,10.07,10.07,825068.0,0.0,1.0
2021-03-10,9.98,10.09,9.92,9.95,9.95,743454.0,0.0,1.0
2021-03-09,10.0,10.08,9.94,9.96,9.96,286946.0,0.0,1.0
2021-03-08,10.0,10.02,9.94,9.98,9.98,641004.0,0.0,1.0
2021-03-05,9.95,10.055,9.85,10.01,10.01,705108.0,0.0,1.0
2021-03-04,10.0,10.06,9.81,9.97,9.97,1312280.0,0.0,1.0
2021-03-03,10.03,10.215,9.97,10.0,10.0,1149084.0,0.0,1.0
2021-03-02,10.33,10.36,10.02,10.03,10.03,573811.0,0.0,1.0
2021-03-01,10.24,10.28,10.16,10.18,10.18,356744.0,0.0,1.0
2021-02-26,10.22,10.31,10.08,10.13,10.13,660783.0,0.0,1.0
2021-02-25,10.33,10.35,10.1,10.25,10.25,884165.0,0.0,1.0
2021-02-24,10.47,10.48,10.31,10.36,10.36,1101237.0,0.0,1.0
2021-02-23,10.41,10.54,10.13,10.5,10.5,1106491.0,0.0,1.0
2021-02-22,10.6,10.62,10.51,10.55,10.55,637853.0,0.0,1.0
2021-02-19,10.69,10.7,10.57,10.64,10.64,787991.0,0.0,1.0
2021-02-18,10.66,10.68,10.6,10.66,10.66,316099.0,0.0,1.0
2021-02-17,10.7,10.72,10.614,10.68,10.68,376210.0,0.0,1.0
2021-02-16,10.7,10.7325,10.61,10.71,10.71,655956.0,0.0,1.0
2021-02-12,10.57,10.75,10.56,10.63,10.63,514288.0,0.0,1.0
2021-02-11,10.78,10.78,10.53,10.55,10.55,687828.0,0.0,1.0
2021-02-10,10.75,10.75,10.61,10.7,10.7,657746.0,0.0,1.0
2021-02-09,10.72,10.75,10.62,10.7,10.7,536364.0,0.0,1.0
2021-02-08,10.78,10.8,10.6,10.72,10.72,1776813.0,0.0,1.0
2021-02-05,10.64,10.69,10.54,10.58,10.58,903876.0,0.0,1.0
2021-02-04,10.74,10.74,10.44,10.59,10.59,701600.0,0.0,1.0
2021-02-03,10.68,10.68,10.55,10.67,10.67,523884.0,0.0,1.0
2021-02-02,10.57,10.7,10.5,10.55,10.55,639443.0,0.0,1.0
2021-02-01,10.47,10.59,10.35,10.48,10.48,707781.0,0.0,1.0
2021-01-29,10.37,10.42,10.32,10.42,10.42,297750.0,0.0,1.0
2021-01-28,10.4,10.46,10.3,10.37,10.37,593479.0,0.0,1.0
2021-01-27,10.5,10.5,10.3,10.35,10.35,965593.0,0.0,1.0
2021-01-26,10.71,10.71,10.51,10.65,10.65,714064.0,0.0,1.0
2021-01-25,10.64,10.82,10.52,10.65,10.65,939131.0,0.0,1.0
2021-01-22,10.5,10.53,10.33,10.45,10.45,969382.0,0.0,1.0
2021-01-21,10.45,10.58,10.26,10.46,10.46,997410.0,0.0,1.0
2021-01-20,10.37,10.39,10.22,10.38,10.38,826155.0,0.0,1.0
2021-01-19,10.3,10.42,10.05,10.28,10.28,973134.0,0.0,1.0
