date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,13.0,13.46,12.81,13.36,13.36,367943.0,0.0,1.0
2021-04-15,12.95,12.95,12.56,12.87,12.87,367553.0,0.0,1.0
2021-04-14,11.75,12.92,11.7105,12.54,12.54,796829.0,0.0,1.0
2021-04-13,11.66,11.71,11.39,11.64,11.64,218512.0,0.0,1.0
2021-04-12,11.45,11.8,11.35,11.65,11.65,374987.0,0.0,1.0
2021-04-09,11.37,11.51,11.27,11.45,11.45,241235.0,0.0,1.0
2021-04-08,11.23,11.54,11.22,11.38,11.38,222863.0,0.0,1.0
2021-04-07,11.36,11.4899,11.2,11.29,11.29,185543.0,0.0,1.0
2021-04-06,11.5,11.5,11.36,11.37,11.37,183847.0,0.0,1.0
2021-04-05,11.5,11.6,11.23,11.42,11.42,275289.0,0.0,1.0
2021-04-01,11.28,11.5,11.23,11.49,11.49,201416.0,0.0,1.0
2021-03-31,11.06,11.45,10.91,11.21,11.21,323670.0,0.05,1.0
2021-03-30,10.79,11.4943,10.79,11.13,11.0805772647,299563.0,0.0,1.0
2021-03-29,11.31,11.53,10.63,10.68,10.6325754885,563404.0,0.0,1.0
2021-03-26,11.49,11.6799,11.21,11.49,11.4389786856,214004.0,0.0,1.0
2021-03-25,11.2,11.4105,11.01,11.3,11.2498223801,207796.0,0.0,1.0
2021-03-24,11.37,11.9,11.25,11.25,11.200044405,230833.0,0.0,1.0
2021-03-23,11.53,11.7799,11.25,11.28,11.2299111901,381103.0,0.0,1.0
2021-03-22,11.6,11.98,10.98,11.66,11.6082238011,487751.0,0.0,1.0
2021-03-19,11.78,12.37,11.62,11.64,11.588312611,686382.0,0.0,1.0
2021-03-18,12.6,12.99,11.63,11.73,11.6779129663,906194.0,0.0,1.0
2021-03-17,13.47,13.9,13.08,13.7,13.6391651865,289647.0,0.0,1.0
2021-03-16,14.1,14.1405,13.42,13.47,13.4101865009,316321.0,0.0,1.0
2021-03-15,14.77,14.7899,14.06,14.14,14.0772113677,303561.0,0.0,1.0
2021-03-12,14.69,14.85,14.2,14.76,14.6944582593,301323.0,0.0,1.0
2021-03-11,13.61,14.76,13.59,14.64,14.574991119,896072.0,0.0,1.0
2021-03-10,12.8,13.51,12.64,13.48,13.4201420959,355985.0,0.0,1.0
2021-03-09,13.34,13.4508,12.75,12.79,12.7332060391,268556.0,0.0,1.0
2021-03-08,12.81,13.77,12.7,13.22,13.1612966252,822027.0,0.0,1.0
2021-03-05,12.2,12.92,12.11,12.67,12.6137388988,495495.0,0.0,1.0
2021-03-04,12.5,12.8499,11.86,12.11,12.0562255773,318345.0,0.0,1.0
2021-03-03,12.3,12.95,12.23,12.52,12.4644049734,339472.0,0.0,1.0
2021-03-02,12.3,12.35,12.04,12.23,12.1756927176,235577.0,0.0,1.0
2021-03-01,12.1,12.4,12.1,12.32,12.2652930728,272397.0,0.0,1.0
2021-02-26,11.68,12.15,11.68,11.96,11.9068916519,304258.0,0.0,1.0
