date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,30.39,30.64,30.25,30.28,30.28,55047.0,0.0,1.0
2021-04-15,30.55,30.6197,30.02,30.02,30.02,13021.0,0.0,1.0
2021-04-14,29.75,30.5031,29.73,30.25,30.25,14498.0,0.0,1.0
2021-04-13,29.63,29.99,29.52,29.65,29.65,8650.0,0.0,1.0
2021-04-12,30.1,30.16,29.09,29.63,29.63,22367.0,0.0,1.0
2021-04-09,30.1,30.42,30.1,30.2,30.2,4201.0,0.0,1.0
2021-04-08,30.05,30.765,30.05,30.4,30.4,6118.0,0.0,1.0
2021-04-07,30.96,30.96,30.08,30.31,30.31,12739.0,0.0,1.0
2021-04-06,31.2,31.2,30.53,31.09,31.09,14110.0,0.0,1.0
2021-04-05,31.85,31.85,31.17,31.17,31.17,7504.0,0.0,1.0
2021-04-01,31.0,32.47,30.885,31.85,31.85,5435.0,0.0,1.0
2021-03-31,32.92,32.92,31.18,31.18,31.18,17744.0,0.0,1.0
2021-03-30,31.28,32.97,31.15,32.67,32.67,20343.0,0.0,1.0
2021-03-29,32.7226,32.7226,30.5908,31.68,31.68,18702.0,0.0,1.0
2021-03-26,33.1,33.1,30.5,30.76,30.76,28485.0,0.0,1.0
2021-03-25,33.54,33.54,33.02,33.03,33.03,4475.0,0.0,1.0
2021-03-24,32.83,33.91,32.53,33.19,33.19,15795.0,0.0,1.0
2021-03-23,31.185,33.24,31.1,33.24,33.24,24213.0,0.0,1.0
2021-03-22,31.13,31.19,30.37,31.15,31.15,22497.0,0.0,1.0
2021-03-19,30.8,31.48,30.5056,31.29,31.29,41080.0,0.0,1.0
2021-03-18,30.385,30.75,29.89,30.75,30.75,6821.0,0.0,1.0
2021-03-17,29.98,30.6,29.98,30.6,30.6,8264.0,0.0,1.0
2021-03-16,30.5,31.01,29.52,30.22,30.22,12920.0,0.0,1.0
2021-03-15,33.09,33.49,31.82,31.95,31.95,5911.0,0.0,1.0
2021-03-12,33.21,33.59,32.73,33.42,33.42,3808.0,0.0,1.0
2021-03-11,32.78,33.42,32.23,33.42,33.42,6508.0,0.0,1.0
2021-03-10,33.63,33.63,31.53,33.43,33.43,14289.0,0.0,1.0
2021-03-09,33.97,34.38,32.56,34.38,34.38,9662.0,0.0,1.0
2021-03-08,31.9999,33.98,31.94,33.97,33.97,13756.0,0.0,1.0
2021-03-05,30.0,32.14,30.0,32.0,32.0,11900.0,0.0,1.0
2021-03-04,28.93,30.0,28.79,30.0,30.0,13270.0,0.0,1.0
2021-03-03,28.5336,28.93,28.5336,28.75,28.75,6012.0,0.0,1.0
2021-03-02,27.0,28.01,27.0,28.01,28.01,6841.0,0.0,1.0
2021-03-01,28.11,28.11,27.15,27.15,27.15,6476.0,0.0,1.0
2021-02-26,27.5,28.03,27.2,27.46,27.46,6879.0,0.0,1.0
2021-02-25,27.0,27.99,27.0,27.46,27.46,5761.0,0.0,1.0
2021-02-24,27.48,28.8565,27.48,27.69,27.69,4235.0,0.0,1.0
2021-02-23,27.82,27.9,26.9,27.27,27.27,7305.0,0.0,1.0
2021-02-22,26.45,27.41,26.4,27.13,27.13,5123.0,0.0,1.0
2021-02-19,26.05,26.43,26.05,26.43,26.43,6205.0,0.0,1.0
2021-02-18,26.62,26.9969,25.93,26.06,26.06,4907.0,0.0,1.0
2021-02-17,26.2406,27.5399,26.2406,26.52,26.52,6033.0,0.0,1.0
2021-02-16,27.66,27.66,26.795,26.98,26.98,9573.0,0.0,1.0
2021-02-12,26.55,27.532,26.51,27.34,27.34,6354.0,0.0,1.0
2021-02-11,27.26,27.6775,27.0,27.27,27.27,16293.0,0.0,1.0
2021-02-10,27.5,28.865,27.2,27.22,27.22,46783.0,0.0,1.0
2021-02-09,28.34,28.35,27.72,28.1,28.1,3958.0,0.0,1.0
2021-02-08,28.36,28.79,27.775,28.79,28.79,5092.0,0.0,1.0
2021-02-05,29.0,29.0,27.48,28.35,28.35,40006.0,0.0,1.0
2021-02-04,27.95,30.0,27.5,29.08,29.08,9515.0,0.3,1.0
2021-02-03,27.23,28.5099,27.23,27.8,27.5161334241,6659.0,0.0,1.0
2021-02-02,28.4843,28.4843,26.92,27.49,27.2092988428,6333.0,0.0,1.0
2021-02-01,27.57,27.57,26.78,26.85,26.5758339006,8985.0,0.0,1.0
2021-01-29,27.64,27.64,26.76,27.01,26.7342001361,8309.0,0.0,1.0
2021-01-28,27.7532,28.23,27.05,27.59,27.30827774,12154.0,0.0,1.0
2021-01-27,27.63,27.99,27.63,27.65,27.3676650783,9427.0,0.0,1.0
2021-01-26,28.05,28.53,27.66,27.95,27.6646017699,9952.0,0.0,1.0
2021-01-25,28.41,28.52,27.65,28.52,28.228781484,5920.0,0.0,1.0
2021-01-22,27.65,28.38,27.65,28.38,28.0902110279,12739.0,0.0,1.0
2021-01-21,27.79,28.5345,27.79,27.94,27.6547038802,5808.0,0.0,1.0
2021-01-20,29.4028,29.4028,27.76,27.93,27.6448059905,5289.0,0.0,1.0
2021-01-19,29.52,29.75,28.2,28.3,28.0110279101,8664.0,0.0,1.0
2021-01-15,27.63,29.88,27.63,29.76,29.4561198094,35415.0,0.0,1.0
2021-01-14,28.006,28.4952,27.9,27.9,27.6151123213,8637.0,0.0,1.0
2021-01-13,27.9999,28.3,27.76,27.76,27.4765418652,6962.0,0.0,1.0
2021-01-12,27.99,27.99,27.99,27.99,27.7041933288,1863.0,0.0,1.0
2021-01-11,27.3,27.61,27.3,27.54,27.2587882914,7913.0,0.0,1.0
2021-01-08,27.97,27.9998,27.19,27.5,27.2191967325,12437.0,0.0,1.0
2021-01-07,26.75,27.82,26.75,27.68,27.3973587474,11546.0,0.0,1.0
2021-01-06,26.94,28.81,26.94,28.08,27.7932743363,9425.0,0.0,1.0
2021-01-05,26.73,27.5,26.52,26.52,26.2492035398,6902.0,0.0,1.0
2021-01-04,27.349,27.349,26.8,27.0,26.7243022464,5090.0,0.0,1.0
2020-12-31,27.28,27.43,27.03,27.03,26.7539959156,4135.0,0.0,1.0
2020-12-30,28.01,28.1601,27.705,27.9,27.6151123213,5261.0,0.0,1.0
2020-12-29,29.09,29.09,26.559,28.31,28.0209257999,41116.0,0.0,1.0
2020-12-28,30.34,30.34,29.12,29.21,28.9117358747,2929.0,0.0,1.0
2020-12-24,30.5,30.5,30.0,30.04,29.7332607216,1225.0,0.0,1.0
2020-12-23,29.96,30.5103,29.75,29.84,29.5353029272,2320.0,0.0,1.0
2020-12-22,30.0,30.34,29.9,29.95,29.6441797141,4640.0,0.0,1.0
2020-12-21,30.36,30.9,29.07,29.74,29.43632403,5523.0,0.0,1.0
2020-12-18,29.89,33.2,29.1585,30.31,30.000503744,35931.0,0.0,1.0
2020-12-17,30.1172,30.1172,29.21,29.73,29.4264261402,2742.0,0.0,1.0
2020-12-16,29.53,30.09,29.09,29.09,28.7929611981,3186.0,0.0,1.0
2020-12-15,28.5,29.79,28.25,29.2,28.901837985,11520.0,0.0,1.0
2020-12-14,28.34,28.4,28.13,28.13,27.8427637849,3822.0,0.0,1.0
2020-12-11,28.06,28.21,28.01,28.21,27.9219469027,1394.0,0.0,1.0
2020-12-10,28.5,28.5,28.05,28.5,28.2089857046,2479.0,0.0,1.0
2020-12-09,27.76,28.62,27.76,28.42,28.1298025868,16879.0,0.0,1.0
2020-12-08,27.19,27.84,27.08,27.84,27.555724983,3634.0,0.0,1.0
2020-12-07,27.26,28.85,27.0,27.55,27.2686861811,4712.0,0.0,1.0
2020-12-04,26.73,27.4083,26.7,26.99,26.7144043567,7182.0,0.0,1.0
2020-12-03,26.75,27.13,26.49,26.7,26.4273655548,5866.0,0.0,1.0
2020-12-02,25.7252,27.65,25.7252,26.82,26.5461402314,4897.0,0.0,1.0
2020-12-01,28.78,28.78,28.01,28.01,27.7239891082,3805.0,0.0,1.0
2020-11-30,29.48,29.48,28.3,28.45,28.159496256,4737.0,0.0,1.0
2020-11-27,29.155,29.74,29.155,29.74,29.43632403,1834.0,0.0,1.0
2020-11-25,28.88,29.18,27.95,28.97,28.6741865214,7250.0,0.0,1.0
2020-11-24,27.5,29.59,27.5,28.38,28.0902110279,10491.0,0.0,1.0
2020-11-23,26.96,27.0,26.7122,26.91,26.6352212389,3014.0,0.0,1.0
2020-11-20,26.33,26.61,26.2576,26.35,26.0809394146,4791.0,0.0,1.0
2020-11-19,26.07,26.78,26.07,26.78,26.5065486726,2188.0,0.0,1.0
2020-11-18,26.63,26.63,25.71,26.04,25.7741048332,7281.0,0.0,1.0
2020-11-17,26.4,27.0,25.272,26.21,25.9423689585,6370.0,0.0,1.0
2020-11-16,25.29,26.6,25.29,26.6,26.3283866576,8031.0,0.0,1.0
2020-11-13,24.405,25.25,24.405,24.63,24.3785023826,7249.0,0.0,1.0
2020-11-12,24.45,24.45,24.06,24.06,23.8143226685,2210.0,0.0,1.0
2020-11-11,25.0,25.0,24.44,24.99,24.7348264125,8442.0,0.0,1.0
2020-11-10,23.42,25.0,23.42,24.9,24.645745405,13953.0,0.0,1.0
2020-11-09,23.0,23.87,22.9101,23.01,22.7750442478,16059.0,0.0,1.0
2020-11-06,23.63,23.63,22.84,22.84,22.6067801225,5395.0,0.0,1.0
2020-11-05,23.4,23.9,23.2154,23.26,23.0224914908,5243.0,0.3,1.0
2020-11-04,23.38,23.98,23.38,23.72,23.1788411784,5171.0,0.0,1.0
2020-11-03,23.0,23.9,23.0,23.9,23.3547345768,12372.0,0.0,1.0
2020-11-02,22.475,22.95,22.475,22.95,22.426408307,2156.0,0.0,1.0
2020-10-30,22.65,22.65,22.0,22.0,21.4980820373,10103.0,0.0,1.0
2020-10-29,22.65,23.0,22.65,23.0,22.4752675844,2552.0,0.0,1.0
2020-10-28,23.575,23.66,22.85,23.12,22.5925298501,13882.0,0.0,1.0
2020-10-27,23.77,24.1558,23.66,23.66,23.1202100455,3227.0,0.0,1.0
2020-10-26,24.0535,24.0535,23.02,23.55,23.0127196353,7193.0,0.0,1.0
2020-10-23,23.65,23.94,23.62,23.93,23.3840501433,5601.0,0.0,1.0
2020-10-22,23.39,23.56,23.39,23.4,22.8661418033,6818.0,0.0,1.0
2020-10-21,22.8,22.8,22.8,22.8,22.279830475,1102.0,0.0,1.0
2020-10-20,22.45,23.15,22.45,23.15,22.6218454165,3986.0,0.0,1.0
2020-10-19,23.4178,23.4178,22.39,22.39,21.8791844006,3276.0,0.0,1.0
2020-10-16,22.8,23.31,22.74,22.78,22.260286764,6899.0,0.0,1.0
2020-10-15,23.26,23.35,22.355,23.08,22.5534424282,6380.0,0.0,1.0
