date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,12.96,12.97,12.92,12.92,12.92,94898.0,0.0,1.0
2021-04-15,12.98,13.01,12.93,12.97,12.97,190886.0,0.0,1.0
2021-04-14,12.99,13.0,12.93,12.95,12.95,91701.0,0.0667,1.0
2021-04-13,13.06,13.06,13.02,13.03,12.9632318483,63752.0,0.0,1.0
2021-04-12,13.08,13.1,13.0,13.05,12.9831293646,178227.0,0.0,1.0
2021-04-09,13.08,13.1,13.05,13.07,13.0030268809,137413.0,0.0,1.0
2021-04-08,13.06,13.07,13.03,13.07,13.0030268809,209007.0,0.0,1.0
2021-04-07,13.04,13.06,13.0153,13.04,12.9731806065,140312.0,0.0,1.0
2021-04-06,13.06,13.08,13.01,13.01,12.9433343321,109008.0,0.0,1.0
2021-04-05,13.06,13.08,13.01,13.05,12.9831293646,217898.0,0.0,1.0
2021-04-01,13.04,13.06,13.02,13.06,12.9930781227,130732.0,0.0,1.0
2021-03-31,13.03,13.0495,12.985,13.0,12.9333855739,208041.0,0.0,1.0
2021-03-30,13.04,13.04,12.97,13.0,12.9333855739,153636.0,0.0,1.0
2021-03-29,13.09,13.09,12.98,12.99,12.9234368158,181299.0,0.0,1.0
2021-03-26,13.04,13.09,12.95,13.09,13.0229243971,194016.0,0.0,1.0
2021-03-25,13.07,13.09,12.98,12.99,12.9234368158,105704.0,0.0,1.0
2021-03-24,13.06,13.09,13.02,13.07,13.0030268809,175505.0,0.0,1.0
2021-03-23,13.01,13.05,12.96,13.0,12.9333855739,111418.0,0.0,1.0
2021-03-22,13.08,13.09,12.95,12.99,12.9234368158,140383.0,0.0,1.0
2021-03-19,13.0,13.03,12.95,13.03,12.9632318483,111822.0,0.0,1.0
2021-03-18,12.98,13.0091,12.91,12.98,12.9134880576,214951.0,0.0,1.0
2021-03-17,13.06,13.1,12.99,12.99,12.9234368158,139047.0,0.0,1.0
2021-03-16,13.07,13.09,13.03,13.05,12.9831293646,124653.0,0.0,1.0
2021-03-15,12.93,13.03,12.93,13.03,12.9632318483,161048.0,0.0,1.0
2021-03-12,13.0,13.0,12.92,12.93,12.863744267,101645.0,0.0667,1.0
2021-03-11,13.11,13.1409,13.0,13.03,12.8967036093,77625.0,0.0,1.0
2021-03-10,13.05,13.09,13.01,13.04,12.9066013097,149992.0,0.0,1.0
2021-03-09,12.89,13.05,12.88,13.02,12.8868059089,327636.0,0.0,1.0
2021-03-08,12.86,12.89,12.82,12.89,12.7581358038,148117.0,0.0,1.0
2021-03-05,12.84,12.86,12.71,12.86,12.7284427026,146094.0,0.0,1.0
2021-03-04,12.91,12.97,12.68,12.79,12.6591587999,246900.0,0.0,1.0
2021-03-03,12.94,12.95,12.85,12.94,12.8076243058,160545.0,0.0,1.0
2021-03-02,12.9,12.95,12.85,12.94,12.8076243058,203136.0,0.0,1.0
