date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,11.53,11.6,11.2662,11.36,11.36,46751.0,0.0,1.0
2021-04-15,11.36,11.52,11.24,11.5,11.5,29307.0,0.0,1.0
2021-04-14,11.22,11.51,11.22,11.38,11.38,22120.0,0.0,1.0
2021-04-13,11.31,11.4,11.21,11.24,11.24,39865.0,0.0,1.0
2021-04-12,11.44,11.64,11.31,11.4,11.4,44163.0,0.0,1.0
2021-04-09,11.51,11.58,11.33,11.37,11.37,49756.0,0.0,1.0
2021-04-08,11.52,11.64,11.26,11.4,11.4,70402.0,0.0,1.0
2021-04-07,11.46,11.82,11.42,11.52,11.52,53852.0,0.0,1.0
2021-04-06,11.81,11.83,11.5,11.65,11.65,82617.0,0.0,1.0
2021-04-05,12.04,12.04,11.56,11.93,11.93,124531.0,0.0,1.0
2021-04-01,12.08,12.28,11.75,12.05,12.05,64335.0,0.0,1.0
2021-03-31,12.41,12.65,11.92,12.17,12.17,115010.0,0.0,1.0
2021-03-30,12.44,12.59,12.13,12.38,12.38,57031.0,0.0,1.0
2021-03-29,12.18,12.59,11.56,12.36,12.36,188748.0,0.0,1.0
2021-03-26,12.1,12.1,11.55,11.97,11.97,68926.0,0.0,1.0
2021-03-25,11.18,12.03,11.06,11.88,11.88,186599.0,0.0,1.0
2021-03-24,11.64,12.12,11.275,11.37,11.37,79783.0,0.0,1.0
2021-03-23,12.4,12.89,11.13,11.39,11.39,284939.0,0.0,1.0
2021-03-22,12.04,13.02,12.0301,12.45,12.45,176374.0,0.0,1.0
2021-03-19,12.09,12.3465,11.72,11.93,11.93,234591.0,0.0,1.0
2021-03-18,12.25,12.71,11.99,12.05,12.05,86426.0,0.0,1.0
2021-03-17,11.92,12.26,11.92,12.18,12.18,93991.0,0.0,1.0
2021-03-16,12.94,13.07,11.56,11.87,11.87,153105.0,0.0,1.0
2021-03-15,13.23,13.23,12.81,12.99,12.99,103256.0,0.0,1.0
2021-03-12,12.67,13.2,12.52,13.17,13.17,125789.0,0.0,1.0
2021-03-11,11.88,12.29,11.84,12.29,12.29,42676.0,0.0,1.0
2021-03-10,11.85,12.15,11.72,11.8,11.8,74437.0,0.0,1.0
2021-03-09,11.15,12.1,11.1445,11.86,11.86,73222.0,0.0,1.0
2021-03-08,12.6,12.95,10.985,11.46,11.46,269771.0,0.0,1.0
2021-03-05,12.26,13.06,12.26,13.0,13.0,126948.0,0.0,1.0
2021-03-04,11.71,12.24,11.64,12.02,12.02,98256.0,0.0,1.0
2021-03-03,11.26,11.81,11.26,11.64,11.64,61702.0,0.0,1.0
2021-03-02,11.36,11.43,11.08,11.12,11.12,35237.0,0.0,1.0
2021-03-01,11.07,11.5,10.9846,11.46,11.46,65940.0,0.0,1.0
2021-02-26,10.9,11.32,10.52,10.55,10.55,56675.0,0.0,1.0
2021-02-25,11.54,11.64,10.92,10.92,10.92,43682.0,0.0,1.0
2021-02-24,10.9,11.52,10.9,11.5,11.5,65886.0,0.0,1.0
2021-02-23,10.36,10.85,10.34,10.78,10.78,33009.0,0.0,1.0
2021-02-22,10.4,10.64,9.81,10.47,10.47,123777.0,0.0,1.0
2021-02-19,10.43,10.7,10.43,10.64,10.64,46333.0,0.0,1.0
2021-02-18,10.97,11.04,10.41,10.42,10.42,51820.0,0.0,1.0
2021-02-17,11.14,11.38,10.95,10.95,10.95,44933.0,0.0,1.0
2021-02-16,11.12,11.19,10.78,11.09,11.09,73535.0,0.0,1.0
2021-02-12,10.69,10.9259,10.5,10.58,10.58,56557.0,0.0,1.0
2021-02-11,11.12,11.47,10.619,10.8,10.8,50452.0,0.03,1.0
2021-02-10,11.21,11.33,10.9,10.98,10.9495844875,52724.0,0.0,1.0
2021-02-09,12.67,13.08,11.0,11.16,11.1290858726,93201.0,0.0,1.0
