date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.72,9.87,9.38,9.59,9.59,1019254.0,0.0,1.0
2021-04-15,10.03,10.199,9.61,9.8,9.8,756327.0,0.0,1.0
2021-04-14,10.03,10.45,9.79,10.03,10.03,784062.0,0.0,1.0
2021-04-13,9.66,10.2325,9.52,10.17,10.17,931239.0,0.0,1.0
2021-04-12,10.78,10.84,9.3,9.49,9.49,1345826.0,0.0,1.0
2021-04-09,10.78,11.05,10.36,10.84,10.84,1254584.0,0.0,1.0
2021-04-08,10.99,11.6873,10.281,10.74,10.74,2194272.0,0.0,1.0
2021-04-07,9.97,13.3,9.855,10.99,10.99,12848685.0,0.0,1.0
2021-04-06,9.48,10.37,9.41,10.065,10.065,1743722.0,0.0,1.0
2021-04-05,9.33,9.82,9.26,9.62,9.62,1009652.0,0.0,1.0
2021-04-01,9.7,9.8694,9.11,9.39,9.39,1778804.0,0.0,1.0
2021-03-31,8.51,9.54,8.45,9.5,9.5,2451737.0,0.0,1.0
2021-03-30,8.0,8.59,7.3351,8.51,8.51,2040581.0,0.0,1.0
2021-03-29,8.74,8.75,8.11,8.15,8.15,1701667.0,0.0,1.0
2021-03-26,9.13,9.2,8.21,8.68,8.68,2797740.0,0.0,1.0
2021-03-25,8.17,9.24,8.01,9.1,9.1,5522390.0,0.0,1.0
2021-03-24,8.87,9.3,8.01,8.62,8.62,11529281.0,0.0,1.0
2021-03-23,9.9379,10.8,7.91,7.99,7.99,19113944.0,0.0,1.0
2021-03-22,34.81,37.4,33.41,36.29,36.29,791274.0,0.0,1.0
2021-03-19,35.61,36.3625,32.005,34.25,34.25,1848967.0,0.0,1.0
2021-03-18,39.89,40.56,35.08,35.1,35.1,370959.0,0.0,1.0
2021-03-17,39.66,41.22,39.29,39.93,39.93,245603.0,0.0,1.0
2021-03-16,41.0,42.1,39.08,40.51,40.51,301934.0,0.0,1.0
2021-03-15,41.18,41.33,39.0,40.98,40.98,362541.0,0.0,1.0
2021-03-12,39.68,41.545,38.58,41.18,41.18,489320.0,0.0,1.0
2021-03-11,39.1,40.6199,38.41,40.12,40.12,458315.0,0.0,1.0
2021-03-10,39.0,39.53,37.15,37.7,37.7,311090.0,0.0,1.0
2021-03-09,36.26,38.1427,36.14,37.44,37.44,391873.0,0.0,1.0
2021-03-08,37.41,38.85,35.02,35.05,35.05,355080.0,0.0,1.0
2021-03-05,42.89,43.48,36.22,37.38,37.38,556471.0,0.0,1.0
2021-03-04,45.0,45.53,40.63,41.69,41.69,435036.0,0.0,1.0
2021-03-03,48.59,49.05,44.37,45.24,45.24,263907.0,0.0,1.0
2021-03-02,48.66,49.22,46.79,47.2,47.2,238360.0,0.0,1.0
2021-03-01,50.4,53.85,47.21,48.0,48.0,374751.0,0.0,1.0
2021-02-26,50.72,52.4499,47.23,49.21,49.21,241320.0,0.0,1.0
2021-02-25,51.51,53.9499,48.88,49.57,49.57,192315.0,0.0,1.0
2021-02-24,50.58,54.75,50.01,52.38,52.38,237139.0,0.0,1.0
2021-02-23,51.34,51.59,44.43,48.53,48.53,432992.0,0.0,1.0
2021-02-22,54.0,56.47,51.76,52.09,52.09,294610.0,0.0,1.0
2021-02-19,53.7,56.0,53.7,55.01,55.01,383859.0,0.0,1.0
2021-02-18,53.93,55.39,52.66,53.89,53.89,244249.0,0.0,1.0
2021-02-17,53.0,54.59,51.81,54.09,54.09,189131.0,0.0,1.0
2021-02-16,56.05,56.63,52.52,53.24,53.24,317579.0,0.0,1.0
2021-02-12,55.0,56.83,53.21,54.87,54.87,426061.0,0.0,1.0
2021-02-11,53.39,54.0,51.1,53.06,53.06,266483.0,0.0,1.0
2021-02-10,51.55,54.0,50.87,51.18,51.18,192515.0,0.0,1.0
2021-02-09,55.0,57.6285,49.38,50.04,50.04,355740.0,0.0,1.0
2021-02-08,51.61,58.37,50.46,54.62,54.62,339069.0,0.0,1.0
2021-02-05,50.12,51.03,47.73,50.46,50.46,209536.0,0.0,1.0
2021-02-04,48.18,50.0,47.46,49.99,49.99,138432.0,0.0,1.0
2021-02-03,47.19,50.24,46.48,48.0,48.0,390248.0,0.0,1.0
2021-02-02,45.0,47.47,42.64,47.46,47.46,317293.0,0.0,1.0
2021-02-01,39.66,44.82,39.66,44.71,44.71,381105.0,0.0,1.0
2021-01-29,42.17,43.39,38.05,38.99,38.99,448140.0,0.0,1.0
2021-01-28,39.01,42.11,39.01,40.5,40.5,284315.0,0.0,1.0
2021-01-27,39.82,43.5,37.92,38.47,38.47,530649.0,0.0,1.0
2021-01-26,38.32,39.8579,36.98,37.16,37.16,82862.0,0.0,1.0
2021-01-25,38.98,40.48,37.11,37.83,37.83,440843.0,0.0,1.0
2021-01-22,35.93,39.8,34.57,38.73,38.73,214094.0,0.0,1.0
2021-01-21,38.12,38.63,35.17,35.8,35.8,241484.0,0.0,1.0
2021-01-20,39.31,39.31,36.91,37.78,37.78,208897.0,0.0,1.0
2021-01-19,36.57,39.36,36.11,38.39,38.39,194368.0,0.0,1.0
2021-01-15,36.65,37.8128,35.5,35.85,35.85,184789.0,0.0,1.0
2021-01-14,35.17,38.385,35.08,36.76,36.76,353928.0,0.0,1.0
2021-01-13,36.11,36.32,34.0616,34.52,34.52,166224.0,0.0,1.0
2021-01-12,35.01,35.91,34.6589,35.72,35.72,98426.0,0.0,1.0
2021-01-11,35.77,36.81,34.58,34.76,34.76,94642.0,0.0,1.0
2021-01-08,36.32,37.12,34.57,36.05,36.05,208027.0,0.0,1.0
2021-01-07,38.22,39.43,35.35,36.57,36.57,232740.0,0.0,1.0
2021-01-06,33.73,40.12,33.73,38.48,38.48,445684.0,0.0,1.0
2021-01-05,33.93,34.61,32.43,33.43,33.43,137701.0,0.0,1.0
2021-01-04,36.0,36.0,32.25,33.55,33.55,255915.0,0.0,1.0
2020-12-31,37.43,37.43,34.7401,35.26,35.26,126652.0,0.0,1.0
2020-12-30,35.55,38.04,35.55,37.29,37.29,158363.0,0.0,1.0
2020-12-29,33.97,35.72,33.7536,35.38,35.38,171292.0,0.0,1.0
2020-12-28,34.01,35.85,33.27,33.72,33.72,283911.0,0.0,1.0
2020-12-24,33.17,34.11,32.51,33.72,33.72,72158.0,0.0,1.0
2020-12-23,34.04,36.59,32.49,32.83,32.83,272833.0,0.0,1.0
2020-12-22,32.6,35.14,31.8,32.63,32.63,347771.0,0.0,1.0
2020-12-21,30.53,31.86,29.56,31.66,31.66,557380.0,0.0,1.0
2020-12-18,41.19,41.69,30.35,32.14,32.14,1851216.0,0.0,1.0
2020-12-17,40.0,42.891,38.26,39.7,39.7,366306.0,0.0,1.0
2020-12-16,37.87,40.68,37.3133,40.0,40.0,415100.0,0.0,1.0
2020-12-15,36.62,39.6048,36.16,37.99,37.99,281279.0,0.0,1.0
2020-12-14,34.67,37.3512,34.14,36.69,36.69,248587.0,0.0,1.0
2020-12-11,31.79,34.61,31.79,34.09,34.09,182924.0,0.0,1.0
2020-12-10,33.07,33.79,29.01,32.26,32.26,261095.0,0.0,1.0
2020-12-09,31.69,33.49,31.19,33.05,33.05,173626.0,0.0,1.0
2020-12-08,29.64,31.595,29.21,31.3,31.3,139837.0,0.0,1.0
2020-12-07,28.99,30.27,28.33,29.87,29.87,157045.0,0.0,1.0
2020-12-04,27.4,28.9,26.89,28.85,28.85,131923.0,0.0,1.0
2020-12-03,27.55,28.24,26.97,27.42,27.42,66543.0,0.0,1.0
2020-12-02,28.19,28.35,26.51,27.3,27.3,88699.0,0.0,1.0
2020-12-01,28.98,29.1111,27.51,28.13,28.13,118871.0,0.0,1.0
2020-11-30,29.08,29.29,27.185,28.7,28.7,468287.0,0.0,1.0
2020-11-27,26.42,28.74,26.42,28.72,28.72,116012.0,0.0,1.0
2020-11-25,25.72,28.24,25.5701,26.05,26.05,223492.0,0.0,1.0
2020-11-24,27.48,29.71,25.83,25.97,25.97,354718.0,0.0,1.0
2020-11-23,26.46,29.19,25.89,27.26,27.26,438100.0,0.0,1.0
2020-11-20,23.78,26.713,23.78,26.2,26.2,171509.0,0.0,1.0
2020-11-19,24.15,25.4,23.2067,24.15,24.15,126477.0,0.0,1.0
2020-11-18,22.82,24.99,22.8,24.27,24.27,226282.0,0.0,1.0
2020-11-17,23.74,24.17,22.22,22.78,22.78,254053.0,0.0,1.0
2020-11-16,25.23,25.5,22.82,23.45,23.45,242216.0,0.0,1.0
2020-11-13,25.0,25.6,24.74,25.05,25.05,246362.0,0.0,1.0
2020-11-12,24.76,25.01,24.38,24.89,24.89,186192.0,0.0,1.0
2020-11-11,24.0,25.0,23.795,24.78,24.78,245090.0,0.0,1.0
2020-11-10,23.92,24.27,23.38,23.93,23.93,162511.0,0.0,1.0
2020-11-09,24.0,24.25,23.0,23.7,23.7,239752.0,0.0,1.0
2020-11-06,22.88,23.7,22.2,23.29,23.29,138925.0,0.0,1.0
2020-11-05,22.45,23.1,22.2,23.0,23.0,151837.0,0.0,1.0
2020-11-04,21.87,22.85,21.87,22.45,22.45,114950.0,0.0,1.0
2020-11-03,21.36,22.19,21.14,22.0,22.0,157239.0,0.0,1.0
2020-11-02,22.1,22.1,20.0,21.11,21.11,136131.0,0.0,1.0
2020-10-30,21.07,22.09,20.74,21.88,21.88,114186.0,0.0,1.0
2020-10-29,21.74,22.21,20.01,21.46,21.46,123277.0,0.0,1.0
2020-10-28,22.0,22.24,21.1122,21.92,21.92,115109.0,0.0,1.0
2020-10-27,22.44,22.77,21.92,22.47,22.47,131467.0,0.0,1.0
2020-10-26,21.64,22.53,21.13,22.32,22.32,145524.0,0.0,1.0
2020-10-23,22.0,22.41,21.57,21.97,21.97,66741.0,0.0,1.0
2020-10-22,21.42,22.11,21.03,21.9,21.9,182776.0,0.0,1.0
