date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,23.45,23.48,23.38,23.4,23.4,270751.0,0.0,1.0
2021-04-15,23.53,23.55,23.36,23.43,23.43,163118.0,0.0,1.0
2021-04-14,23.47,23.6,23.47,23.51,23.51,239598.0,0.0,1.0
2021-04-13,23.5,23.5,23.39,23.46,23.46,219203.0,0.0,1.0
2021-04-12,23.5,23.52,23.32,23.47,23.47,378981.0,0.0,1.0
2021-04-09,23.49,23.52,23.43,23.47,23.47,203765.0,0.0,1.0
2021-04-08,23.49,23.53,23.43,23.45,23.45,873032.0,0.0,1.0
2021-04-07,23.5,23.52,23.4,23.46,23.46,337491.0,0.0,1.0
2021-04-06,23.5,23.52,23.38,23.46,23.46,355795.0,0.0,1.0
2021-04-05,23.5,23.67,23.37,23.45,23.45,295988.0,0.0,1.0
2021-04-01,23.32,23.48,23.26,23.47,23.47,341535.0,0.0,1.0
2021-03-31,23.34,23.38,23.2,23.25,23.25,801312.0,0.0,1.0
2021-03-30,23.32,23.37,23.27,23.28,23.28,396355.0,0.0,1.0
2021-03-29,23.32,23.36,23.265,23.28,23.28,532190.0,0.0,1.0
2021-03-26,23.4,23.46,23.31,23.32,23.32,415063.0,0.0,1.0
2021-03-25,23.3,23.43,23.27,23.32,23.32,621186.0,0.0,1.0
2021-03-24,23.42,23.49,23.33,23.33,23.33,505992.0,0.0,1.0
2021-03-23,23.37,23.475,23.315,23.4,23.4,602263.0,0.0,1.0
2021-03-22,23.41,23.425,23.35,23.38,23.38,472031.0,0.0,1.0
2021-03-19,23.43,23.48,23.35,23.38,23.38,1494121.0,0.0,1.0
2021-03-18,23.31,23.47,23.28,23.42,23.42,520545.0,0.0,1.0
2021-03-17,23.32,23.39,23.3,23.32,23.32,462257.0,0.0,1.0
2021-03-16,23.37,23.4,23.31,23.32,23.32,863731.0,0.0,1.0
2021-03-15,23.45,23.48,23.33,23.37,23.37,741205.0,0.0,1.0
2021-03-12,23.5,23.5,23.35,23.49,23.49,570756.0,0.0,1.0
2021-03-11,23.49,23.5399,23.43,23.5,23.5,582425.0,0.0,1.0
2021-03-10,23.43,23.47,23.365,23.43,23.43,615393.0,0.0,1.0
2021-03-09,23.4,23.51,23.32,23.36,23.36,758601.0,0.0,1.0
2021-03-08,23.47,23.47,23.24,23.25,23.25,1459872.0,0.0,1.0
2021-03-05,23.5,23.579,23.315,23.45,23.45,1214026.0,0.0,1.0
2021-03-04,23.46,23.57,23.17,23.47,23.47,1829608.0,0.0,1.0
2021-03-03,23.5,23.5,23.25,23.44,23.44,1908902.0,0.0,1.0
2021-03-02,23.55,23.595,23.33,23.41,23.41,1521246.0,0.0,1.0
2021-03-01,23.39,23.72,23.25,23.65,23.65,2306065.0,0.0,1.0
2021-02-26,23.4,23.44,23.13,23.27,23.27,3099169.0,0.0,1.0
2021-02-25,23.35,23.68,23.17,23.28,23.28,1554924.0,0.0,1.0
2021-02-24,23.59,23.7493,23.14,23.27,23.27,1821455.0,0.0,1.0
2021-02-23,23.43,23.95,23.05,23.6,23.6,3462546.0,0.0,1.0
2021-02-22,22.7,23.65,22.5103,23.45,23.45,4789644.0,0.0,1.0
2021-02-19,21.23,22.27,21.13,22.16,22.16,262708.0,0.0,1.0
2021-02-18,21.64,21.69,20.77,21.07,21.07,248849.0,0.0,1.0
2021-02-17,21.41,21.99,20.85,21.78,21.78,236363.0,0.0,1.0
2021-02-16,21.65,21.915,21.2737,21.68,21.68,271842.0,0.0,1.0
2021-02-12,20.76,21.55,20.62,21.49,21.49,179442.0,0.0,1.0
2021-02-11,21.25,21.4,20.59,20.98,20.98,245878.0,0.0,1.0
2021-02-10,21.4,21.66,20.94,21.07,21.07,301890.0,0.0,1.0
2021-02-09,21.79,21.79,21.15,21.18,21.18,203580.0,0.0,1.0
2021-02-08,21.39,21.8658,21.295,21.64,21.64,215538.0,0.0,1.0
2021-02-05,20.89,21.22,20.53,21.05,21.05,171900.0,0.0,1.0
2021-02-04,19.83,20.73,19.82,20.56,20.56,258634.0,0.0,1.0
2021-02-03,19.83,20.13,19.55,19.69,19.69,282101.0,0.0,1.0
2021-02-02,19.66,19.88,19.4,19.67,19.67,184081.0,0.0,1.0
2021-02-01,18.8,19.53,18.6,19.44,19.44,218645.0,0.0,1.0
2021-01-29,19.33,19.96,18.23,18.3,18.3,353393.0,0.0,1.0
2021-01-28,18.88,19.74,18.6,19.36,19.36,350454.0,0.0,1.0
2021-01-27,19.54,19.54,18.07,18.56,18.56,757989.0,0.0,1.0
2021-01-26,20.84,21.15,19.9,19.98,19.98,582421.0,0.0,1.0
2021-01-25,21.12,21.3,19.75,20.65,20.65,263370.0,0.0,1.0
2021-01-22,20.4,21.09,20.11,21.04,21.04,355842.0,0.0,1.0
2021-01-21,21.25,21.56,20.45,20.78,20.78,501880.0,0.0,1.0
2021-01-20,20.38,21.32,20.2001,21.23,21.23,410306.0,0.0,1.0
2021-01-19,19.95,20.8,19.81,20.22,20.22,633773.0,0.0,1.0
2021-01-15,18.8,19.83,18.41,19.54,19.54,681555.0,0.0,1.0
2021-01-14,18.39,19.29,18.2,19.11,19.11,445294.0,0.0,1.0
2021-01-13,18.59,18.78,17.89,18.165,18.165,321589.0,0.0,1.0
2021-01-12,18.7,19.06,18.51,18.65,18.65,475863.0,0.0,1.0
2021-01-11,18.24,18.952,18.0,18.61,18.61,672399.0,0.0,1.0
2021-01-08,19.3,19.48,18.08,18.51,18.51,567438.0,0.0,1.0
2021-01-07,18.8,19.49,18.725,19.27,19.27,600328.0,0.0,1.0
2021-01-06,18.09,19.17,18.03,18.41,18.41,871541.0,0.0,1.0
2021-01-05,17.08,17.67,17.01,17.49,17.49,237653.0,0.0,1.0
2021-01-04,17.26,17.53,16.58,17.02,17.02,314275.0,0.0,1.0
2020-12-31,17.42,17.5155,17.17,17.195,17.195,565666.0,0.0,1.0
2020-12-30,17.26,17.81,17.0609,17.48,17.48,285897.0,0.0,1.0
