date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,48.35,48.655,47.9,48.51,48.51,758958.0,0.0,1.0
2021-04-15,47.32,48.14,47.3,48.05,48.05,753660.0,0.0,1.0
2021-04-14,47.38,47.54,47.03,47.03,47.03,634181.0,0.0,1.0
2021-04-13,47.19,47.505,47.05,47.45,47.45,597678.0,0.0,1.0
2021-04-12,46.98,47.13,46.655,47.11,47.11,587076.0,0.0,1.0
2021-04-09,47.16,47.16,46.79,46.93,46.93,452025.0,0.0,1.0
2021-04-08,47.07,47.56,46.83,46.92,46.92,549765.0,0.0,1.0
2021-04-07,47.26,47.37,46.8,47.1,47.1,695988.0,0.0,1.0
2021-04-06,46.99,47.36,46.89,47.19,47.19,1084036.0,0.0,1.0
2021-04-05,47.47,47.59,46.74,47.15,47.15,809057.0,0.0,1.0
2021-04-01,46.1,47.22,45.87,47.21,47.21,558815.0,0.0,1.0
2021-03-31,46.4,46.45,45.77,45.79,45.79,965892.0,0.0,1.0
2021-03-30,46.22,46.53,46.15,46.49,46.49,1440682.0,0.27,1.0
2021-03-29,47.24,47.47,46.33,46.58,46.3110393499,922536.0,0.0,1.0
2021-03-26,46.31,47.46,46.08,47.39,47.1163622754,903597.0,0.0,1.0
2021-03-25,45.83,46.43,45.035,46.15,45.8835222412,1174455.0,0.0,1.0
2021-03-24,45.97,46.21,45.55,45.67,45.4062938409,982124.0,0.0,1.0
2021-03-23,45.45,46.28,45.45,45.91,45.6449080411,948241.0,0.0,1.0
2021-03-22,45.17,45.71,44.93,45.64,45.3764670659,969285.0,0.0,1.0
2021-03-19,45.94,46.08,45.1432,45.34,45.0781993157,3018400.0,0.0,1.0
2021-03-18,45.55,46.05,44.99,45.82,45.555427716,998975.0,0.0,1.0
2021-03-17,45.87,46.03,44.88,45.81,45.5454854577,928363.0,0.0,1.0
2021-03-16,45.37,46.23,45.28,45.98,45.7145038494,779592.0,0.0,1.0
2021-03-15,44.99,45.63,44.61,45.45,45.1875641574,911331.0,0.0,1.0
2021-03-12,43.89,44.76,43.83,44.76,44.5015483319,1026881.0,0.0,1.0
2021-03-11,43.88,44.3,43.57,44.0,43.745936698,1265275.0,0.0,1.0
2021-03-10,43.88,44.06,43.4,43.85,43.5968028229,847807.0,0.0,1.0
2021-03-09,43.9,44.335,43.51,43.74,43.4874379812,1495547.0,0.0,1.0
2021-03-08,42.93,43.78,42.57,43.65,43.3979576561,1500106.0,0.0,1.0
2021-03-05,42.72,42.94,41.15,42.87,42.6224615056,1231335.0,0.0,1.0
2021-03-04,42.07,42.71,41.705,42.4,42.1551753636,1388458.0,0.0,1.0
2021-03-03,42.67,42.67,41.735,42.05,41.8071963216,1178794.0,0.0,1.0
2021-03-02,42.86,43.0,41.84,42.8,42.5528656972,1322431.0,0.0,1.0
