date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.12,1.12,0.91,1.0,1.0,140351.0,0.0,1.0
2021-04-15,1.0,1.06,0.9,1.019,1.019,63619.0,0.0,1.0
2021-04-14,0.794,1.065,0.794,1.02,1.02,149630.0,0.0,1.0
2021-04-13,1.0001,1.09,0.93,1.0151,1.0151,76576.0,0.0,1.0
2021-04-12,1.1,1.11,1.0,1.1,1.1,82807.0,0.0,1.0
2021-04-09,1.23,1.23,0.9501,1.15,1.15,590930.0,0.0,1.0
2021-04-08,0.8105,1.17,0.8105,0.9,0.9,17646.0,0.0,1.0
2021-04-07,0.726679,0.81,0.72,0.81,0.81,89261.0,0.0,1.0
2021-04-06,0.72,0.79,0.700001,0.72,0.72,232479.0,0.0,1.0
2021-04-05,0.61,0.7499,0.6,0.72,0.72,134846.0,0.0,1.0
2021-04-01,0.69,0.7,0.65,0.699999,0.699999,13573.0,0.0,1.0
2021-03-31,0.6,0.7,0.5201,0.7,0.7,235033.0,0.0,1.0
2021-03-30,0.66,0.66,0.6,0.6,0.6,7201.0,0.0,1.0
2021-03-29,0.65,0.7499,0.58,0.7499,0.7499,105013.0,0.0,1.0
2021-03-26,0.57,0.6851,0.568651,0.65,0.65,132590.0,0.0,1.0
2021-03-25,0.6,0.620001,0.5212,0.57,0.57,70580.0,0.0,1.0
2021-03-24,0.7,0.7,0.6,0.6551,0.6551,72259.0,0.0,1.0
2021-03-23,0.8,0.8,0.62,0.66,0.66,108230.0,0.0,1.0
2021-03-22,0.8,0.8,0.65,0.7,0.7,194689.0,0.0,1.0
2021-03-19,0.9,0.9,0.7,0.74,0.74,66857.0,0.0,1.0
