date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.9753,10.0,9.961,10.0,10.0,6211.0,0.0,1.0
2021-04-15,10.0,10.04,9.99,10.03,10.03,343088.0,0.0,1.0
2021-04-14,9.96,10.0,9.96,10.0,10.0,49785.0,0.0,1.0
2021-04-13,9.98,10.04,9.96,10.04,10.04,29032.0,0.0,1.0
2021-04-12,10.0,10.0,10.0,10.0,10.0,3790.0,0.0,1.0
2021-04-09,9.95,9.98,9.95,9.98,9.98,7942.0,0.0,1.0
2021-04-08,9.9556,9.98,9.955,9.98,9.98,356.0,0.0,1.0
2021-04-07,9.98,9.98,9.9763,9.98,9.98,4373.0,0.0,1.0
2021-04-06,9.95,10.0,9.94,10.0,10.0,19882.0,0.0,1.0
2021-04-05,9.95,9.95,9.9076,9.95,9.95,11777.0,0.0,1.0
2021-04-01,9.88,9.95,9.79,9.95,9.95,15311.0,0.0,1.0
2021-03-31,9.9,9.93,9.81,9.9,9.9,9393.0,0.0,1.0
2021-03-30,9.85,9.9,9.85,9.9,9.9,22265.0,0.0,1.0
2021-03-29,9.99,9.99,9.82,9.9,9.9,14905.0,0.0,1.0
2021-03-26,9.85,9.99,9.8404,9.92,9.92,49110.0,0.0,1.0
2021-03-25,9.8,9.84,9.8,9.82,9.82,25637.0,0.0,1.0
2021-03-24,9.82,9.8627,9.76,9.85,9.85,42563.0,0.0,1.0
2021-03-23,9.9404,9.945,9.85,9.88,9.88,73970.0,0.0,1.0
2021-03-22,9.95,9.955,9.92,9.95,9.95,9269.0,0.0,1.0
2021-03-19,9.98,10.0,9.95,10.0,10.0,14466.0,0.0,1.0
2021-03-18,9.945,9.99,9.945,9.99,9.99,135517.0,0.0,1.0
2021-03-17,9.93,9.95,9.93,9.94,9.94,55076.0,0.0,1.0
2021-03-16,9.97,9.97,9.92,9.96,9.96,9498.0,0.0,1.0
2021-03-15,9.999,9.999,9.975,9.975,9.975,1303.0,0.0,1.0
2021-03-12,9.98,9.99,9.98,9.98,9.98,6234.0,0.0,1.0
2021-03-11,10.0,10.06,9.95,9.98,9.98,86643.0,0.0,1.0
2021-03-10,10.01,10.03,10.0,10.0,10.0,57167.0,0.0,1.0
2021-03-09,10.02,10.1,10.0,10.0,10.0,64428.0,0.0,1.0
2021-03-08,10.09,10.1,10.02,10.02,10.02,46259.0,0.0,1.0
2021-03-05,10.0,10.06,9.96,10.0,10.0,160161.0,0.0,1.0
2021-03-04,10.0,10.01,9.95,9.97,9.97,440311.0,0.0,1.0
2021-03-03,10.02,10.0497,9.98,10.015,10.015,90670.0,0.0,1.0
2021-03-02,10.03,10.05,9.92,9.98,9.98,267953.0,0.0,1.0
2021-03-01,10.115,10.12,10.0,10.01,10.01,56045.0,0.0,1.0
2021-02-26,10.15,10.15,10.07,10.07,10.07,355518.0,0.0,1.0
2021-02-25,10.15,10.24,10.09,10.1,10.1,139703.0,0.0,1.0
2021-02-24,10.2,10.29,10.15,10.24,10.24,65632.0,0.0,1.0
2021-02-23,10.18,10.28,10.1,10.28,10.28,301250.0,0.0,1.0
2021-02-22,10.25,10.25,10.15,10.2,10.2,208937.0,0.0,1.0
2021-02-19,10.18,10.23,10.16,10.2,10.2,183783.0,0.0,1.0
2021-02-18,10.28,10.28,10.177,10.19,10.19,138608.0,0.0,1.0
2021-02-17,10.2,10.29,10.19,10.25,10.25,213714.0,0.0,1.0
2021-02-16,10.25,10.27,10.23,10.23,10.23,127713.0,0.0,1.0
2021-02-12,10.2106,10.2799,10.2,10.23,10.23,152719.0,0.0,1.0
2021-02-11,10.25,10.29,10.17,10.21,10.21,94539.0,0.0,1.0
2021-02-10,10.25,10.3,10.24,10.29,10.29,66323.0,0.0,1.0
2021-02-09,10.26,10.29,10.2,10.26,10.26,80411.0,0.0,1.0
2021-02-08,10.26,10.3,10.22,10.25,10.25,152733.0,0.0,1.0
2021-02-05,10.22,10.28,10.17,10.17,10.17,60583.0,0.0,1.0
2021-02-04,10.21,10.32,10.1701,10.22,10.22,199798.0,0.0,1.0
2021-02-03,10.13,10.2,10.12,10.19,10.19,1006736.0,0.0,1.0
2021-02-02,10.06,10.1,10.03,10.09,10.09,449869.0,0.0,1.0
2021-02-01,10.02,10.05,10.0,10.05,10.05,1841990.0,0.0,1.0
2021-01-29,10.03,10.07,9.96,10.01,10.01,3943878.0,0.0,1.0
