date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.02,10.02,9.92,9.92,9.92,37770.0,0.0,1.0
2021-04-15,9.94,10.015,9.94,9.98,9.98,47627.0,0.0,1.0
2021-04-14,9.92,10.07,9.92,9.94,9.94,67953.0,0.0,1.0
2021-04-13,9.94,9.97,9.85,9.91,9.91,36831.0,0.0,1.0
2021-04-12,10.04,10.1,9.9,9.94,9.94,53790.0,0.0,1.0
2021-04-09,9.98,10.1,9.9,9.99,9.99,42957.0,0.0,1.0
2021-04-08,9.9,9.98,9.8626,9.98,9.98,45689.0,0.0,1.0
2021-04-07,9.85,10.0,9.8,9.92,9.92,67964.0,0.0,1.0
2021-04-06,9.79,9.8989,9.77,9.84,9.84,55565.0,0.0,1.0
2021-04-05,9.9,9.91,9.73,9.79,9.79,62616.0,0.0,1.0
2021-04-01,9.73,9.9,9.7,9.87,9.87,60328.0,0.0,1.0
2021-03-31,9.59,9.73,9.588,9.68,9.68,52414.0,0.0,1.0
2021-03-30,9.5,9.59,9.47,9.59,9.59,139440.0,0.0,1.0
2021-03-29,9.46,9.58,9.425,9.54,9.54,79518.0,0.0,1.0
2021-03-26,9.31,9.55,9.31,9.49,9.49,118910.0,0.0,1.0
2021-03-25,9.23,9.32,9.01,9.28,9.28,119665.0,0.0,1.0
2021-03-24,9.33,9.44,9.3,9.32,9.32,43386.0,0.0,1.0
2021-03-23,9.45,9.51,9.18,9.24,9.24,95211.0,0.0,1.0
2021-03-22,9.61,9.61,9.5,9.55,9.55,77740.0,0.0,1.0
2021-03-19,9.37,9.64,9.37,9.56,9.56,117669.0,0.0,1.0
2021-03-18,9.7,9.74,9.34,9.36,9.36,118874.0,0.0,1.0
2021-03-17,9.73,9.8,9.66,9.75,9.75,77807.0,0.0,1.0
2021-03-16,9.81,9.8199,9.75,9.77,9.77,55332.0,0.0,1.0
2021-03-15,9.84,9.94,9.84,9.86,9.86,65048.0,0.0,1.0
2021-03-12,9.82,9.87,9.78,9.84,9.84,40432.0,0.0,1.0
2021-03-11,9.76,9.8,9.72,9.78,9.78,75204.0,0.0,1.0
2021-03-10,9.47,9.73,9.43,9.72,9.72,99440.0,0.0,1.0
2021-03-09,9.49,9.52,9.4,9.44,9.44,91211.0,0.0,1.0
2021-03-08,9.56,9.57,9.4203,9.48,9.48,108481.0,0.0,1.0
2021-03-05,9.65,9.65,9.27,9.48,9.48,72007.0,0.0,1.0
2021-03-04,9.37,9.54,9.28,9.42,9.42,143811.0,0.0,1.0
2021-03-03,9.25,9.38,9.25,9.31,9.31,54592.0,0.0,1.0
2021-03-02,9.14,9.2289,9.12,9.2,9.2,88120.0,0.0,1.0
2021-03-01,8.89,9.15,8.89,9.13,9.13,101459.0,0.0,1.0
2021-02-26,9.06,9.07,8.73,8.81,8.81,92730.0,0.0,1.0
2021-02-25,9.26,9.26,9.0,9.04,9.04,80173.0,0.0,1.0
2021-02-24,9.05,9.28,9.045,9.2,9.2,86451.0,0.0,1.0
2021-02-23,8.98,9.03,8.8,9.03,9.03,159927.0,0.0,1.0
2021-02-22,8.79,9.03,8.79,9.0,9.0,107777.0,0.0,1.0
2021-02-19,8.75,8.83,8.74,8.8,8.8,83211.0,0.155,1.0
2021-02-18,9.05,9.05,8.83,8.87,8.71647124511,87218.0,0.0,1.0
2021-02-17,9.15,9.15,9.0,9.05,8.89335566723,92178.0,0.0,1.0
2021-02-16,9.05,9.17,9.05,9.13,8.97197096594,108597.0,0.0,1.0
2021-02-12,8.78,9.0,8.73,8.96,8.80491345617,59943.0,0.0,1.0
2021-02-11,8.83,8.8892,8.73,8.82,8.66733668342,32653.0,0.0,1.0
2021-02-10,8.87,8.9,8.78,8.78,8.62802903406,86773.0,0.0,1.0
