date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.97,9.99,9.97,9.99,9.99,13564.0,0.0,1.0
2021-04-15,10.01,10.04,9.98,9.99,9.99,893669.0,0.0,1.0
2021-04-14,10.0,10.0509,9.98,9.98,9.98,673440.0,0.0,1.0
2021-04-13,10.0,10.01,9.96,10.0,10.0,67492.0,0.0,1.0
2021-04-12,9.9823,9.9823,9.92,9.98,9.98,54794.0,0.0,1.0
2021-04-09,9.99,10.0227,9.986,10.0,10.0,107870.0,0.0,1.0
2021-04-08,9.9411,9.99,9.94,9.98,9.98,11086.0,0.0,1.0
2021-04-07,9.91,9.95,9.91,9.94,9.94,40032.0,0.0,1.0
2021-04-06,9.94,9.95,9.9015,9.94,9.94,25808.0,0.0,1.0
2021-04-05,9.9314,9.95,9.9,9.93,9.93,7904.0,0.0,1.0
2021-04-01,10.0,10.0,9.87,9.91,9.91,97301.0,0.0,1.0
2021-03-31,9.93,9.93,9.85,9.87,9.87,170416.0,0.0,1.0
2021-03-30,9.83,9.94,9.81,9.85,9.85,214337.0,0.0,1.0
2021-03-29,9.98,9.98,9.85,9.9,9.9,20260.0,0.0,1.0
2021-03-26,9.8754,9.97,9.84,9.95,9.95,95108.0,0.0,1.0
2021-03-25,9.8,9.91,9.8,9.82,9.82,81079.0,0.0,1.0
2021-03-24,9.93,9.93,9.82,9.88,9.88,115869.0,0.0,1.0
2021-03-23,9.95,9.97,9.91,9.93,9.93,273532.0,0.0,1.0
2021-03-22,9.98,10.04,9.945,9.97,9.97,48767.0,0.0,1.0
2021-03-19,9.9701,9.986,9.92,9.92,9.92,74667.0,0.0,1.0
2021-03-18,10.0,10.0,9.95,9.96,9.96,28177.0,0.0,1.0
2021-03-17,9.9999,9.9999,9.95,9.97,9.97,58954.0,0.0,1.0
2021-03-16,10.03,10.03,9.98,9.99,9.99,299576.0,0.0,1.0
2021-03-15,10.0,10.015,9.995,10.01,10.01,247004.0,0.0,1.0
2021-03-12,10.03,10.03,9.99,10.02,10.02,95105.0,0.0,1.0
2021-03-11,10.055,10.06,10.03,10.06,10.06,188210.0,0.0,1.0
2021-03-10,10.025,10.105,10.025,10.06,10.06,755517.0,0.0,1.0
2021-03-09,10.03,10.05,10.01,10.03,10.03,39236.0,0.0,1.0
2021-03-08,10.08,10.115,9.99,10.04,10.04,308400.0,0.0,1.0
2021-03-05,9.98,10.1,9.96,10.06,10.06,471347.0,0.0,1.0
2021-03-04,10.0,10.0189,9.95,9.97,9.97,994398.0,0.0,1.0
2021-03-03,10.13,10.13,10.0,10.04,10.04,485381.0,0.0,1.0
2021-03-02,10.14,10.1855,10.01,10.11,10.11,444882.0,0.0,1.0
2021-03-01,10.25,10.25,10.12,10.15,10.15,335984.0,0.0,1.0
2021-02-26,10.18,10.28,10.11,10.25,10.25,170174.0,0.0,1.0
2021-02-25,10.35,10.35,10.11,10.18,10.18,324813.0,0.0,1.0
2021-02-24,10.4,10.44,10.2701,10.3,10.3,219144.0,0.0,1.0
2021-02-23,10.38,10.5,10.2,10.43,10.43,1818032.0,0.0,1.0
2021-02-22,10.4,10.5,10.35,10.5,10.5,731783.0,0.0,1.0
2021-02-19,10.33,10.39,10.33,10.38,10.38,82856.0,0.0,1.0
2021-02-18,10.36,10.39,10.31,10.355,10.355,177976.0,0.0,1.0
2021-02-17,10.4,10.43,10.34,10.37,10.37,251249.0,0.0,1.0
2021-02-16,10.45,10.49,10.37,10.4,10.4,302645.0,0.0,1.0
2021-02-12,10.44,10.4478,10.35,10.39,10.39,462775.0,0.0,1.0
2021-02-11,10.44,10.44,10.36,10.42,10.42,1334515.0,0.0,1.0
2021-02-10,10.45,10.5,10.31,10.39,10.39,1613217.0,0.0,1.0
2021-02-09,10.19,10.35,10.16,10.35,10.35,11758410.0,0.0,1.0
