date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.05,10.05,8.88,9.03,9.03,2608998.0,0.0,1.0
2021-04-15,10.04,10.0901,10.01,10.07,10.07,1668149.0,0.0,1.0
2021-04-14,10.05,10.08,10.04,10.06,10.06,1008633.0,0.0,1.0
2021-04-13,10.09,10.1,10.01,10.05,10.05,918805.0,0.0,1.0
2021-04-12,10.11,10.15,9.995,10.05,10.05,1326248.0,0.0,1.0
2021-04-09,10.32,10.32,10.07,10.13,10.13,1186854.0,0.0,1.0
2021-04-08,10.47,10.47,10.28,10.32,10.32,538129.0,0.0,1.0
2021-04-07,10.4,10.4973,10.26,10.39,10.39,732092.0,0.0,1.0
2021-04-06,10.47,10.56,10.27,10.47,10.47,846236.0,0.0,1.0
2021-04-05,10.9,10.99,10.35,10.52,10.52,822992.0,0.0,1.0
2021-04-01,10.84,10.84,10.47,10.72,10.72,880509.0,0.0,1.0
2021-03-31,10.63,10.8,10.6275,10.67,10.67,438971.0,0.0,1.0
2021-03-30,10.5,10.84,10.3268,10.63,10.63,740387.0,0.0,1.0
2021-03-29,10.61,10.78,10.45,10.65,10.65,726304.0,0.0,1.0
2021-03-26,11.04,11.07,10.43,10.67,10.67,727447.0,0.0,1.0
2021-03-25,10.31,10.97,10.13,10.95,10.95,1124341.0,0.0,1.0
2021-03-24,10.89,11.19,10.37,10.69,10.69,1530018.0,0.0,1.0
2021-03-23,11.19,11.21,10.67,10.86,10.86,1012686.0,0.0,1.0
2021-03-22,11.9,11.9,11.05,11.29,11.29,1396615.0,0.0,1.0
2021-03-19,11.37,11.6,11.02,11.19,11.19,1105714.0,0.0,1.0
2021-03-18,11.92,12.0,11.2401,11.39,11.39,663289.0,0.0,1.0
2021-03-17,12.05,12.25,11.72,12.02,12.02,883561.0,0.0,1.0
2021-03-16,12.72,13.21,12.11,12.4,12.4,1116750.0,0.0,1.0
2021-03-15,12.39,12.75,12.01,12.67,12.67,1106934.0,0.0,1.0
2021-03-12,11.63,12.42,11.58,12.39,12.39,1605730.0,0.0,1.0
2021-03-11,11.55,11.8,11.44,11.57,11.57,917214.0,0.0,1.0
2021-03-10,11.65,11.8799,11.15,11.35,11.35,687401.0,0.0,1.0
2021-03-09,11.09,11.5,10.92,11.5,11.5,1085524.0,0.0,1.0
2021-03-08,11.2,11.45,10.521,10.85,10.85,1857213.0,0.0,1.0
2021-03-05,11.21,11.34,10.26,11.11,11.11,2830456.0,0.0,1.0
2021-03-04,11.5,11.65,10.55,10.95,10.95,2542573.0,0.0,1.0
2021-03-03,12.51,12.51,11.75,11.89,11.89,1420626.0,0.0,1.0
2021-03-02,13.31,13.45,12.33,12.55,12.55,2539765.0,0.0,1.0
2021-03-01,12.26,14.57,11.895,13.82,13.82,8249926.0,0.0,1.0
2021-02-26,12.24,12.39,11.26,11.79,11.79,1654780.0,0.0,1.0
2021-02-25,12.77,12.835,12.0,12.18,12.18,1661180.0,0.0,1.0
2021-02-24,12.81,13.14,12.67,12.78,12.78,1328438.0,0.0,1.0
2021-02-23,13.1,13.1,11.8167,12.81,12.81,3218667.0,0.0,1.0
2021-02-22,13.83,14.24,13.3,13.7,13.7,2129475.0,0.0,1.0
2021-02-19,14.89,15.1,13.87,13.92,13.92,2101418.0,0.0,1.0
2021-02-18,14.79,15.1699,14.12,14.78,14.78,1992166.0,0.0,1.0
2021-02-17,14.0,15.8993,13.75,15.26,15.26,2927151.0,0.0,1.0
2021-02-16,14.39,14.57,13.85,13.97,13.97,1166672.0,0.0,1.0
2021-02-12,13.9,14.24,13.72,14.08,14.08,881804.0,0.0,1.0
2021-02-11,14.18,14.19,13.65,13.91,13.91,1578018.0,0.0,1.0
2021-02-10,14.5,14.5899,13.85,14.38,14.38,1693365.0,0.0,1.0
