date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.15,10.2,10.14,10.18,10.18,27637.0,0.0,1.0
2021-04-15,10.18,10.2,10.16,10.2,10.2,110658.0,0.0,1.0
2021-04-14,10.2,10.21,10.17,10.17,10.17,59757.0,0.0,1.0
2021-04-13,10.08,10.2,10.08,10.14,10.14,56815.0,0.0,1.0
2021-04-12,10.1548,10.19,10.1,10.13,10.13,217519.0,0.0,1.0
2021-04-09,10.28,10.28,10.1701,10.19,10.19,19732.0,0.0,1.0
2021-04-08,10.1096,10.28,10.1,10.28,10.28,43593.0,0.0,1.0
2021-04-07,10.03,10.16,10.03,10.16,10.16,34294.0,0.0,1.0
2021-04-06,10.15,10.18,10.08,10.16,10.16,100371.0,0.0,1.0
2021-04-05,10.105,10.13,10.04,10.1,10.1,677137.0,0.0,1.0
2021-04-01,10.08,10.22,10.08,10.08,10.08,153939.0,0.0,1.0
2021-03-31,10.15,10.25,10.01,10.09,10.09,56553.0,0.0,1.0
2021-03-30,10.12,10.17,10.06,10.11,10.11,41217.0,0.0,1.0
2021-03-29,10.05,10.28,10.05,10.15,10.15,65096.0,0.0,1.0
2021-03-26,10.02,10.21,9.99,10.17,10.17,70306.0,0.0,1.0
2021-03-25,10.0,10.05,9.93,10.03,10.03,63576.0,0.0,1.0
2021-03-24,10.02,10.08,9.945,10.08,10.08,170253.0,0.0,1.0
2021-03-23,10.18,10.265,10.0,10.03,10.03,224877.0,0.0,1.0
2021-03-22,10.22,10.28,10.14,10.2,10.2,71530.0,0.0,1.0
2021-03-19,10.2609,10.28,10.2,10.24,10.24,18761.0,0.0,1.0
2021-03-18,10.18,10.28,10.11,10.25,10.25,111399.0,0.0,1.0
2021-03-17,10.16,10.18,10.1,10.17,10.17,146321.0,0.0,1.0
2021-03-16,10.245,10.245,10.12,10.15,10.15,109899.0,0.0,1.0
2021-03-15,10.19,10.299,10.15,10.23,10.23,124746.0,0.0,1.0
2021-03-12,10.2,10.24,10.17,10.19,10.19,77068.0,0.0,1.0
2021-03-11,10.25,10.2799,10.22,10.27,10.27,52536.0,0.0,1.0
2021-03-10,10.26,10.33,10.24,10.27,10.27,291284.0,0.0,1.0
2021-03-09,10.24,10.3299,10.22,10.31,10.31,45474.0,0.0,1.0
2021-03-08,10.25,10.4468,10.2,10.21,10.21,263037.0,0.0,1.0
2021-03-05,10.16,10.28,10.05,10.26,10.26,71290.0,0.0,1.0
2021-03-04,10.26,10.345,9.99,10.12,10.12,765892.0,0.0,1.0
2021-03-03,10.3,10.43,10.17,10.32,10.32,411736.0,0.0,1.0
2021-03-02,10.55,10.65,10.15,10.25,10.25,350865.0,0.0,1.0
2021-03-01,10.81,10.82,10.5,10.54,10.54,1312718.0,0.0,1.0
2021-02-26,10.65,10.9,10.5,10.55,10.55,260342.0,0.0,1.0
2021-02-25,11.01,11.1,10.7,10.71,10.71,232799.0,0.0,1.0
2021-02-24,11.03,11.1,11.0,11.03,11.03,592660.0,0.0,1.0
2021-02-23,11.09,11.1,11.0,11.0,11.0,519522.0,0.0,1.0
2021-02-22,11.23,11.3,11.05,11.085,11.085,102451.0,0.0,1.0
2021-02-19,11.05,11.25,11.01,11.24,11.24,232968.0,0.0,1.0
2021-02-18,10.89,11.1,10.81,11.02,11.02,786609.0,0.0,1.0
2021-02-17,11.1,11.14,10.8,10.83,10.83,214983.0,0.0,1.0
2021-02-16,11.0,11.0,10.9,10.97,10.97,116022.0,0.0,1.0
2021-02-12,10.84,10.99,10.8299,10.94,10.94,46025.0,0.0,1.0
2021-02-11,10.92,11.0,10.725,10.8,10.8,258377.0,0.0,1.0
2021-02-10,11.0,11.0,10.85,10.85,10.85,296881.0,0.0,1.0
2021-02-09,10.92,10.94,10.79,10.92,10.92,295134.0,0.0,1.0
2021-02-08,10.92,10.95,10.85,10.9,10.9,349042.0,0.0,1.0
2021-02-05,10.93,11.0,10.77,10.84,10.84,200191.0,0.0,1.0
2021-02-04,11.0,11.05,10.85,10.9,10.9,582999.0,0.0,1.0
2021-02-03,11.01,11.0113,10.88,10.9,10.9,482091.0,0.0,1.0
2021-02-02,11.03,11.145,10.86,10.89,10.89,271601.0,0.0,1.0
2021-02-01,10.94,11.0,10.8,10.95,10.95,211293.0,0.0,1.0
2021-01-29,10.95,10.95,10.65,10.9,10.9,105065.0,0.0,1.0
2021-01-28,10.84,10.98,10.67,10.97,10.97,122256.0,0.0,1.0
2021-01-27,10.91,11.0,10.59,11.0,11.0,429888.0,0.0,1.0
2021-01-26,11.4,11.4,10.98,11.07,11.07,500386.0,0.0,1.0
2021-01-25,11.55,11.59,11.2,11.39,11.39,712269.0,0.0,1.0
2021-01-22,11.17,11.3559,10.96,11.31,11.31,579065.0,0.0,1.0
2021-01-21,10.69,11.2,10.67,11.14,11.14,1362831.0,0.0,1.0
2021-01-20,10.65,11.0,10.6,10.7,10.7,9367968.0,0.0,1.0
