date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.52,1.535,1.44,1.46,1.46,95873.0,0.0,1.0
2021-04-15,1.65,1.65,1.53,1.57,1.57,4678.0,0.0,1.0
2021-04-14,1.6,1.7,1.6,1.62,1.62,10167.0,0.0,1.0
2021-04-13,1.51,1.56,1.51,1.55,1.55,39288.0,0.0,1.0
2021-04-12,2.05,2.05,1.745,1.75,1.75,8573.0,0.0,1.0
2021-04-09,1.7,2.06,1.61,2.06,2.06,45709.0,0.0,1.0
2021-04-08,1.87,1.9255,1.71,1.725,1.725,156180.0,0.0,1.0
2021-04-07,1.61,1.9,1.46,1.7,1.7,195192.0,0.0,1.0
2021-04-06,1.64,1.64,1.4,1.57,1.57,56363.0,0.0,1.0
2021-04-05,1.2,1.79,1.2,1.445,1.445,84080.0,0.0,1.0
2021-04-01,1.46,1.46,1.35,1.35,1.35,27895.0,0.0,1.0
2021-03-31,1.29,1.49,1.06,1.41,1.41,21526.0,0.0,1.0
2021-03-30,1.11,1.16,1.1,1.11,1.11,8001.0,0.0,1.0
2021-03-29,1.26,1.26,1.1,1.15,1.15,19165.0,0.0,1.0
2021-03-26,1.08,1.26,1.052,1.21,1.21,6984.0,0.0,1.0
2021-03-25,1.07,1.2,1.02,1.08,1.08,73824.0,0.0,1.0
2021-03-24,1.24,1.24,1.07,1.1261,1.1261,296651.0,0.0,1.0
2021-03-23,1.4,1.4,1.21,1.24,1.24,33134.0,0.0,1.0
2021-03-22,1.51,1.565,1.4,1.4,1.4,16871.0,0.0,1.0
2021-03-19,1.76,1.8,1.58,1.58,1.58,4465.0,0.0,1.0
2021-03-18,5.225,5.225,1.79,1.8,1.8,9394.0,0.0,1.0
2021-03-17,1.79,1.85,1.65,1.72,1.72,12360.0,0.0,1.0
2021-03-16,1.91,1.91,1.5,1.7464,1.7464,22268.0,0.0,1.0
2021-03-15,1.76,1.9,1.76,1.9,1.9,20221.0,0.0,1.0
