date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.0001,10.01,9.99,10.0,10.0,116387.0,0.0,1.0
2021-04-15,10.01,10.0284,10.0,10.0,10.0,13818.0,0.0,1.0
2021-04-14,10.04,10.04,10.0,10.01,10.01,60941.0,0.0,1.0
2021-04-13,10.05,10.13,10.0,10.04,10.04,28513.0,0.0,1.0
2021-04-12,10.04,10.045,9.93,10.03,10.03,278484.0,0.0,1.0
2021-04-09,10.1,10.12,10.0,10.04,10.04,490410.0,0.0,1.0
2021-04-08,10.11,10.1999,9.91,10.14,10.14,464674.0,0.0,1.0
2021-04-07,9.88,11.0,9.88,10.095,10.095,558709.0,0.0,1.0
2021-04-06,9.87,9.95,9.87,9.88,9.88,18024.0,0.0,1.0
2021-04-05,9.9199,9.95,9.85,9.9,9.9,14881.0,0.0,1.0
2021-04-01,9.99,9.99,9.85,9.88,9.88,15486.0,0.0,1.0
2021-03-31,9.87,9.9,9.81,9.9,9.9,38343.0,0.0,1.0
2021-03-30,9.85,9.9817,9.85,9.85,9.85,47935.0,0.0,1.0
2021-03-29,10.49,10.49,9.81,9.81,9.81,21690.0,0.0,1.0
2021-03-26,9.85,9.85,9.805,9.805,9.805,6070.0,0.0,1.0
2021-03-25,9.75,9.852,9.69,9.785,9.785,31926.0,0.0,1.0
2021-03-24,9.79,9.85,9.78,9.8062,9.8062,1595325.0,0.0,1.0
2021-03-23,9.86,9.95,9.7501,9.815,9.815,77712.0,0.0,1.0
2021-03-22,9.999,9.999,9.8,9.86,9.86,76297.0,0.0,1.0
2021-03-19,10.0,10.0,9.9956,9.9956,9.9956,280.0,0.0,1.0
2021-03-18,10.25,10.25,10.0,10.0,10.0,598.0,0.0,1.0
2021-03-17,10.0,10.305,9.94,10.13,10.13,17449.0,0.0,1.0
2021-03-16,9.9467,10.01,9.9,10.01,10.01,99896.0,0.0,1.0
2021-03-15,10.05,10.11,9.81,9.82,9.82,18840.0,0.0,1.0
