date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,14.22,14.4,14.17,14.3,14.3,499413.0,0.0,1.0
2021-04-15,13.94,14.13,13.82,14.1,14.1,548260.0,0.0,1.0
2021-04-14,13.89,14.02,13.82,13.83,13.83,343373.0,0.0,1.0
2021-04-13,13.71,13.93,13.71,13.85,13.85,266959.0,0.0,1.0
2021-04-12,13.75,13.83,13.57,13.82,13.82,240164.0,0.0,1.0
2021-04-09,13.8,13.815,13.66,13.69,13.69,242974.0,0.0,1.0
2021-04-08,13.78,13.87,13.69,13.76,13.76,259269.0,0.0,1.0
2021-04-07,13.77,13.86,13.66,13.74,13.74,285203.0,0.0,1.0
2021-04-06,13.57,13.79,13.53,13.77,13.77,353371.0,0.0,1.0
2021-04-05,13.58,13.68,13.37,13.53,13.53,407818.0,0.0,1.0
2021-04-01,13.2,13.5,13.17,13.5,13.5,491168.0,0.0,1.0
2021-03-31,13.14,13.24,13.0,13.11,13.11,611341.0,0.0,1.0
2021-03-30,12.92,13.21,12.85,13.14,13.14,472481.0,0.0,1.0
2021-03-29,13.27,13.29,12.92,12.96,12.96,418145.0,0.0,1.0
2021-03-26,13.1,13.29,13.085,13.23,13.23,325436.0,0.0,1.0
2021-03-25,13.14,13.14,12.82,13.02,13.02,1114535.0,0.0,1.0
2021-03-24,13.27,13.415,13.065,13.07,13.07,1084288.0,0.0,1.0
2021-03-23,13.24,13.37,13.11,13.21,13.21,472460.0,0.205,1.0
2021-03-22,13.42,13.58,13.31,13.51,13.3035482669,407006.0,0.0,1.0
2021-03-19,13.49,13.58,13.27,13.46,13.2543123369,1555263.0,0.0,1.0
2021-03-18,13.61,13.75,13.355,13.44,13.234617965,823877.0,0.0,1.0
2021-03-17,13.53,13.68,13.33,13.59,13.3823257548,869188.0,0.0,1.0
2021-03-16,13.45,13.67,13.305,13.47,13.2641595229,5431226.0,0.0,1.0
2021-03-15,14.46,14.67,14.39,14.62,14.3965859113,375178.0,0.0,1.0
2021-03-12,14.14,14.44,14.07,14.43,14.2094893776,466713.0,0.0,1.0
2021-03-11,14.28,14.29,14.08,14.14,13.923920984,386472.0,0.0,1.0
2021-03-10,14.18,14.3,14.05,14.21,13.9928512859,372533.0,0.0,1.0
2021-03-09,14.07,14.15,13.92,14.08,13.8648378681,347653.0,0.0,1.0
2021-03-08,13.74,14.0971,13.54,13.99,13.7762131942,290876.0,0.0,1.0
2021-03-05,13.63,13.69,13.24,13.68,13.4709504286,342818.0,0.0,1.0
2021-03-04,13.58,13.94,13.5,13.68,13.4709504286,616617.0,0.0,1.0
2021-03-03,13.51,13.76,13.39,13.76,13.5497279165,329425.0,0.0,1.0
2021-03-02,13.45,13.6,13.21,13.47,13.2641595229,415320.0,0.0,1.0
2021-03-01,13.59,13.71,13.44,13.5,13.2937010809,201856.0,0.0,1.0
2021-02-26,13.83,13.955,13.47,13.47,13.2641595229,396490.0,0.0,1.0
2021-02-25,14.03,14.25,13.73,13.74,13.5300335445,288152.0,0.0,1.0
2021-02-24,13.87,14.13,13.69,13.97,13.7565188222,386309.0,0.0,1.0
2021-02-23,13.55,13.96,13.55,13.74,13.5300335445,463323.0,0.0,1.0
2021-02-22,13.22,13.64,13.17,13.55,13.3429370108,332668.0,0.0,1.0
2021-02-19,13.25,13.33,13.13,13.22,13.0179798733,354109.0,0.0,1.0
2021-02-18,13.37,13.49,13.21,13.23,13.0278270593,306779.0,0.0,1.0
2021-02-17,13.38,13.4597,13.22,13.35,13.1459932911,403896.0,0.0,1.0
2021-02-16,13.55,13.55,13.3,13.38,13.175534849,462383.0,0.0,1.0
2021-02-12,13.5,13.6299,13.38,13.5,13.2937010809,267116.0,0.0,1.0
2021-02-11,13.55,13.75,13.44,13.57,13.3626313828,244728.0,0.0,1.0
2021-02-10,13.35,13.73,13.315,13.56,13.3527841968,362145.0,0.0,1.0
2021-02-09,13.49,13.51,13.23,13.24,13.0376742452,422089.0,0.0,1.0
2021-02-08,13.18,13.48,13.1,13.38,13.175534849,466967.0,0.0,1.0
2021-02-05,13.02,13.22,13.02,13.03,12.8308833395,446466.0,0.0,1.0
2021-02-04,12.75,13.2199,12.7,13.06,12.8604248975,371096.0,0.0,1.0
2021-02-03,13.04,13.04,12.58,12.75,12.5551621319,340305.0,0.0,1.0
2021-02-02,12.9,13.08,12.765,12.95,12.7521058517,381189.0,0.0,1.0
2021-02-01,12.62,12.87,12.41,12.84,12.6437868058,279229.0,0.0,1.0
2021-01-29,12.6,12.82,12.43,12.54,12.3483712262,371935.0,0.0,1.0
2021-01-28,12.6,12.85,12.4601,12.69,12.496079016,744278.0,0.0,1.0
2021-01-27,12.9,12.99,12.4,12.57,12.3779127842,622113.0,0.0,1.0
2021-01-26,13.38,13.38,13.0,13.05,12.8505777115,743515.0,0.0,1.0
2021-01-25,13.26,13.43,13.0,13.2,12.9982855013,1042191.0,0.0,1.0
2021-01-22,13.14,13.27,13.0,13.26,13.0573686172,289262.0,0.0,1.0
2021-01-21,13.19,13.26,12.95,13.22,13.0179798733,274117.0,0.0,1.0
2021-01-20,12.89,13.26,12.88,13.25,13.0475214312,176850.0,0.0,1.0
2021-01-19,13.22,13.24,12.81,12.89,12.6930227357,253707.0,0.0,1.0
2021-01-15,12.85,13.22,12.76,13.16,12.9588967574,383184.0,0.0,1.0
2021-01-14,13.19,13.2481,12.9,12.92,12.7225642937,246657.0,0.0,1.0
2021-01-13,12.94,13.18,12.9,13.11,12.9096608274,762239.0,0.0,1.0
2021-01-12,12.96,13.0,12.78,12.89,12.6930227357,277583.0,0.0,1.0
2021-01-11,12.68,12.93,12.65,12.91,12.7127171077,210602.0,0.0,1.0
2021-01-08,12.72,12.74,12.48,12.68,12.48623183,183575.0,0.0,1.0
2021-01-07,12.74,12.74,12.44,12.64,12.4468430861,320397.0,0.0,1.0
2021-01-06,12.73,12.83,12.51,12.67,12.4763846441,510989.0,0.0,1.0
2021-01-05,12.46,12.85,12.455,12.66,12.4665374581,260126.0,0.0,1.0
2021-01-04,13.25,13.2997,12.4665,12.51,12.3188296683,327302.0,0.0,1.0
2020-12-31,13.13,13.13,12.85,13.06,12.8604248975,923463.0,0.0,1.0
2020-12-30,12.65,13.19,12.61,13.16,12.9588967574,508388.0,0.0,1.0
2020-12-29,12.99,13.12,12.52,12.64,12.4468430861,620547.0,0.0,1.0
2020-12-28,13.4,13.4425,12.86,12.99,12.7914945956,780951.0,0.0,1.0
2020-12-24,13.59,13.67,13.33,13.4,13.195229221,155678.0,0.2,1.0
2020-12-23,13.91,14.04,13.74,13.77,13.3601695863,397391.0,0.0,1.0
