date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,20.73,20.8,20.6,20.75,20.75,154539.0,0.0,1.0
2021-04-15,20.2,20.674,20.11,20.65,20.65,134388.0,0.0,1.0
2021-04-14,20.39,20.54,20.24,20.27,20.27,138390.0,0.0,1.0
2021-04-13,20.31,20.48,20.15,20.38,20.38,126525.0,0.0,1.0
2021-04-12,20.32,20.38,20.095,20.35,20.35,149759.0,0.0,1.0
2021-04-09,20.53,20.53,20.27,20.27,20.27,122398.0,0.0,1.0
2021-04-08,20.49,20.52,20.29,20.48,20.48,119246.0,0.0,1.0
2021-04-07,20.36,20.5,20.31,20.43,20.43,144490.0,0.0,1.0
2021-04-06,20.26,20.416,20.18,20.34,20.34,170147.0,0.0,1.0
2021-04-05,20.19,20.34,20.07,20.23,20.23,178818.0,0.0,1.0
2021-04-01,19.61,20.05,19.53,20.05,20.05,206095.0,0.0,1.0
2021-03-31,19.88,19.89,19.55,19.56,19.56,227176.0,0.0,1.0
2021-03-30,19.5,19.94,19.466,19.805,19.805,195799.0,0.0,1.0
2021-03-29,19.74,19.87,19.42,19.54,19.54,157233.0,0.0,1.0
2021-03-26,19.63,19.75,19.5,19.73,19.73,185451.0,0.0,1.0
2021-03-25,19.24,19.49,18.94,19.41,19.41,206504.0,0.0,1.0
2021-03-24,19.39,19.8,19.25,19.27,19.27,194800.0,0.0,1.0
2021-03-23,19.42,19.59,19.225,19.31,19.31,143560.0,0.0,1.0
2021-03-22,19.66,19.75,19.17,19.42,19.42,206659.0,0.0,1.0
2021-03-19,19.94,20.0,19.55,19.61,19.61,376269.0,0.0,1.0
2021-03-18,20.24,20.35,19.83,19.9,19.9,167713.0,0.0,1.0
2021-03-17,20.4,20.4,20.015,20.23,20.23,167225.0,0.1252,1.0
2021-03-16,20.92,20.92,20.38,20.53,20.403774966,230161.0,0.0,1.0
2021-03-15,20.47,20.95,20.38,20.75,20.6224223354,255640.0,0.0,1.0
2021-03-12,20.09,20.46,20.01,20.46,20.3342053485,271463.0,0.0,1.0
2021-03-11,19.74,20.26,19.6,19.95,19.8273409923,267760.0,0.0,1.0
2021-03-10,19.61,19.78,19.46,19.71,19.5888165894,216271.0,0.0,1.0
2021-03-09,19.67,19.79,19.32,19.59,19.469554388,299553.0,0.0,1.0
2021-03-08,19.54,19.89,19.45,19.66,19.5391240055,232233.0,0.0,1.0
2021-03-05,19.72,19.81,19.1,19.53,19.4099232872,300950.0,0.0,1.0
2021-03-04,19.7,19.92,19.39,19.61,19.4894314215,298701.0,0.0,1.0
2021-03-03,19.0,19.98,19.0,19.7,19.5788780726,438925.0,0.0,1.0
2021-03-02,19.09,19.21,18.84,19.01,18.8931204142,210878.0,0.0,1.0
2021-03-01,18.95,19.24,18.95,19.05,18.9328744814,310314.0,0.0,1.0
2021-02-26,18.81,19.27,18.67,18.68,18.5651493602,665963.0,0.0,1.0
2021-02-25,19.0,19.18,18.64,18.64,18.5253952931,485667.0,0.0,1.0
2021-02-24,18.99,19.5,18.76,18.915,18.7987045048,439812.0,0.0,1.0
2021-02-23,18.9,19.3,18.9,18.94,18.8235507967,227465.0,0.0,1.0
2021-02-22,18.68,18.93,18.5735,18.86,18.7440426624,214308.0,0.0,1.0
2021-02-19,18.67,19.41,18.54,18.63,18.5154567763,200343.0,0.0,1.0
2021-02-18,19.16,19.45,18.64,18.66,18.5452723267,243490.0,0.0,1.0
2021-02-17,19.16,19.75,19.03,19.2,19.0819522332,272912.0,0.0,1.0
2021-02-16,19.3,19.3,18.96,19.17,19.0521366829,205670.0,0.1252,1.0
2021-02-12,19.31,19.325,19.1,19.3,19.0569255994,146800.0,0.0,1.0
2021-02-11,19.03,19.4299,19.03,19.35,19.106295873,221540.0,0.0,1.0
2021-02-10,18.88,19.21,18.71,19.03,18.7903261221,205715.0,0.0,1.0
2021-02-09,18.73,18.87,18.56,18.68,18.4447342071,193716.0,0.0,1.0
2021-02-08,18.45,18.65,18.28,18.62,18.3854898788,235232.0,0.0,1.0
2021-02-05,18.59,18.59,18.26,18.41,18.1781347298,170091.0,0.0,1.0
2021-02-04,18.13,18.5967,18.13,18.39,18.1583866204,279584.0,0.0,1.0
2021-02-03,17.94,18.18,17.75,18.11,17.8819130883,256749.0,0.0,1.0
2021-02-02,17.91,17.99,17.81,17.93,17.7041801035,212978.0,0.0,1.0
2021-02-01,17.94,17.94,17.46,17.84,17.615313611,299937.0,0.0,1.0
2021-01-29,18.12,18.29,17.68,17.71,17.4869508998,265312.0,0.0,1.0
2021-01-28,17.95,18.35,17.75,18.08,17.8522909242,277092.0,0.0,1.0
2021-01-27,18.1,18.23,17.83,17.98,17.753550377,251340.0,0.0,1.0
2021-01-26,18.4,18.48,18.12,18.23,18.0004017449,206233.0,0.0,1.0
2021-01-25,18.25,18.43,18.04,18.27,18.0398979638,204380.0,0.0,1.0
2021-01-22,18.3,18.4305,18.08,18.38,18.1485125656,175005.0,0.0,1.0
2021-01-21,18.75,18.75,18.19,18.38,18.1485125656,213460.0,0.1252,1.0
2021-01-20,18.5569,18.82,18.53,18.77,18.4082582879,240477.0,0.0,1.0
2021-01-19,18.61,18.78,18.48,18.59,18.2317273081,224337.0,0.0,1.0
2021-01-15,18.07,18.627,18.03,18.54,18.1826909248,212640.0,0.0,1.0
