date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,34.0,34.41,33.6,34.06,34.06,103276.0,0.0,1.0
2021-04-15,33.46,33.87,33.105,33.87,33.87,53174.0,0.0,1.0
2021-04-14,33.46,33.72,33.18,33.42,33.42,38774.0,0.0,1.0
2021-04-13,33.76,33.98,33.06,33.39,33.39,32175.0,0.0,1.0
2021-04-12,33.79,33.98,33.15,33.7,33.7,48228.0,0.0,1.0
2021-04-09,33.35,33.87,33.25,33.64,33.64,52049.0,0.0,1.0
2021-04-08,32.83,33.25,32.45,33.24,33.24,95818.0,0.0,1.0
2021-04-07,33.56,33.56,32.54,32.83,32.83,52011.0,0.0,1.0
2021-04-06,33.62,33.8,33.24,33.55,33.55,64338.0,0.0,1.0
2021-04-05,33.9,34.0,33.34,33.78,33.78,59972.0,0.0,1.0
2021-04-01,33.13,33.54,32.84,33.53,33.53,56284.0,0.0,1.0
2021-03-31,33.55,34.09,32.87,33.11,33.11,132814.0,0.0,1.0
2021-03-30,33.4,33.8,33.04,33.66,33.66,55308.0,0.0,1.0
2021-03-29,33.8,34.33,33.16,33.45,33.45,77756.0,0.0,1.0
2021-03-26,33.35,34.1,32.8,34.05,34.05,49389.0,0.0,1.0
2021-03-25,32.58,33.01,32.45,32.91,32.91,60011.0,0.0,1.0
2021-03-24,32.65,33.79,32.6,32.69,32.69,70506.0,0.0,1.0
2021-03-23,32.38,32.79,31.89,32.41,32.41,94237.0,0.0,1.0
2021-03-22,34.81,34.94,32.25,32.8,32.8,133019.0,0.0,1.0
2021-03-19,35.0,35.46,34.23,34.94,34.94,471415.0,0.0,1.0
2021-03-18,35.09,35.8,34.54,35.22,35.22,64865.0,0.0,1.0
2021-03-17,34.47,35.23,34.38,35.09,35.09,48697.0,0.0,1.0
2021-03-16,34.48,34.69,34.04,34.55,34.55,46375.0,0.0,1.0
2021-03-15,34.57,34.945,34.31,34.7,34.7,75698.0,0.0,1.0
2021-03-12,34.54,34.925,34.1,34.82,34.82,51475.0,0.0,1.0
2021-03-11,34.85,34.85,34.075,34.37,34.37,61805.0,0.0,1.0
2021-03-10,34.81,35.13,34.2,34.7,34.7,92407.0,0.0,1.0
2021-03-09,35.94,35.94,34.25,34.37,34.37,57978.0,0.0,1.0
2021-03-08,34.16,35.81,34.16,35.71,35.71,88407.0,0.0,1.0
2021-03-05,32.92,34.35,32.5,34.35,34.35,112157.0,0.0,1.0
2021-03-04,32.83,33.34,32.1,32.35,32.35,107669.0,0.0,1.0
2021-03-03,32.3,33.15,32.17,33.0,33.0,65101.0,0.0,1.0
2021-03-02,32.7,32.78,32.13,32.27,32.27,46343.0,0.0,1.0
2021-03-01,33.09,33.32,32.56,32.84,32.84,72979.0,0.0,1.0
2021-02-26,32.67,32.85,31.99,31.99,31.99,89702.0,0.0,1.0
2021-02-25,33.29,33.595,33.0,33.02,33.02,69583.0,0.0,1.0
2021-02-24,32.85,33.705,32.765,33.46,33.46,74759.0,0.0,1.0
2021-02-23,32.75,33.48,32.04,32.6,32.6,39578.0,0.0,1.0
2021-02-22,32.05,32.92,31.92,32.77,32.77,29304.0,0.0,1.0
2021-02-19,31.38,32.68,31.38,32.28,32.28,41782.0,0.0,1.0
2021-02-18,31.52,32.14,31.13,31.18,31.18,41856.0,0.0,1.0
2021-02-17,32.02,32.33,31.39,31.76,31.76,40298.0,0.0,1.0
2021-02-16,32.22,32.66,31.875,32.34,32.34,39747.0,0.0,1.0
2021-02-12,31.75,32.24,31.75,32.21,32.21,38321.0,0.0,1.0
2021-02-11,32.12,32.27,31.62,31.76,31.76,39929.0,0.155,1.0
2021-02-10,32.76,32.91,32.09,32.25,32.0933730221,29643.0,0.0,1.0
2021-02-09,33.38,33.38,32.55,32.65,32.4914303619,34885.0,0.0,1.0
2021-02-08,32.15,33.45,32.15,33.34,33.1780792731,54308.0,0.0,1.0
2021-02-05,31.8,32.49,30.51,32.26,32.1033244556,80640.0,0.0,1.0
