date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,7.2,7.29,7.0,7.01,7.01,253856.0,0.0,1.0
2021-04-15,7.06,7.22,7.06,7.16,7.16,192326.0,0.05,1.0
2021-04-14,7.15,7.17,7.07,7.15,7.10041608877,207555.0,0.0,1.0
2021-04-13,7.0,7.09,6.97,7.08,7.03090152566,216850.0,0.0,1.0
2021-04-12,7.0,7.09,6.98,7.0,6.95145631068,211199.0,0.0,1.0
2021-04-09,7.13,7.13,6.97,7.07,7.02097087379,191854.0,0.0,1.0
2021-04-08,7.18,7.1978,7.13,7.13,7.08055478502,116461.0,0.0,1.0
2021-04-07,7.16,7.24,7.16,7.2,7.15006934813,141942.0,0.0,1.0
2021-04-06,7.21,7.25,7.15,7.16,7.11034674064,204798.0,0.0,1.0
2021-04-05,7.16,7.42,7.1,7.26,7.20965325936,277304.0,0.0,1.0
2021-04-01,6.9,7.1,6.89,7.03,6.9812482663,171005.0,0.0,1.0
2021-03-31,6.88,7.02,6.85,6.92,6.8720110957,194166.0,0.0,1.0
2021-03-30,6.83,7.02,6.8,6.9,6.85214979196,151529.0,0.0,1.0
2021-03-29,6.8,6.9,6.8,6.87,6.82235783634,171702.0,0.0,1.0
2021-03-26,6.9,6.95,6.82,6.85,6.80249653259,235094.0,0.0,1.0
2021-03-25,6.81,6.95,6.81,6.92,6.8720110957,217890.0,0.0,1.0
2021-03-24,6.83,6.99,6.78,6.85,6.80249653259,255337.0,0.0,1.0
2021-03-23,7.01,7.02,6.74,6.78,6.73298196949,459234.0,0.0,1.0
2021-03-22,7.1,7.2,6.96,7.0,6.95145631068,342882.0,0.0,1.0
2021-03-19,7.32,7.4,7.1,7.14,7.09048543689,234768.0,0.0,1.0
2021-03-18,7.55,7.55,7.35,7.36,7.30895977809,205467.0,0.0,1.0
2021-03-17,7.82,7.8435,7.52,7.6,7.54729542302,99686.0,0.0,1.0
2021-03-16,7.8,7.8842,7.7,7.7,7.64660194175,113759.0,0.05,1.0
2021-03-15,8.12,8.12,7.8,7.88,7.77486752271,92482.0,0.0,1.0
2021-03-12,7.7,8.13,7.65,8.0,7.89326652051,218769.0,0.0,1.0
2021-03-11,7.37,7.95,7.37,7.7,7.59726902599,253281.0,0.0,1.0
2021-03-10,7.07,7.57,7.0201,7.35,7.25193861572,492480.0,0.0,1.0
2021-03-09,7.54,7.95,7.45,7.65,7.54793611024,816962.0,0.0,1.0
2021-03-08,7.58,7.81,7.58,7.72,7.6170021923,329061.0,0.0,1.0
2021-03-05,7.29,7.58,7.19,7.57,7.46900344504,154263.0,0.0,1.0
2021-03-04,7.35,7.45,7.03,7.29,7.19273911682,583221.0,0.0,1.0
2021-03-03,7.3,7.3201,6.75,6.9,6.80794237394,1000043.0,0.0,1.0
2021-03-02,7.73,7.9,7.12,7.35,7.25193861572,1315965.0,0.0,1.0
2021-03-01,8.04,8.1,8.02,8.03,7.92286626997,127792.0,0.0,1.0
2021-02-26,8.05,8.14,8.04,8.07,7.96233260257,95057.0,0.0,1.0
2021-02-25,8.03,8.09,8.025,8.09,7.98206576887,189365.0,0.0,1.0
2021-02-24,8.09,8.1,8.02,8.05,7.94259943627,67994.0,0.0,1.0
2021-02-23,8.02,8.11,8.0199,8.1,7.99193235202,65905.0,0.0,1.0
2021-02-22,8.05,8.09,8.0,8.02,7.91299968681,85813.0,0.0,1.0
2021-02-19,8.07,8.13,8.03,8.05,7.94259943627,94067.0,0.0,1.0
2021-02-18,8.05,8.05,8.0,8.03,7.92286626997,72008.0,0.0,1.0
2021-02-17,8.06,8.06,8.02,8.04,7.93273285312,51858.0,0.0,1.0
2021-02-16,8.11,8.11,8.05,8.06,7.95246601942,78419.0,0.0,1.0
2021-02-12,8.14,8.15,8.05,8.12,8.01166551832,55738.0,0.0,1.0
2021-02-11,8.16,8.16,8.05,8.11,8.00179893517,110226.0,0.0,1.0
2021-02-10,8.14,8.1646,8.1,8.15,8.04126526777,104978.0,0.05,1.0
2021-02-09,8.14,8.25,8.12,8.19,8.03145884671,113694.0,0.0,1.0
2021-02-08,8.17,8.2713,8.09,8.156,7.99811701512,95185.0,0.0,1.0
2021-02-05,8.13,8.29,8.1,8.2,8.04126526777,192626.0,0.0,1.0
2021-02-04,8.12,8.13,8.06,8.085,7.9284914256,73822.0,0.0,1.0
2021-02-03,8.13,8.15,8.06,8.08,7.92358821507,111302.0,0.0,1.0
2021-02-02,8.16,8.18,8.0741,8.13,7.97262032037,77402.0,0.0,1.0
2021-02-01,8.08,8.16,8.0792,8.1,7.94320105719,108341.0,0.0,1.0
2021-01-29,8.03,8.1,8.03,8.09,7.93339463613,78794.0,0.0,1.0
2021-01-28,8.06,8.09,8.0101,8.09,7.93339463613,80085.0,0.0,1.0
2021-01-27,8.07,8.1,8.0,8.05,7.8941689519,90358.0,0.0,1.0
2021-01-26,8.05,8.09,8.01,8.09,7.93339463613,74726.0,0.0,1.0
2021-01-25,8.0,8.09,8.0,8.0104,7.85533552451,120413.0,0.0,1.0
2021-01-22,8.05,8.0565,8.0,8.04,7.88436253084,104661.0,0.0,1.0
2021-01-21,8.0,8.05,7.98,8.05,7.8941689519,47960.0,0.0,1.0
2021-01-20,8.02,8.04,7.99,8.0,7.84513684661,75303.0,0.0,1.0
2021-01-19,8.06,8.06,8.0,8.04,7.88436253084,90840.0,0.0,1.0
2021-01-15,8.03,8.05,8.0,8.02,7.86474968872,100695.0,0.0,1.0
