date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,18.0,18.0,17.4,17.63,17.63,19382.0,0.0,1.0
2021-04-15,17.69,18.15,17.6622,18.0,18.0,25137.0,0.0243,1.0
2021-04-14,17.27,17.59,17.205,17.54,17.5163140509,17750.0,0.0,1.0
2021-04-13,16.93,17.42,16.58,17.38,17.3565301143,17774.0,0.0,1.0
2021-04-12,17.01,17.2,16.8,17.02,16.9970162569,12184.0,0.0,1.0
2021-04-09,16.77,17.04,16.46,17.04,17.016989249,16227.0,0.0,1.0
2021-04-08,16.63,16.85,16.37,16.77,16.747353856,14413.0,0.0,1.0
2021-04-07,16.82,16.99,16.38,16.69,16.6674618876,23784.0,0.0,1.0
2021-04-06,16.93,17.2199,16.74,16.78,16.757340352,18379.0,0.0,1.0
2021-04-05,16.73,16.99,16.6601,16.93,16.9071377926,33103.0,0.0,1.0
2021-04-01,16.31,16.5867,16.31,16.52,16.497691455,17683.0,0.0,1.0
2021-03-31,16.39,16.71,16.18,16.31,16.2879750382,34106.0,0.0,1.0
2021-03-30,16.28,16.36,16.15,16.15,16.1281911016,21061.0,0.0,1.0
2021-03-29,16.65,16.7724,16.22,16.28,16.2580155501,28689.0,0.0,1.0
2021-03-26,16.9,17.0,16.59,16.65,16.6275159035,20765.0,0.0,1.0
2021-03-25,16.31,16.9,16.07,16.9,16.8771783044,149075.0,0.0,1.0
2021-03-24,16.93,17.16,16.3,16.4,16.3778535025,40787.0,0.0,1.0
2021-03-23,16.66,17.11,16.58,16.71,16.6874348797,62095.0,0.0,1.0
2021-03-22,17.32,17.32,16.5,16.58,16.5576104312,61121.0,0.0,1.0
2021-03-19,17.17,17.57,17.17,17.3,17.276638146,156501.0,0.0,1.0
2021-03-18,17.25,17.57,17.14,17.23,17.2067326737,61332.0,0.0,1.0
2021-03-17,17.29,17.46,17.15,17.18,17.1568001935,19232.0,0.0,1.0
2021-03-16,17.69,17.77,17.23,17.37,17.3465436182,11024.0,0.0243,1.0
2021-03-15,18.0,18.0,17.36,17.69,17.6413912,25412.0,0.0,1.0
2021-03-12,17.72,18.02,17.72,17.99,17.9405668564,16770.0,0.0,1.0
2021-03-11,17.81,18.0,17.51,17.76,17.7111988532,28824.0,0.0,1.0
2021-03-10,18.09,18.09,17.53,17.57,17.5217209375,22856.0,0.0,1.0
2021-03-09,17.21,18.13,17.17,17.86,17.810924072,33756.0,0.0,1.0
2021-03-08,16.94,17.3897,16.7049,17.06,17.0131223218,20179.0,0.0,1.0
2021-03-05,16.74,17.5,16.49,16.85,16.8036993624,61179.0,0.0,1.0
2021-03-04,17.82,18.07,16.09,16.44,16.3948259655,56079.0,0.0,1.0
2021-03-03,17.76,18.05,17.735,17.85,17.8009515501,29554.0,0.0,1.0
2021-03-02,17.99,18.0,17.7,17.75,17.7012263313,19718.0,0.0,1.0
2021-03-01,17.68,17.95,17.61,17.86,17.810924072,35331.0,0.0,1.0
2021-02-26,17.0,17.7456,17.0,17.33,17.2823804125,35310.0,0.0,1.0
