date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.44,10.54,10.37,10.53,10.53,396051.0,0.0,1.0
2021-04-15,10.64,10.7,10.45,10.53,10.53,610368.0,0.0,1.0
2021-04-14,10.46,10.67,10.45,10.67,10.67,286580.0,0.0,1.0
2021-04-13,10.58,10.73,10.41,10.52,10.52,881604.0,0.0,1.0
2021-04-12,10.6,10.7,10.48,10.64,10.64,447142.0,0.0,1.0
2021-04-09,10.59,10.7,10.5,10.7,10.7,366974.0,0.0,1.0
2021-04-08,10.46,10.75,10.45,10.63,10.63,536843.0,0.0,1.0
2021-04-07,10.54,10.74,10.45,10.5,10.5,619982.0,0.0,1.0
2021-04-06,10.65,10.75,10.42,10.54,10.54,399082.0,0.0,1.0
2021-04-05,10.49,11.1,10.48,10.65,10.65,638359.0,0.0,1.0
2021-04-01,10.16,10.48,10.16,10.4,10.4,355991.0,0.0,1.0
2021-03-31,10.1,10.2356,10.08,10.22,10.22,416785.0,0.0,1.0
2021-03-30,10.2,10.28,10.05,10.12,10.12,936030.0,0.0,1.0
2021-03-29,10.39,10.44,10.15,10.27,10.27,422250.0,0.0,1.0
2021-03-26,10.37,10.61,10.3001,10.52,10.52,363368.0,0.0,1.0
2021-03-25,10.1,10.46,10.01,10.27,10.27,1279479.0,0.0,1.0
2021-03-24,10.52,10.653,10.15,10.41,10.41,1075790.0,0.0,1.0
2021-03-23,10.64,10.82,10.48,10.63,10.63,773321.0,0.0,1.0
2021-03-22,10.78,11.02,10.65,10.72,10.72,597055.0,0.0,1.0
2021-03-19,10.74,10.861,10.53,10.78,10.78,457013.0,0.0,1.0
2021-03-18,10.78,11.1051,10.6,10.7,10.7,421080.0,0.0,1.0
2021-03-17,10.7,11.04,10.48,11.04,11.04,473366.0,0.0,1.0
2021-03-16,11.5,11.5,10.71,10.91,10.91,653539.0,0.0,1.0
2021-03-15,11.3,11.415,11.11,11.24,11.24,742950.0,0.0,1.0
2021-03-12,10.89,11.59,10.78,11.39,11.39,517869.0,0.0,1.0
2021-03-11,10.9,11.18,10.7659,11.02,11.02,691643.0,0.0,1.0
2021-03-10,10.88,11.01,10.6,10.93,10.93,700553.0,0.0,1.0
2021-03-09,10.51,10.88,10.46,10.66,10.66,797978.0,0.0,1.0
2021-03-08,10.82,11.15,10.32,10.44,10.44,1093173.0,0.0,1.0
2021-03-05,11.17,11.25,10.25,10.53,10.53,2600624.0,0.0,1.0
2021-03-04,11.09,11.73,10.21,10.81,10.81,2165525.0,0.0,1.0
2021-03-03,12.34,12.3907,11.09,11.2,11.2,1655650.0,0.0,1.0
2021-03-02,11.88,12.58,11.4,12.47,12.47,1561441.0,0.0,1.0
2021-03-01,12.34,12.5,11.69,11.83,11.83,1009177.0,0.0,1.0
2021-02-26,11.95,12.1,11.3,11.75,11.75,1197164.0,0.0,1.0
2021-02-25,12.77,13.34,11.72,11.89,11.89,1120904.0,0.0,1.0
2021-02-24,13.25,13.39,12.55,12.74,12.74,826313.0,0.0,1.0
2021-02-23,13.27,13.49,11.75,13.0,13.0,1762909.0,0.0,1.0
2021-02-22,14.65,14.79,13.57,14.02,14.02,673499.0,0.0,1.0
2021-02-19,14.8,15.03,14.5149,14.6,14.6,425726.0,0.0,1.0
2021-02-18,14.13,14.86,14.05,14.55,14.55,590689.0,0.0,1.0
2021-02-17,14.31,15.2,14.31,14.87,14.87,830727.0,0.0,1.0
2021-02-16,14.81,14.83,13.8101,14.5,14.5,2298264.0,0.0,1.0
2021-02-12,13.84,14.5,13.44,13.71,13.71,1930264.0,0.0,1.0
2021-02-11,13.79,13.79,12.9,13.05,13.05,727302.0,0.0,1.0
2021-02-10,13.5,14.07,12.99,13.17,13.17,1313359.0,0.0,1.0
2021-02-09,13.0,13.15,12.71,12.84,12.84,559594.0,0.0,1.0
2021-02-08,13.0,13.0,12.5,12.59,12.59,768505.0,0.0,1.0
2021-02-05,12.8,12.98,12.28,12.39,12.39,448142.0,0.0,1.0
2021-02-04,12.4,12.8299,12.3,12.45,12.45,396306.0,0.0,1.0
2021-02-03,12.16,12.75,12.05,12.249,12.249,555640.0,0.0,1.0
2021-02-02,11.95,12.3,11.67,12.08,12.08,579653.0,0.0,1.0
2021-02-01,12.37,12.37,11.5,11.79,11.79,582876.0,0.0,1.0
2021-01-29,11.52,11.9768,11.44,11.5,11.5,297390.0,0.0,1.0
2021-01-28,12.25,12.49,11.46,11.64,11.64,449399.0,0.0,1.0
2021-01-27,12.0,13.23,11.4,12.31,12.31,1007139.0,0.0,1.0
2021-01-26,12.7,12.85,11.7706,11.95,11.95,1048874.0,0.0,1.0
2021-01-25,12.69,12.7,11.85,11.98,11.98,319558.0,0.0,1.0
2021-01-22,12.22,12.35,11.96,12.19,12.19,190322.0,0.0,1.0
2021-01-21,11.9,12.95,11.7,12.25,12.25,428446.0,0.0,1.0
2021-01-20,11.75,12.0,11.6,11.75,11.75,362549.0,0.0,1.0
2021-01-19,11.99,12.0,11.45,11.66,11.66,436051.0,0.0,1.0
2021-01-15,12.0,12.05,11.4475,11.65,11.65,560793.0,0.0,1.0
2021-01-14,12.0,12.475,11.2189,11.25,11.25,41051.0,0.0,1.0
