date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,20.5,20.51,19.92,20.37,20.37,165753.0,0.0,1.0
2021-04-15,20.34,20.34,19.75,20.23,20.23,79754.0,0.0,1.0
2021-04-14,19.86,20.48,19.76,20.2,20.2,139832.0,0.0,1.0
2021-04-13,20.28,20.28,19.67,19.91,19.91,172621.0,0.0,1.0
2021-04-12,20.08,20.3,20.03,20.28,20.28,90821.0,0.0,1.0
2021-04-09,20.18,20.22,19.845,20.08,20.08,109838.0,0.0,1.0
2021-04-08,19.98,20.07,19.51,20.05,20.05,171607.0,0.0,1.0
2021-04-07,20.13,20.18,19.75,20.03,20.03,223725.0,0.0,1.0
2021-04-06,20.345,20.43,19.86,19.97,19.97,219964.0,0.0,1.0
2021-04-05,20.23,20.36,19.8,20.16,20.16,172448.0,0.0,1.0
2021-04-01,19.51,19.955,19.51,19.92,19.92,144036.0,0.0,1.0
2021-03-31,19.88,20.26,19.68,19.73,19.73,245825.0,0.0,1.0
2021-03-30,19.49,20.06,19.49,19.87,19.87,325769.0,0.0,1.0
2021-03-29,19.72,19.88,19.19,19.37,19.37,288652.0,0.0,1.0
2021-03-26,19.81,20.17,19.41,19.72,19.72,144047.0,0.0,1.0
2021-03-25,18.89,19.61,18.51,19.45,19.45,204082.0,0.0,1.0
2021-03-24,19.1,19.77,18.84,18.9,18.9,222196.0,0.0,1.0
2021-03-23,19.48,19.67,18.78,18.85,18.85,164729.0,0.0,1.0
2021-03-22,20.07,20.07,19.3,19.63,19.63,170292.0,0.0,1.0
2021-03-19,20.06,20.705,19.78,20.32,20.32,892330.0,0.0,1.0
2021-03-18,20.63,21.43,20.33,20.51,20.51,135483.0,0.0,1.0
2021-03-17,20.75,21.19,20.21,20.28,20.28,156830.0,0.0,1.0
2021-03-16,20.66,20.66,20.1,20.51,20.51,239908.0,0.0,1.0
2021-03-15,21.86,21.86,20.66,20.86,20.86,204364.0,0.0,1.0
2021-03-12,21.33,21.8227,20.93,21.64,21.64,203375.0,0.0,1.0
2021-03-11,21.19,21.19,20.59,21.02,21.02,321218.0,0.0,1.0
2021-03-10,19.86,20.68,19.86,20.55,20.55,283230.0,0.0,1.0
2021-03-09,19.55,20.19,19.12,19.8,19.8,390051.0,0.0,1.0
2021-03-08,19.11,19.75,18.9,19.69,19.69,368992.0,0.0,1.0
2021-03-05,18.34,19.11,18.34,18.78,18.78,355638.0,0.0,1.0
2021-03-04,17.73,18.18,17.3404,18.02,18.02,382485.0,0.0,1.0
2021-03-03,17.38,18.11,17.29,17.57,17.57,284100.0,0.0,1.0
2021-03-02,16.82,17.64,16.17,17.16,17.16,212605.0,0.0,1.0
2021-03-01,17.31,17.67,16.92,17.51,17.51,191352.0,0.0,1.0
2021-02-26,17.055,17.39,16.82,17.12,17.12,250642.0,0.0,1.0
