date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,26.83,26.83,26.83,26.83,26.83,0.0,0.0,1.0
2021-04-15,26.69,27.07,26.69,26.83,26.83,2441.0,0.0,1.0
2021-04-14,26.55,26.75,26.55,26.75,26.75,800.0,0.391,1.0
2021-04-13,27.09,27.09,27.09,27.09,26.6997347187,97.0,0.0,1.0
2021-04-12,26.9,27.09,26.9,27.09,26.6997347187,1283.0,0.0,1.0
2021-04-09,26.85,26.85,26.85,26.85,26.4631922184,48.0,0.0,1.0
2021-04-08,26.86,26.86,26.85,26.85,26.4631922184,1202.0,0.0,1.0
2021-04-07,27.03,27.03,26.8649,26.8649,26.4778775653,700.0,0.0,1.0
2021-04-06,26.99,27.0,26.99,27.0,26.6110312811,364.0,0.0,1.0
2021-04-05,26.72,27.0,26.7,27.0,26.6110312811,2755.0,0.0,1.0
2021-04-01,26.83,27.0,26.6623,26.6623,26.2781962713,3125.0,0.0,1.0
2021-03-31,26.8,26.8001,26.65,26.65,26.2660734682,1084.0,0.0,1.0
2021-03-30,27.0,27.0,27.0,27.0,26.6110312811,0.0,0.0,1.0
2021-03-29,27.0,27.0,27.0,27.0,26.6110312811,26.0,0.0,1.0
2021-03-26,26.66,27.05,26.66,27.0,26.6110312811,3510.0,0.0,1.0
2021-03-25,26.6499,27.01,26.64,26.91,26.5223278435,2646.0,0.0,1.0
2021-03-24,26.6,26.78,26.6,26.6,26.2167937806,3631.0,0.0,1.0
2021-03-23,26.57,26.6,26.55,26.6,26.2167937806,1100.0,0.0,1.0
2021-03-22,26.53,26.68,26.5,26.65,26.2660734682,2630.0,0.0,1.0
2021-03-19,26.75,26.75,26.75,26.75,26.3646328433,500.0,0.0,1.0
2021-03-18,26.7,26.7,26.7,26.7,26.3153531557,162.0,0.0,1.0
2021-03-17,26.5,26.76,26.45,26.7,26.3153531557,4335.0,0.0,1.0
2021-03-16,26.828,26.828,26.51,26.55,26.1675140931,11348.0,0.0,1.0
2021-03-15,26.8,26.8,26.8,26.8,26.4139125309,0.0,0.0,1.0
2021-03-12,26.77,26.8,26.77,26.8,26.4139125309,975.0,0.0,1.0
2021-03-11,26.71,26.8,26.6,26.8,26.4139125309,4576.0,0.0,1.0
2021-03-10,26.7,26.7,26.5,26.5,26.1182344055,1975.0,0.0,1.0
2021-03-09,26.69,26.7,26.69,26.7,26.3153531557,676.0,0.0,1.0
2021-03-08,26.4223,26.69,26.215,26.68,26.2956412807,15617.0,0.0,1.0
2021-03-05,26.4,26.4,26.3,26.4,26.0196750304,4200.0,0.0,1.0
2021-03-04,26.4,26.5055,26.3,26.3,25.9211156553,5754.0,0.0,1.0
2021-03-03,26.47,26.66,26.1,26.28,25.9014037803,8092.0,0.0,1.0
2021-03-02,26.33,26.68,26.04,26.68,26.2956412807,6551.0,0.0,1.0
2021-03-01,26.22,26.605,25.91,26.605,26.2217217494,3380.0,0.0,1.0
2021-02-26,26.1,26.22,26.1,26.1013,25.7252781769,655.0,0.0,1.0
2021-02-25,26.09,26.15,25.37,26.08,25.70428503,18260.0,0.0,1.0
2021-02-24,26.23,26.23,25.9,26.1065,25.7304032644,12053.0,0.0,1.0
2021-02-23,26.28,26.5,26.0114,26.43,26.0492428429,10265.0,0.0,1.0
2021-02-22,26.35,26.48,26.12,26.31,25.9309715928,1908.0,0.0,1.0
2021-02-19,26.4,26.5,26.31,26.31,25.9309715928,2455.0,0.0,1.0
2021-02-18,26.4,26.4,26.4,26.4,26.0196750304,835.0,0.0,1.0
2021-02-17,26.51,26.51,26.4,26.4,26.0196750304,1437.0,0.0,1.0
2021-02-16,26.52,26.52,26.4086,26.5,26.1182344055,1696.0,0.0,1.0
2021-02-12,26.37,26.53,26.265,26.53,26.147802218,4761.0,0.0,1.0
2021-02-11,26.36,26.4,26.36,26.4,26.0196750304,1250.0,0.0,1.0
2021-02-10,26.42,26.49,26.42,26.45,26.068954718,2934.0,0.0,1.0
2021-02-09,26.48,26.56,26.12,26.34,25.9605394053,9423.0,0.0,1.0
2021-02-08,26.69,26.69,26.69,26.69,26.3054972182,167.0,0.0,1.0
