date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,7.03,7.03,6.51,6.75,6.75,115162.0,0.0,1.0
2021-04-15,7.08,7.11,6.8,6.95,6.95,61437.0,0.0,1.0
2021-04-14,6.92,7.12,6.92,6.99,6.99,39181.0,0.0,1.0
2021-04-13,7.14,7.14,6.91,6.92,6.92,118872.0,0.0,1.0
2021-04-12,7.26,7.26,7.13,7.13,7.13,35676.0,0.0,1.0
2021-04-09,7.19,7.26,7.08,7.23,7.23,64598.0,0.0,1.0
2021-04-08,7.31,7.31,7.12,7.2,7.2,26853.0,0.0,1.0
2021-04-07,7.39,7.39,7.05,7.08,7.08,88536.0,0.0,1.0
2021-04-06,7.31,7.55,7.255,7.34,7.34,38143.0,0.0,1.0
2021-04-05,7.69,7.69,7.26,7.3,7.3,86222.0,0.0,1.0
2021-04-01,7.29,7.69,7.29,7.67,7.67,111613.0,0.0,1.0
2021-03-31,7.22,7.35,7.15,7.22,7.22,69799.0,0.0,1.0
2021-03-30,7.36,7.4,7.09,7.22,7.22,102466.0,0.0,1.0
2021-03-29,7.48,7.55,7.25,7.32,7.32,55302.0,0.0,1.0
2021-03-26,7.5,7.54,7.36,7.5,7.5,50232.0,0.0,1.0
2021-03-25,7.46,7.6,7.2,7.47,7.47,91742.0,0.0,1.0
2021-03-24,7.71,7.88,7.5,7.52,7.52,54577.0,0.0,1.0
2021-03-23,7.78,7.82,7.68,7.68,7.68,66555.0,0.0,1.0
2021-03-22,8.17,8.17,7.7455,7.87,7.87,111407.0,0.0,1.0
2021-03-19,7.82,8.23,7.7,8.17,8.17,350310.0,0.0,1.0
2021-03-18,7.76,8.06,7.76,7.87,7.87,65590.0,0.0,1.0
2021-03-17,7.7,8.0869,7.6,7.82,7.82,52193.0,0.0,1.0
2021-03-16,8.2,8.26,7.75,7.87,7.87,70023.0,0.0,1.0
2021-03-15,8.25,8.38,8.0173,8.28,8.28,84759.0,0.0,1.0
2021-03-12,8.31,8.5,8.17,8.34,8.34,95248.0,0.0,1.0
2021-03-11,8.25,8.48,8.13,8.315,8.315,109030.0,0.0,1.0
2021-03-10,7.89,8.24,7.88,8.23,8.23,142751.0,0.0,1.0
2021-03-09,7.6254,7.89,7.34,7.77,7.77,119060.0,0.0,1.0
2021-03-08,7.3,7.55,7.2159,7.49,7.49,67675.0,0.0,1.0
2021-03-05,7.39,7.39,7.09,7.27,7.27,107612.0,0.0,1.0
2021-03-04,7.56,7.7,7.2,7.22,7.22,122316.0,0.0,1.0
2021-03-03,7.49,7.77,7.35,7.64,7.64,84912.0,0.0,1.0
2021-03-02,7.56,7.67,7.3683,7.41,7.41,54805.0,0.0,1.0
2021-03-01,7.6,7.6046,7.39,7.52,7.52,57315.0,0.0,1.0
2021-02-26,7.61,7.65,7.37,7.37,7.37,98897.0,0.0,1.0
2021-02-25,7.85,7.975,7.53,7.57,7.57,89611.0,0.0,1.0
2021-02-24,7.8,8.09,7.7501,7.89,7.89,123976.0,0.0,1.0
2021-02-23,7.79,7.84,7.47,7.72,7.72,112320.0,0.0,1.0
2021-02-22,7.74,8.0,7.7,7.84,7.84,106315.0,0.0,1.0
2021-02-19,7.62,7.88,7.62,7.84,7.84,53607.0,0.0,1.0
2021-02-18,7.67,7.69,7.5,7.59,7.59,74904.0,0.0,1.0
2021-02-17,8.0,8.001,7.6,7.64,7.64,153140.0,0.0,1.0
2021-02-16,8.07,8.1985,8.01,8.02,8.02,57446.0,0.0,1.0
2021-02-12,7.93,8.11,7.85,8.03,8.03,43551.0,0.0,1.0
2021-02-11,8.2,8.25,7.94,7.98,7.98,47992.0,0.0,1.0
2021-02-10,8.2,8.25,8.125,8.21,8.21,94628.0,0.0,1.0
2021-02-09,8.16,8.29,8.06,8.18,8.18,90030.0,0.0,1.0
2021-02-08,7.98,8.24,7.94,8.21,8.21,160274.0,0.0,1.0
2021-02-05,8.0,8.18,7.8671,7.93,7.93,121097.0,0.0,1.0
2021-02-04,7.69,8.0,7.69,8.0,8.0,99706.0,0.0,1.0
2021-02-03,7.8,7.85,7.6,7.69,7.69,107331.0,0.0,1.0
2021-02-02,7.91,7.91,7.72,7.78,7.78,46655.0,0.0,1.0
2021-02-01,7.97,7.97,7.6601,7.76,7.76,74873.0,0.0,1.0
2021-01-29,8.0,8.2,7.7844,7.83,7.83,163032.0,0.0,1.0
2021-01-28,8.25,8.28,7.74,8.02,8.02,176317.0,0.0,1.0
