date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.22,1.3,1.14,1.24,1.24,69227.0,0.0,1.0
2021-04-15,1.32,1.33,1.2,1.2799,1.2799,217833.0,0.0,1.0
2021-04-14,1.22,1.4,1.22,1.32,1.32,181978.0,0.0,1.0
2021-04-13,1.27,1.27,1.15,1.2058,1.2058,124270.0,0.0,1.0
2021-04-12,1.21,1.24,1.13,1.2,1.2,136654.0,0.0,1.0
2021-04-09,1.35,1.41,1.2,1.24,1.24,153943.0,0.0,1.0
2021-04-08,1.62,1.66,1.35,1.35,1.35,340089.0,0.0,1.0
2021-04-07,1.27,1.5,1.21,1.39,1.39,214463.0,0.0,1.0
2021-04-06,1.21,1.39,1.2,1.36,1.36,165454.0,0.0,1.0
2021-04-05,1.46,1.5,1.22,1.284,1.284,245037.0,0.0,1.0
2021-04-01,1.75,1.85,1.49,1.505,1.505,304156.0,0.0,1.0
2021-03-31,2.0,2.0,1.61,1.65,1.65,205163.0,0.0,1.0
2021-03-30,1.75,1.9,1.6301,1.75,1.75,421039.0,0.0,1.0
2021-03-29,1.4,2.14,1.32,2.0399,2.0399,1015721.0,0.0,1.0
2021-03-26,1.39,1.44,1.15,1.36,1.36,293888.0,0.0,1.0
2021-03-25,1.16,1.59,1.1101,1.5,1.5,727888.0,0.0,1.0
2021-03-24,2.41,2.45,1.48,1.5699,1.5699,2820071.0,0.0,1.0
2021-03-23,1.1,1.145,0.83,0.86,0.86,1608084.0,0.0,1.0
2021-03-22,0.94,1.22,0.9,1.1699,1.1699,1304849.0,0.0,1.0
2021-03-19,0.75,1.0,0.6201,0.93,0.93,1232738.0,0.0,1.0
2021-03-18,0.72,0.79,0.6912,0.6999,0.6999,207230.0,0.0,1.0
2021-03-17,0.6,0.6599,0.5921,0.6597,0.6597,43227.0,0.0,1.0
2021-03-16,0.66,0.71,0.63005,0.6463,0.6463,106163.0,0.0,1.0
2021-03-15,0.6001,0.7,0.6001,0.649899,0.649899,159861.0,0.0,1.0
2021-03-12,0.5774,0.6665,0.53,0.598,0.598,197584.0,0.0,1.0
2021-03-11,0.58495,0.5987,0.47,0.52,0.52,210987.0,0.0,1.0
2021-03-10,0.55,0.55,0.469899,0.542999,0.542999,179256.0,0.0,1.0
2021-03-09,0.4895,0.6463,0.4895,0.55,0.55,54605.0,0.0,1.0
2021-03-08,0.6286,0.6286,0.4601,0.513549,0.513549,20868.0,0.0,1.0
2021-03-05,0.503101,0.5488,0.4501,0.5456,0.5456,75805.0,0.0,1.0
2021-03-04,0.57,0.585373,0.5,0.549,0.549,71293.0,0.0,1.0
2021-03-03,0.67,0.67,0.5612,0.595,0.595,26614.0,0.0,1.0
2021-03-02,0.66,0.66,0.58,0.6269,0.6269,36348.0,0.0,1.0
2021-03-01,0.6324,0.68495,0.619999,0.620101,0.620101,27498.0,0.0,1.0
2021-02-26,0.5612,0.65,0.56111,0.59,0.59,104705.0,0.0,1.0
2021-02-25,0.605,0.72,0.605,0.622,0.622,164631.0,0.0,1.0
2021-02-24,0.63,0.66,0.63,0.66,0.66,40023.0,0.0,1.0
2021-02-23,0.6999,0.6999,0.6,0.66995,0.66995,102190.0,0.0,1.0
2021-02-22,0.739,0.739,0.6901,0.7199,0.7199,66298.0,0.0,1.0
2021-02-19,0.6517,0.69505,0.6502,0.69505,0.69505,56584.0,0.0,1.0
2021-02-18,0.7199,0.7199,0.6401,0.6849,0.6849,69854.0,0.0,1.0
2021-02-17,0.75,0.75,0.6306,0.70089,0.70089,133249.0,0.0,1.0
2021-02-16,0.75,0.8,0.710201,0.73,0.73,187459.0,0.0,1.0
2021-02-12,0.8,0.8002,0.68,0.74,0.74,87243.0,0.0,1.0
2021-02-11,0.81,0.83,0.7201,0.76,0.76,85826.0,0.0,1.0
2021-02-10,0.78,0.8478,0.7301,0.81,0.81,107817.0,0.0,1.0
2021-02-09,0.86,0.9569,0.83,0.87,0.87,173622.0,0.0,1.0
2021-02-08,0.99,0.99,0.78,0.86,0.86,282695.0,0.0,1.0
2021-02-05,1.05,1.07,0.9018,0.98,0.98,166105.0,0.0,1.0
