date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,27.47,28.08,27.41,27.78,27.78,1062371.0,0.0,1.0
2021-04-15,28.03,28.26,27.69,27.88,27.88,834011.0,0.0,1.0
2021-04-14,28.15,28.35,27.82,27.84,27.84,799128.0,0.0,1.0
2021-04-13,28.05,28.18,27.835,28.08,28.08,904830.0,0.0,1.0
2021-04-12,28.15,28.2,27.94,28.14,28.14,1162135.0,0.0,1.0
2021-04-09,27.97,28.195,27.79,28.06,28.06,876863.0,0.0,1.0
2021-04-08,27.94,28.12,27.57,27.98,27.98,1013900.0,0.0,1.0
2021-04-07,28.12,28.29,27.68,28.1,28.1,1069810.0,0.0,1.0
2021-04-06,27.65,28.24,27.65,28.06,28.06,1626487.0,0.0,1.0
2021-04-05,28.1,28.1,27.37,27.81,27.81,1024958.0,0.0,1.0
2021-04-01,27.26,27.88,27.03,27.87,27.87,1183731.0,0.0,1.0
2021-03-31,27.7,27.77,27.13,27.13,27.13,1344618.0,0.0,1.0
2021-03-30,27.79,28.015,27.49,27.86,27.86,1009730.0,0.0,1.0
2021-03-29,27.82,28.21,27.48,27.83,27.83,1314334.0,0.0,1.0
2021-03-26,27.48,28.2,27.48,27.99,27.99,1002206.0,0.0,1.0
2021-03-25,26.92,27.54,26.25,27.34,27.34,1082927.0,0.0,1.0
2021-03-24,27.3,27.825,27.04,27.04,27.04,1973409.0,0.0,1.0
2021-03-23,27.17,27.55,26.91,27.13,27.13,2238633.0,0.0,1.0
2021-03-22,27.38,27.45,26.9,27.33,27.33,1171729.0,0.0,1.0
2021-03-19,28.11,28.49,27.47,27.53,27.53,1862251.0,0.0,1.0
2021-03-18,28.01,28.48,27.92,28.04,28.04,726941.0,0.25,1.0
2021-03-17,28.25,28.34,28.0,28.25,28.0003534818,1134277.0,0.0,1.0
2021-03-16,28.49,28.49,27.88,28.27,28.0201767409,931031.0,0.0,1.0
