date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,6.43,6.53,6.42,6.42,6.42,101324.0,0.0,1.0
2021-04-15,6.44,6.46,6.41,6.4236,6.4236,25737.0,0.0,1.0
2021-04-14,6.37,6.43,6.37,6.42,6.42,27450.0,0.0,1.0
2021-04-13,6.4,6.42,6.34,6.39,6.39,35504.0,0.0,1.0
2021-04-12,6.33,6.4,6.33,6.4,6.4,17948.0,0.0,1.0
2021-04-09,6.33,6.34,6.33,6.33,6.33,30251.0,0.0,1.0
2021-04-08,6.35,6.36,6.32,6.34,6.34,32508.0,0.0,1.0
2021-04-07,6.39,6.4,6.33,6.33,6.33,35862.0,0.0,1.0
2021-04-06,6.39,6.4,6.35,6.4,6.4,91857.0,0.0,1.0
2021-04-05,6.46,6.5,6.37,6.38,6.38,91830.0,0.0,1.0
2021-04-01,6.4,6.45,6.3599,6.45,6.45,30681.0,0.0,1.0
2021-03-31,6.34,6.5,6.34,6.42,6.42,65698.0,0.0,1.0
2021-03-30,6.24,6.3,6.21,6.3,6.3,34582.0,0.0,1.0
2021-03-29,6.19,6.23,6.17,6.23,6.23,51441.0,0.0,1.0
2021-03-26,6.16,6.2,6.14,6.2,6.2,35179.0,0.0,1.0
2021-03-25,6.1,6.1299,6.09,6.11,6.11,62522.0,0.0,1.0
2021-03-24,6.13,6.16,6.1,6.1,6.1,26368.0,0.0,1.0
2021-03-23,6.11,6.15,6.11,6.11,6.11,13862.0,0.0,1.0
2021-03-22,6.15,6.15,6.12,6.13,6.13,31089.0,0.0,1.0
2021-03-19,6.11,6.15,6.09,6.15,6.15,85661.0,0.0,1.0
2021-03-18,6.1,6.1757,6.1,6.1,6.1,51130.0,0.0,1.0
2021-03-17,6.15,6.16,6.12,6.14,6.14,34736.0,0.0,1.0
2021-03-16,6.14,6.17,6.12,6.15,6.15,57649.0,0.0,1.0
2021-03-15,6.11,6.15,6.05,6.1,6.1,74760.0,0.0,1.0
2021-03-12,6.2,6.2,6.09,6.1,6.1,35855.0,0.0,1.0
2021-03-11,6.19,6.23,6.1701,6.2,6.2,34750.0,0.0,1.0
2021-03-10,6.19,6.201,6.14,6.18,6.18,59476.0,0.16,1.0
2021-03-09,6.28,6.36,6.2383,6.32,6.16050473186,82515.0,0.0,1.0
2021-03-08,6.05,6.34,6.0236,6.24,6.08252365931,134761.0,0.0,1.0
2021-03-05,6.0,6.09,5.9912,6.08,5.9265615142,55085.0,0.0,1.0
2021-03-04,5.98,6.0399,5.96,5.98,5.8290851735,47925.0,0.0,1.0
2021-03-03,5.97,6.0099,5.96,5.98,5.8290851735,47132.0,0.0,1.0
2021-03-02,5.91,5.99,5.91,5.99,5.83883280757,34117.0,0.0,1.0
2021-03-01,5.86,5.95,5.86,5.91,5.76085173502,53020.0,0.0,1.0
2021-02-26,5.89,5.93,5.85,5.86,5.71211356467,45531.0,0.0,1.0
2021-02-25,5.97,5.98,5.9,5.9,5.75110410095,81644.0,0.0,1.0
2021-02-24,6.04,6.04,5.89,5.96,5.80958990536,79941.0,0.0,1.0
2021-02-23,5.98,6.021,5.82,6.02,5.86807570978,88474.0,0.0,1.0
2021-02-22,5.97,6.0299,5.96,6.0,5.84858044164,59980.0,0.0,1.0
2021-02-19,5.84,6.2,5.84,5.95,5.79984227129,84197.0,0.0,1.0
2021-02-18,5.86,5.89,5.794,5.83,5.68287066246,76437.0,0.0,1.0
2021-02-17,5.86,5.89,5.8,5.88,5.73160883281,61186.0,0.0,1.0
2021-02-16,5.85,5.91,5.84,5.89,5.74135646688,53953.0,0.0,1.0
2021-02-12,5.77,5.84,5.77,5.84,5.69261829653,35556.0,0.0,1.0
2021-02-11,5.78,5.7996,5.74,5.79,5.64388012618,55042.0,0.0,1.0
2021-02-10,5.78,5.81,5.76,5.8,5.65362776025,49389.0,0.0,1.0
2021-02-09,5.75,5.79,5.74,5.78,5.63413249211,37272.0,0.0,1.0
2021-02-08,5.72,5.7789,5.72,5.75,5.60488958991,81429.0,0.0,1.0
2021-02-05,5.7,5.75,5.68,5.7,5.55615141956,55483.0,0.0,1.0
2021-02-04,5.67,5.71,5.66,5.68,5.53665615142,42607.0,0.0,1.0
2021-02-03,5.7,5.7034,5.63,5.66,5.51716088328,51881.0,0.0,1.0
2021-02-02,5.63,5.68,5.62,5.67,5.52690851735,34274.0,0.0,1.0
2021-02-01,5.59,5.62,5.55,5.6,5.45867507886,70479.0,0.0,1.0
2021-01-29,5.57,5.62,5.53,5.53,5.39044164038,60206.0,0.0,1.0
2021-01-28,5.63,5.675,5.6,5.6,5.45867507886,39041.0,0.0,1.0
2021-01-27,5.67,5.72,5.62,5.62,5.478170347,67559.0,0.0,1.0
2021-01-26,5.69,5.76,5.65,5.71,5.56589905363,80414.0,0.0,1.0
2021-01-25,5.73,5.76,5.7278,5.74,5.59514195584,31284.0,0.0,1.0
2021-01-22,5.78,5.78,5.72,5.74,5.59514195584,31441.0,0.0,1.0
2021-01-21,5.79,5.8,5.7501,5.78,5.63413249211,25317.0,0.0,1.0
2021-01-20,5.8,5.8,5.77,5.8,5.65362776025,40368.0,0.0,1.0
2021-01-19,5.76,5.775,5.7401,5.76,5.61463722397,65518.0,0.0,1.0
2021-01-15,5.69,5.7601,5.64,5.75,5.60488958991,215306.0,0.0,1.0
2021-01-14,5.69,5.72,5.65,5.71,5.56589905363,34449.0,0.0,1.0
2021-01-13,5.6,5.69,5.6,5.67,5.52690851735,46515.0,0.0,1.0
2021-01-12,5.62,5.65,5.6,5.65,5.50741324921,29052.0,0.0,1.0
2021-01-11,5.53,5.64,5.53,5.64,5.49766561514,61819.0,0.0,1.0
2021-01-08,5.63,5.65,5.59,5.63,5.48791798107,38212.0,0.0,1.0
2021-01-07,5.62,5.66,5.59,5.63,5.48791798107,62382.0,0.0,1.0
2021-01-06,5.52,5.64,5.52,5.59,5.44892744479,80177.0,0.0,1.0
2021-01-05,5.49,5.56,5.49,5.55,5.40993690852,39658.0,0.0,1.0
2021-01-04,5.58,5.58,5.51,5.52,5.38069400631,33797.0,0.0,1.0
2020-12-31,5.47,5.56,5.47,5.53,5.39044164038,73139.0,0.0,1.0
2020-12-30,5.5,5.52,5.5,5.51,5.37094637224,34577.0,0.0,1.0
2020-12-29,5.57,5.59,5.48,5.49,5.3514511041,71329.0,0.0,1.0
2020-12-28,5.47,5.6,5.47,5.52,5.38069400631,45080.0,0.0,1.0
2020-12-24,5.48,5.52,5.47,5.47,5.33195583596,14574.0,0.0,1.0
2020-12-23,5.47,5.5,5.46,5.47,5.33195583596,92251.0,0.0,1.0
2020-12-22,5.49,5.505,5.44,5.46,5.32220820189,57014.0,0.0,1.0
2020-12-21,5.5,5.51,5.46,5.49,5.3514511041,48768.0,0.0,1.0
2020-12-18,5.58,5.58,5.55,5.5698,5.42923722397,35706.0,0.0,1.0
2020-12-17,5.58,5.63,5.58,5.6029,5.46150189274,26637.0,0.0,1.0
