date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,33.53,34.48,33.19,33.93,33.93,62287.0,0.0,1.0
2021-04-15,33.49,33.49,32.5561,33.25,33.25,27724.0,0.0,1.0
2021-04-14,32.52,33.54,32.5,33.0,33.0,30709.0,0.0,1.0
2021-04-13,33.12,33.12,32.15,32.56,32.56,47872.0,0.0,1.0
2021-04-12,33.33,33.33,32.82,33.12,33.12,47582.0,0.0,1.0
2021-04-09,33.21,33.485,32.71,33.28,33.28,68475.0,0.0,1.0
2021-04-08,33.19,33.39,32.74,33.1,33.1,66979.0,0.0,1.0
2021-04-07,34.5,34.5,32.91,33.04,33.04,53279.0,0.0,1.0
2021-04-06,33.73,34.85,33.73,34.55,34.55,69766.0,0.0,1.0
2021-04-05,34.4,34.58,33.3904,33.88,33.88,43605.0,0.0,1.0
2021-04-01,33.26,33.98,33.01,33.9,33.9,46143.0,0.0,1.0
2021-03-31,32.82,33.83,32.79,33.52,33.52,108596.0,0.0,1.0
2021-03-30,32.23,33.74,31.94,32.9,32.9,56246.0,0.0,1.0
2021-03-29,33.13,34.08,32.33,32.33,32.33,83137.0,0.0,1.0
2021-03-26,31.85,33.66,31.85,33.47,33.47,138698.0,0.0,1.0
2021-03-25,32.51,32.8399,31.18,31.23,31.23,125065.0,0.0,1.0
2021-03-24,32.66,33.27,31.49,31.75,31.75,125043.0,0.0,1.0
2021-03-23,33.81,34.05,32.25,32.46,32.46,72676.0,0.0,1.0
2021-03-22,36.205,36.205,33.74,34.32,34.32,78472.0,0.0,1.0
2021-03-19,36.22,36.395,34.7,35.21,35.21,403058.0,0.0,1.0
2021-03-18,37.28,37.59,36.17,36.57,36.57,80326.0,0.0,1.0
2021-03-17,37.21,37.44,36.6201,37.44,37.44,57273.0,0.0,1.0
2021-03-16,38.51,38.51,35.93,37.08,37.08,76924.0,0.0,1.0
2021-03-15,39.24,39.24,37.14,38.25,38.25,145061.0,0.0,1.0
2021-03-12,37.72,39.73,37.5901,38.91,38.91,79989.0,0.0,1.0
2021-03-11,36.97,37.85,36.46,37.58,37.58,69393.0,0.0,1.0
2021-03-10,34.75,36.52,34.44,36.41,36.41,76550.0,0.0,1.0
2021-03-09,35.11,35.25,34.07,34.6,34.6,70551.0,0.0,1.0
2021-03-08,32.62,35.0,32.48,34.88,34.88,101806.0,0.0,1.0
2021-03-05,31.77,32.35,30.94,32.35,32.35,93960.0,0.0,1.0
2021-03-04,32.38,32.38,30.69,30.77,30.77,92002.0,0.0,1.0
2021-03-03,32.3,32.48,31.6701,32.2,32.2,73900.0,0.0,1.0
2021-03-02,32.61,32.85,31.265,31.92,31.92,68305.0,0.0,2.0
2021-03-01,64.07,64.95,63.02,63.94,31.97,43252.0,0.0,1.0
2021-02-26,63.9,64.33,62.28,62.6,31.3,36543.0,0.0,1.0
2021-02-25,65.05,65.05,63.07,63.2,31.6,38443.0,0.0,1.0
2021-02-24,62.27,66.0,61.645,64.92,32.46,47480.0,0.0,1.0
2021-02-23,61.92,62.95,58.64,61.6,30.8,22683.0,0.0,1.0
2021-02-22,61.45,63.45,61.45,62.32,31.16,31151.0,0.0,1.0
2021-02-19,60.58,61.75,59.45,61.41,30.705,32747.0,0.0,1.0
2021-02-18,61.03,61.82,59.07,60.31,30.155,29342.0,0.0,1.0
2021-02-17,60.9,62.04,60.5,61.12,30.56,32056.0,0.0,1.0
2021-02-16,63.25,63.82,60.95,61.72,30.86,40983.0,0.0,1.0
2021-02-12,63.0,63.9595,62.45,63.25,31.625,29735.0,0.0,1.0
2021-02-11,62.25,62.97,61.47,62.82,31.41,34058.0,0.245,1.0
2021-02-10,62.12,62.78,60.935,61.78,30.7699960358,39764.0,0.0,1.0
2021-02-09,60.68,63.99,60.55,61.97,30.8646269722,71977.0,0.0,1.0
2021-02-08,56.88,60.53,56.88,60.25,30.0079679696,52795.0,0.0,1.0
2021-02-05,57.39,57.4,55.96,56.4,28.0904463649,23302.0,0.0,1.0
2021-02-04,56.53,56.9215,55.63,56.55,28.1651549988,28004.0,0.0,1.0
2021-02-03,55.79,56.9291,55.07,55.9,27.841417585,32342.0,0.0,1.0
2021-02-02,57.27,57.75,55.3,55.82,27.8015729803,34310.0,0.0,1.0
2021-02-01,56.22,56.82,55.58,56.26,28.0207183065,38562.0,0.0,1.0
2021-01-29,54.4,56.9945,52.0001,54.93,27.3583017522,84340.0,0.0,1.0
2021-01-28,51.0,52.24,50.01,51.35,25.5752556886,43233.0,0.0,1.0
2021-01-27,51.06,52.27,49.09,50.05,24.927780861,33171.0,0.0,1.0
2021-01-26,53.2,53.2441,52.18,52.31,26.0533909458,21749.0,0.0,1.0
2021-01-25,53.86,54.1,51.7,52.86,26.3273226037,19117.0,0.0,1.0
2021-01-22,53.0,54.56,52.77,54.5,27.1441370015,22797.0,0.0,1.0
2021-01-21,54.09,54.09,52.81,53.21,26.5016427495,27806.0,0.0,1.0
2021-01-20,55.28,55.5,52.45,53.97,26.8801664949,55451.0,0.0,1.0
2021-01-19,54.25,55.65,53.598,54.91,27.348340601,29741.0,0.0,1.0
2021-01-15,53.57,54.65,52.47,53.84,26.8154190121,32975.0,0.0,1.0
2021-01-14,54.4513,55.54,54.36,54.65,27.2188456355,22813.0,0.0,1.0
2021-01-13,55.13,55.13,54.2,54.4,27.0943312455,19275.0,0.0,1.0
2021-01-12,54.72,55.95,54.25,55.9,27.841417585,24776.0,0.0,1.0
2021-01-11,54.3,54.91,53.83,54.65,27.2188456355,26177.0,0.0,1.0
2021-01-08,57.5,58.49,54.16,55.41,27.5973693808,36638.0,0.0,1.0
2021-01-07,57.98,57.98,55.76,57.8,28.7877269484,33847.0,0.0,1.0
2021-01-06,54.64,57.86,54.505,57.05,28.4141837786,55780.0,0.0,1.0
2021-01-05,51.23,54.4,51.23,53.42,26.6062348371,29017.0,0.0,1.0
2021-01-04,52.9,53.16,51.5,51.9,25.8491873464,31258.0,0.0,1.0
2020-12-31,51.94,53.0,51.94,52.31,26.0533909458,16681.0,0.0,1.0
2020-12-30,52.5,52.99,51.9,52.13,25.9637405851,14579.0,0.0,1.0
2020-12-29,52.4,52.86,51.36,52.3,26.0484103703,34184.0,0.0,1.0
2020-12-28,52.9,52.92,51.67,52.04,25.9189154047,28763.0,0.0,1.0
2020-12-24,52.14,52.24,50.89,52.18,25.9886434631,11144.0,0.0,1.0
2020-12-23,51.8,52.365,51.26,51.75,25.7744787124,15129.0,0.0,1.0
2020-12-22,50.94,51.81,50.75,51.58,25.6898089273,28492.0,0.0,1.0
2020-12-21,50.16,51.3479,49.99,50.63,25.2166542456,26970.0,0.0,1.0
2020-12-18,51.86,52.69,50.46,51.43,25.6151002933,262896.0,0.0,1.0
