date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,15.0,15.295,15.0,15.295,15.295,741.0,0.0,1.0
2021-04-15,14.258,14.258,14.258,14.258,14.258,194.0,0.0,1.0
2021-04-14,14.76,15.08,14.258,14.258,14.258,2282.0,0.0,1.0
2021-04-13,15.72,15.72,14.5,15.08,15.08,2623.0,0.0,1.0
2021-04-12,16.56,17.33,15.34,15.34,15.34,33186.0,0.0,1.0
2021-04-09,14.9943,19.05,14.85,16.75,16.75,24733.0,0.0,1.0
2021-04-08,14.73,14.73,14.73,14.73,14.73,104.0,0.0,1.0
2021-04-07,14.97,14.99,14.97,14.99,14.99,834.0,0.0,1.0
2021-04-06,14.96,14.96,14.96,14.96,14.96,26.0,0.0,1.0
2021-04-05,14.96,14.96,14.96,14.96,14.96,113.0,0.0,1.0
2021-04-01,14.7836,14.7836,14.7836,14.7836,14.7836,7.0,0.0,1.0
2021-03-31,14.9899,14.9899,14.7128,14.7836,14.7836,2779.0,0.0,1.0
2021-03-30,14.86,14.86,14.86,14.86,14.86,14.0,0.0,1.0
2021-03-29,14.86,14.86,14.86,14.86,14.86,129.0,0.0,1.0
2021-03-26,14.86,14.86,14.86,14.86,14.86,0.0,0.0,1.0
2021-03-25,14.86,14.86,14.86,14.86,14.86,62.0,0.0,1.0
2021-03-24,14.86,14.86,14.86,14.86,14.86,22.0,0.0,1.0
2021-03-23,14.86,14.86,14.86,14.86,14.86,15.0,0.0,1.0
2021-03-22,14.85,14.86,14.85,14.86,14.86,222.0,0.0,1.0
2021-03-19,14.75,15.0,14.75,15.0,15.0,1062.0,0.0,1.0
2021-03-18,14.75,14.75,14.75,14.75,14.75,838.0,0.0,1.0
2021-03-17,14.75,14.75,14.7,14.7,14.7,809.0,0.0,1.0
2021-03-16,14.75,14.75,14.75,14.75,14.75,710.0,0.0,1.0
2021-03-15,14.5,14.5,14.5,14.5,14.5,16.0,0.0,1.0
2021-03-12,14.5,14.5,14.5,14.5,14.5,103.0,0.0,1.0
2021-03-11,14.5,14.5,14.5,14.5,14.5,0.0,0.0,1.0
2021-03-10,14.5,14.5,14.5,14.5,14.5,0.0,0.0,1.0
2021-03-09,14.5,14.5,14.5,14.5,14.5,15225.0,0.0,1.0
2021-03-08,14.41,14.41,14.41,14.41,14.41,2.0,0.0,1.0
2021-03-05,14.405,14.41,14.405,14.41,14.41,318.0,0.0,1.0
2021-03-04,14.4,14.4,14.4,14.4,14.4,5368.0,0.0,1.0
2021-03-03,14.2974,14.5,14.2,14.44,14.44,11514.0,0.0,1.0
2021-03-02,14.15,14.15,14.15,14.15,14.15,31.0,0.0,1.0
2021-03-01,14.15,14.15,14.15,14.15,14.15,39.0,0.0,1.0
2021-02-26,14.15,14.15,14.15,14.15,14.15,310.0,0.0,1.0
2021-02-25,14.3,14.3,14.3,14.3,14.3,1.0,0.0,1.0
2021-02-24,13.8973,14.3,13.8973,14.3,14.3,2300.0,0.0,1.0
2021-02-23,14.3,14.3,14.1,14.27,14.27,492.0,0.0,1.0
2021-02-22,14.25,14.3,13.98,14.3,14.3,1461.0,0.0,1.0
2021-02-19,14.225,14.225,14.225,14.225,14.225,86.0,0.0,1.0
2021-02-18,14.225,14.225,14.225,14.225,14.225,58.0,0.0,1.0
2021-02-17,14.225,14.225,14.225,14.225,14.225,134.0,0.0,1.0
2021-02-16,14.02,14.02,14.02,14.02,14.02,38.0,0.0,1.0
2021-02-12,14.02,14.02,14.02,14.02,14.02,41.0,0.0,1.0
2021-02-11,14.02,14.02,14.02,14.02,14.02,87.0,0.0,1.0
2021-02-10,14.02,14.02,14.02,14.02,14.02,44.0,0.0,1.0
2021-02-09,14.02,14.02,14.02,14.02,14.02,28.0,0.0,1.0
2021-02-08,14.02,14.02,14.02,14.02,14.02,45.0,0.0,1.0
2021-02-05,14.29,14.29,14.02,14.02,14.02,925.0,0.0,1.0
2021-02-04,14.155,14.155,14.155,14.155,14.155,7.0,0.0,1.0
2021-02-03,14.155,14.155,14.155,14.155,14.155,20.0,0.0,1.0
2021-02-02,14.3,14.3,13.51,14.155,14.155,1650.0,0.0,1.0
2021-02-01,14.1101,14.1101,14.1101,14.1101,14.1101,0.0,0.0,1.0
2021-01-29,14.1101,14.1101,14.1101,14.1101,14.1101,11.0,0.0,1.0
2021-01-28,14.1101,14.1101,14.1101,14.1101,14.1101,629.0,0.0,1.0
2021-01-27,14.25,14.25,14.25,14.25,14.25,1.0,0.0,1.0
2021-01-26,14.25,14.25,14.25,14.25,14.25,1.0,0.0,1.0
2021-01-25,14.12,14.25,14.11,14.25,14.25,10654.0,0.0,1.0
2021-01-22,14.11,14.11,14.11,14.11,14.11,0.0,0.0,1.0
2021-01-21,14.11,14.11,14.11,14.11,14.11,37.0,0.0,1.0
2021-01-20,14.11,14.11,14.11,14.11,14.11,126.0,0.0,1.0
2021-01-19,14.25,14.25,14.25,14.25,14.25,18.0,0.0,1.0
2021-01-15,14.25,14.25,14.25,14.25,14.25,6.0,0.0,1.0
2021-01-14,14.25,14.25,14.25,14.25,14.25,14.0,0.0,1.0
2021-01-13,14.25,14.25,14.25,14.25,14.25,4328.0,0.0,1.0
2021-01-12,14.1,14.1,14.1,14.1,14.1,61.0,0.0,1.0
2021-01-11,14.1,14.1,14.1,14.1,14.1,101.0,0.0,1.0
2021-01-08,14.1,14.1,14.1,14.1,14.1,391.0,0.0,1.0
2021-01-07,14.16,14.16,14.01,14.0197,14.0197,3981.0,0.0,1.0
2021-01-06,14.08,14.08,14.08,14.08,14.08,305.0,0.0,1.0
2021-01-05,14.35,14.35,14.2,14.2,14.2,4029.0,0.0,1.0
2021-01-04,14.25,14.4,14.25,14.3835,14.3835,3762.0,0.0,1.0
2020-12-31,14.1406,14.3,14.0702,14.3,14.3,864.0,0.0,1.0
