date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.3,9.36,9.22,9.31,9.31,37332.0,0.0,1.0
2021-04-15,9.3,9.32,9.25,9.28,9.28,55445.0,0.0,1.0
2021-04-14,9.32,9.37,9.28,9.3,9.3,38247.0,0.0,1.0
2021-04-13,9.2,9.37,9.1656,9.34,9.34,120136.0,0.05,1.0
2021-04-12,9.16,9.25,9.14,9.24,9.19079872204,111991.0,0.0,1.0
2021-04-09,9.1,9.15,9.1,9.14,9.09133120341,59328.0,0.0,1.0
2021-04-08,9.1,9.14,9.08,9.09,9.04159744409,102648.0,0.0,1.0
2021-04-07,9.09,9.11,9.06,9.09,9.04159744409,127623.0,0.0,1.0
2021-04-06,9.1,9.15,9.03,9.08,9.03165069223,304877.0,0.0,1.0
2021-04-05,9.31,9.325,9.06,9.1,9.05154419595,364792.0,0.0,1.0
2021-04-01,9.25,9.45,9.25,9.32,9.27037273695,46828.0,0.0,1.0
2021-03-31,9.32,9.32,9.25,9.25,9.20074547391,36110.0,0.0,1.0
2021-03-30,9.29,9.32,9.25,9.29,9.24053248136,41137.0,0.0,1.0
2021-03-29,9.31,9.335,9.3,9.3,9.25047923323,30864.0,0.0,1.0
2021-03-26,9.4,9.42,9.37,9.4,9.34994675186,47727.0,0.0,1.0
2021-03-25,9.32,9.4,9.32,9.35,9.30021299255,61500.0,0.0,1.0
2021-03-24,9.26,9.39,9.26,9.38,9.33005324814,55967.0,0.0,1.0
2021-03-23,9.44,9.4748,9.15,9.19,9.14106496273,100124.0,0.0,1.0
2021-03-22,9.26,9.48,9.26,9.4,9.34994675186,54713.0,0.0,1.0
2021-03-19,9.25,9.32,9.25,9.28,9.2305857295,59052.0,0.0,1.0
2021-03-18,9.37,9.3987,9.26,9.28,9.2305857295,50665.0,0.0,1.0
2021-03-17,9.35,9.39,9.2501,9.37,9.32010649627,125606.0,0.0,1.0
2021-03-16,9.38,9.38,9.25,9.31,9.26042598509,134784.0,0.0,1.0
2021-03-15,9.09,9.29,9.061,9.29,9.24053248136,139649.0,0.0,1.0
2021-03-12,9.12,9.14,9.01,9.04,8.99186368477,87818.0,0.05,1.0
2021-03-11,9.16,9.18,9.12,9.13,9.0314318418,86848.0,0.0,1.0
2021-03-10,9.36,9.36,9.11,9.16,9.06110795957,91181.0,0.0,1.0
2021-03-09,9.2,9.33,9.16,9.24,9.14024427363,133923.0,0.0,1.0
2021-03-08,9.13,9.2,9.1,9.2,9.1006761166,53241.0,0.0,1.0
2021-03-05,9.15,9.195,9.13,9.14,9.04132388106,22902.0,0.0,1.0
2021-03-04,9.25,9.25,9.13,9.18,9.08089203809,38804.0,0.0,1.0
2021-03-03,9.26,9.2901,9.21,9.26,9.16002835214,105870.0,0.0,1.0
2021-03-02,9.18,9.24,9.08,9.21,9.11056815586,163604.0,0.0,1.0
2021-03-01,9.1,9.18,9.0329,9.13,9.0314318418,66470.0,0.0,1.0
2021-02-26,9.14,9.14,9.02,9.09,8.99186368477,49618.0,0.0,1.0
2021-02-25,9.04,9.14,9.0,9.09,8.99186368477,47829.0,0.0,1.0
2021-02-24,8.96,8.98,8.9,8.96,8.86326717443,99201.0,0.0,1.0
2021-02-23,9.01,9.07,8.96,9.03,8.93251144923,62363.0,0.0,1.0
2021-02-22,9.12,9.12,8.95,9.08,8.98197164551,88604.0,0.0,1.0
2021-02-19,9.07,9.21,9.04,9.14,9.04132388106,64017.0,0.0,1.0
2021-02-18,9.07,9.2,9.05,9.09,8.99186368477,51656.0,0.0,1.0
2021-02-17,9.08,9.19,9.05,9.09,8.99186368477,61908.0,0.0,1.0
2021-02-16,9.07,9.16,9.05,9.09,8.99186368477,147416.0,0.0,1.0
2021-02-12,9.17,9.22,9.08,9.12,9.02153980254,81934.0,0.0,1.0
2021-02-11,9.2,9.38,9.1,9.13,9.0314318418,60539.0,0.05,1.0
2021-02-10,9.25,9.2777,9.15,9.25,9.10029896913,40065.0,0.0,1.0
2021-02-09,9.12,9.32,9.07,9.23,9.08062264704,71750.0,0.0,1.0
2021-02-08,9.02,9.25,9.02,9.2,9.0511081639,65272.0,0.0,1.0
2021-02-05,9.067,9.2,8.82,8.99,8.84450678189,231317.0,0.0,1.0
2021-02-04,8.93,9.15,8.93,9.12,8.97240287551,35564.0,0.0,1.0
2021-02-03,9.0405,9.07,9.0,9.0,8.85434494294,114120.0,0.0,1.0
2021-02-02,9.0,9.16,8.97,9.0,8.85434494294,82153.0,0.0,1.0
2021-02-01,9.0,9.04,8.91,9.01,8.86418310399,112092.0,0.0,1.0
2021-01-29,8.9,9.03,8.87,9.02,8.87402126504,45105.0,0.0,1.0
2021-01-28,8.82,8.96,8.82,8.93,8.78547781561,22058.0,0.0,1.0
2021-01-27,8.82,8.9297,8.78,8.86,8.71661068827,31520.0,0.0,1.0
2021-01-26,8.83,9.0698,8.83,8.91,8.76580149351,63756.0,0.0,1.0
2021-01-25,8.91,8.9101,8.72,8.87,8.72644884932,63790.0,0.0,1.0
