date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,15.98,15.99,15.88,15.95,15.95,101956.0,0.0,1.0
2021-04-15,15.93,15.96,15.91,15.95,15.95,96731.0,0.0,1.0
2021-04-14,15.91,15.9531,15.895,15.93,15.93,68925.0,0.0,1.0
2021-04-13,15.87,15.9,15.82,15.88,15.88,153224.0,0.064,1.0
2021-04-12,15.87,15.93,15.84,15.89,15.8262167587,59979.0,0.0,1.0
2021-04-09,15.88,15.92,15.8,15.84,15.7764174611,68507.0,0.0,1.0
2021-04-08,15.85,15.92,15.85,15.88,15.8162568991,93791.0,0.0,1.0
2021-04-07,15.81,15.86,15.7979,15.86,15.7963371801,57943.0,0.0,1.0
2021-04-06,15.8,15.82,15.76,15.82,15.7564977421,56305.0,0.0,1.0
2021-04-05,15.83,15.83,15.75,15.79,15.7266181636,99153.0,0.0,1.0
2021-04-01,15.75,15.85,15.71,15.79,15.7266181636,101718.0,0.0,1.0
2021-03-31,15.69,15.7,15.63,15.67,15.6070998495,112903.0,0.0,1.0
2021-03-30,15.54,15.61,15.54,15.6,15.5373808329,95492.0,0.0,1.0
2021-03-29,15.52,15.54,15.5,15.53,15.4676618164,67905.0,0.0,1.0
2021-03-26,15.45,15.525,15.44,15.46,15.3979427998,143712.0,0.0,1.0
2021-03-25,15.48,15.48,15.42,15.45,15.3879829403,60151.0,0.0,1.0
2021-03-24,15.48,15.48,15.42,15.44,15.3780230808,51084.0,0.0,1.0
2021-03-23,15.47,15.48,15.3902,15.43,15.3680632213,109276.0,0.0,1.0
2021-03-22,15.52,15.52,15.45,15.46,15.3979427998,66280.0,0.0,1.0
2021-03-19,15.53,15.53,15.45,15.48,15.4178625188,105660.0,0.0,1.0
2021-03-18,15.57,15.58,15.49,15.53,15.4676618164,106606.0,0.0,1.0
2021-03-17,15.62,15.62,15.57,15.6,15.5373808329,106212.0,0.0,1.0
2021-03-16,15.65,15.67,15.62,15.62,15.5573005519,69919.0,0.0,1.0
2021-03-15,15.62,15.67,15.61,15.63,15.5672604114,67999.0,0.0,1.0
2021-03-12,15.67,15.67,15.54,15.6,15.5373808329,72743.0,0.064,1.0
2021-03-11,15.72,15.81,15.71,15.76,15.6326048217,71175.0,0.0,1.0
2021-03-10,15.69,15.7399,15.68,15.69,15.5631706632,144337.0,0.0,1.0
2021-03-09,15.6,15.7,15.56,15.65,15.5234940012,81581.0,0.0,1.0
2021-03-08,15.57,15.59,15.49,15.53,15.4044640153,74679.0,0.0,1.0
2021-03-05,15.61,15.61,15.42,15.55,15.4243023463,62796.0,0.0,1.0
2021-03-04,15.63,15.64,15.5,15.58,15.4540598427,117189.0,0.0,1.0
2021-03-03,15.63,15.63,15.52,15.59,15.4639790082,135584.0,0.0,1.0
2021-03-02,15.65,15.66,15.6,15.64,15.5135748357,127290.0,0.0,1.0
2021-03-01,15.66,15.81,15.58,15.65,15.5234940012,124165.0,0.0,1.0
2021-02-26,15.56,15.61,15.47,15.55,15.4243023463,101147.0,0.0,1.0
2021-02-25,15.53,15.61,15.37,15.42,15.2953531948,140975.0,0.0,1.0
2021-02-24,15.24,15.55,15.19,15.53,15.4044640153,155000.0,0.0,1.0
2021-02-23,15.35,15.35,15.03,15.3,15.1763232089,259537.0,0.0,1.0
2021-02-22,15.65,15.65,15.34,15.37,15.2457573673,132955.0,0.0,1.0
2021-02-19,15.73,15.78,15.54,15.6,15.4738981737,176061.0,0.0,1.0
