date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.2,9.72,9.07,9.56,9.56,44057.0,0.0,1.0
2021-04-15,10.0,10.0,9.0001,9.1,9.1,29763.0,0.0,1.0
2021-04-14,10.2065,10.38,9.56,9.66,9.66,17793.0,0.0,1.0
2021-04-13,10.27,10.405,9.9,10.2,10.2,14956.0,0.0,1.0
2021-04-12,10.2,10.6,10.13,10.36,10.36,23379.0,0.0,1.0
2021-04-09,10.73,11.09,9.8,9.8,9.8,62011.0,0.0,1.0
2021-04-08,10.55,13.62,10.33,10.97,10.97,447042.0,0.0,1.0
2021-04-07,10.076,11.096,10.02,10.78,10.78,90998.0,0.0,1.0
2021-04-06,10.33,10.33,9.76,9.98,9.98,8586.0,0.0,1.0
2021-04-05,10.3,11.2,10.203,10.38,10.38,31200.0,0.0,1.0
2021-04-01,10.3384,11.4,9.7305,10.5,10.5,48428.0,0.0,1.0
2021-03-31,9.8,9.85,9.7845,9.8,9.8,2831.0,0.0,1.0
2021-03-30,9.69,10.3,9.501,9.86,9.86,10330.0,0.0,1.0
2021-03-29,10.1,10.15,9.35,10.0,10.0,26224.0,0.0,1.0
2021-03-26,10.16,10.6983,9.9427,10.23,10.23,18109.0,0.0,1.0
2021-03-25,11.08,11.08,9.94,10.17,10.17,23758.0,0.0,1.0
2021-03-24,10.55,12.2325,10.26,10.94,10.94,110292.0,0.0,1.0
2021-03-23,10.595,11.25,10.21,10.34,10.34,90753.0,0.0,1.0
2021-03-22,10.7,10.7,10.3,10.3,10.3,11614.0,0.0,1.0
2021-03-19,10.1,10.9855,9.8001,10.7,10.7,13596.0,0.0,1.0
2021-03-18,10.37,11.25,10.01,10.05,10.05,36592.0,0.0,1.0
2021-03-17,9.77,10.7399,9.61,10.35,10.35,37203.0,0.0,1.0
2021-03-16,9.662,10.3,9.5801,9.63,9.63,15629.0,0.0,1.0
2021-03-15,10.06,10.8218,10.06,10.42,10.42,26290.0,0.0,1.0
2021-03-12,10.74,11.22,10.0001,10.37,10.37,36133.0,0.0,1.0
2021-03-11,10.56,10.56,10.14,10.3753,10.3753,7255.0,0.0,1.0
2021-03-10,9.6,11.13,9.6,9.96,9.96,35081.0,0.0,1.0
2021-03-09,9.3957,9.88,9.31,9.88,9.88,9053.0,0.0,1.0
2021-03-08,9.0644,9.5,9.0644,9.48,9.48,2658.0,0.0,1.0
2021-03-05,9.28,9.28,8.97,9.04,9.04,18614.0,0.0,1.0
2021-03-04,10.08,10.08,8.88,9.4,9.4,27022.0,0.0,1.0
2021-03-03,9.77,10.0,9.3,10.0,10.0,11479.0,0.0,1.0
2021-03-02,10.1,10.1613,9.61,9.82,9.82,13164.0,0.0,1.0
2021-03-01,9.99,10.485,9.7261,9.91,9.91,23792.0,0.0,1.0
2021-02-26,9.4,9.95,9.4,9.67,9.67,9540.0,0.0,1.0
2021-02-25,10.0001,10.18,9.53,9.54,9.54,16715.0,0.0,1.0
2021-02-24,9.74,10.6699,9.74,9.87,9.87,20705.0,0.0,1.0
2021-02-23,10.475,10.53,8.3613,9.87,9.87,53354.0,0.0,1.0
2021-02-22,10.88,11.1961,10.65,10.81,10.81,21039.0,0.0,1.0
2021-02-19,13.0,13.12,11.18,11.21,11.21,68098.0,0.0,1.0
2021-02-18,13.3,14.05,12.15,12.15,12.15,85635.0,0.0,1.0
2021-02-17,12.61,14.5,12.35,13.72,13.72,166116.0,0.0,1.0
2021-02-16,11.77,14.5,11.31,13.74,13.74,184932.0,0.0,1.0
2021-02-12,11.11,11.9499,10.6401,11.8,11.8,81195.0,0.0,1.0
2021-02-11,11.72,12.4171,10.48,10.96,10.96,82196.0,0.0,1.0
2021-02-10,11.75,12.98,11.07,11.5,11.5,94635.0,0.0,1.0
2021-02-09,10.11,11.4445,10.035,11.05,11.05,70444.0,0.0,1.0
2021-02-08,10.22,10.38,10.0,10.03,10.03,16436.0,0.0,1.0
2021-02-05,10.219,10.35,10.2,10.22,10.22,10023.0,0.0,1.0
2021-02-04,10.46,10.71,10.1409,10.29,10.29,14447.0,0.0,1.0
2021-02-03,9.85,10.68,9.85,10.6,10.6,5316.0,0.0,1.0
2021-02-02,10.2,10.2,9.77,10.05,10.05,9624.0,0.0,1.0
2021-02-01,10.05,10.31,9.6453,9.995,9.995,21885.0,0.0,1.0
2021-01-29,10.415,10.67,9.72,9.8,9.8,21365.0,0.0,1.0
2021-01-28,10.23,10.25,9.7274,9.77,9.77,15884.0,0.0,1.0
2021-01-27,11.01,11.59,9.1601,9.1601,9.1601,85873.0,0.0,1.0
2021-01-26,11.6776,11.82,11.25,11.59,11.59,6152.0,0.0,1.0
2021-01-25,10.75,11.98,10.75,11.69,11.69,40135.0,0.0,1.0
2021-01-22,11.03,11.03,10.645,10.87,10.87,10198.0,0.0,1.0
2021-01-21,11.49,11.49,10.92,10.9536,10.9536,21887.0,0.0,1.0
2021-01-20,11.3,11.99,10.566,11.6,11.6,79958.0,0.0,1.0
2021-01-19,11.92,11.92,10.53,11.1,11.1,71893.0,0.0,1.0
2021-01-15,11.49,16.0,10.704,11.125,11.125,472423.0,0.0,1.0
2021-01-14,11.05,11.05,10.3407,10.4,10.4,8806.0,0.0,1.0
2021-01-13,9.7,11.25,9.7,11.0,11.0,39537.0,0.0,1.0
2021-01-12,9.7,10.0,9.56,9.85,9.85,3568.0,0.0,1.0
2021-01-11,9.7,9.98,8.8,9.98,9.98,6191.0,0.0,1.0
2021-01-08,9.68,9.9999,9.0,9.67,9.67,6637.0,0.0,1.0
2021-01-07,9.64,10.3,9.58,10.0,10.0,18426.0,0.0,1.0
2021-01-06,8.65,9.65,8.65,9.45,9.45,18911.0,0.0,1.0
2021-01-05,8.7,10.6,8.5001,8.61,8.61,20289.0,0.0,1.0
2021-01-04,10.49,10.49,8.6401,9.67,9.67,27944.0,0.0,1.0
2020-12-31,10.82,11.81,9.6672,9.9694,9.9694,59575.0,0.0,1.0
2020-12-30,8.743,13.39,8.1,10.35,10.35,238104.0,0.0,1.0
2020-12-29,6.83,7.6,6.82,7.6,7.6,26980.0,0.0,1.0
2020-12-28,6.5,6.77,6.5,6.7565,6.7565,3662.0,0.0,1.0
2020-12-24,6.45,6.53,6.44,6.48,6.48,2412.0,0.0,1.0
2020-12-23,6.43,6.75,6.43,6.45,6.45,1004.0,0.0,1.0
2020-12-22,6.31,6.75,6.31,6.75,6.75,2811.0,0.0,1.0
2020-12-21,6.47,6.53,6.44,6.51,6.51,2760.0,0.0,1.0
2020-12-18,6.44,6.64,6.42,6.42,6.42,3197.0,0.0,1.0
2020-12-17,6.66,6.7,6.4,6.4323,6.4323,12962.0,0.0,1.0
2020-12-16,6.24,6.5,6.0,6.5,6.5,11446.0,0.0,1.0
2020-12-15,5.85,6.19,5.51,6.19,6.19,18011.0,0.0,1.0
2020-12-14,6.0703,6.15,5.83,6.13,6.13,5000.0,0.0,1.0
2020-12-11,6.05,6.25,6.0,6.25,6.25,4074.0,0.0,1.0
2020-12-10,6.11,6.11,6.11,6.11,6.11,127.0,0.0,1.0
2020-12-09,6.19,6.2,6.0031,6.11,6.11,4269.0,0.0,1.0
