date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,26.2,26.2,24.46,24.79,24.79,233981.0,0.0,1.0
2021-04-15,24.43,24.74,24.1,24.74,24.74,294215.0,0.0,1.0
2021-04-14,24.28,24.38,24.05,24.1,24.1,188147.0,0.0,1.0
2021-04-13,23.95,24.3,23.86,24.18,24.18,200256.0,0.0,1.0
2021-04-12,23.95,24.06,23.71,24.04,24.04,177194.0,0.0,1.0
2021-04-09,23.8,23.95,23.65,23.77,23.77,197537.0,0.0,1.0
2021-04-08,23.66,24.05,23.6,23.9,23.9,240312.0,0.0,1.0
2021-04-07,23.75,23.9237,23.59,23.66,23.66,178797.0,0.0,1.0
2021-04-06,23.84,24.0796,23.76,23.82,23.82,239691.0,0.0,1.0
2021-04-05,23.84,23.87,23.24,23.75,23.75,432121.0,0.0,1.0
2021-04-01,23.14,23.7272,23.05,23.65,23.65,381035.0,0.0,1.0
2021-03-31,23.7,23.73,23.09,23.13,23.13,553425.0,0.0,1.0
2021-03-30,23.31,23.94,23.31,23.75,23.75,241068.0,0.0,1.0
2021-03-29,23.51,23.9678,23.2004,23.41,23.41,240642.0,0.0,1.0
2021-03-26,22.9,23.73,22.86,23.73,23.73,276657.0,0.0,1.0
2021-03-25,22.55,22.87,22.1,22.74,22.74,301170.0,0.0,1.0
2021-03-24,22.96,23.18,22.61,22.64,22.64,254574.0,0.0,1.0
2021-03-23,22.85,23.08,22.72,22.9,22.9,261183.0,0.0,1.0
2021-03-22,23.0,23.21,22.58,22.9,22.9,196785.0,0.0,1.0
2021-03-19,23.11,23.405,22.86,23.04,23.04,958561.0,0.0,1.0
2021-03-18,23.27,23.42,23.06,23.16,23.16,177575.0,0.0,1.0
2021-03-17,23.47,23.47,23.04,23.35,23.35,182784.0,0.0,1.0
2021-03-16,23.73,23.74,23.2,23.48,23.48,264388.0,0.0,1.0
2021-03-15,23.43,23.91,23.03,23.845,23.845,366344.0,0.0,1.0
2021-03-12,23.22,23.4,22.74,23.3,23.3,391660.0,0.0,1.0
2021-03-11,22.95,23.09,22.78,22.845,22.845,311126.0,0.0,1.0
2021-03-10,22.71,23.09,22.53,22.99,22.99,269066.0,0.0,1.0
2021-03-09,22.76,23.0,22.63,22.65,22.65,269556.0,0.0,1.0
2021-03-08,21.96,22.785,21.78,22.59,22.59,229603.0,0.0,1.0
2021-03-05,22.25,22.27,21.68,21.96,21.96,358697.0,0.0,1.0
2021-03-04,21.69,22.13,21.68,21.92,21.92,353651.0,0.0,1.0
2021-03-03,21.75,21.945,21.62,21.63,21.63,328699.0,0.0,1.0
2021-03-02,21.61,21.91,21.36,21.64,21.64,259998.0,0.0,1.0
2021-03-01,21.73,21.92,21.635,21.73,21.73,256190.0,0.0,1.0
2021-02-26,21.51,21.74,21.19,21.27,21.27,676637.0,0.0,1.0
2021-02-25,21.58,21.9,21.39,21.41,21.41,458581.0,0.0,1.0
2021-02-24,21.54,21.77,21.27,21.47,21.47,415508.0,0.0,1.0
2021-02-23,21.49,21.66,21.35,21.425,21.425,410855.0,0.0,1.0
2021-02-22,21.4,21.6122,21.33,21.39,21.39,426621.0,0.0,1.0
2021-02-19,21.5,21.8804,21.35,21.49,21.49,516982.0,0.0,1.0
2021-02-18,22.14,22.37,21.5,21.55,21.55,349342.0,0.0,1.0
2021-02-17,22.34,22.585,22.2,22.3,22.3,202081.0,0.0,1.0
2021-02-16,22.92,23.09,22.26,22.38,22.38,242267.0,0.0,1.0
2021-02-12,22.95,23.04,22.63,22.73,22.73,214492.0,0.0,1.0
2021-02-11,22.9,23.14,22.6717,22.99,22.99,239418.0,0.0,1.0
2021-02-10,22.8,23.22,22.76,22.88,22.88,181096.0,0.0,1.0
2021-02-09,22.37,22.7,22.18,22.61,22.61,183612.0,0.0,1.0
2021-02-08,22.47,22.64,22.39,22.42,22.42,296317.0,0.0,1.0
2021-02-05,22.59,22.7,22.33,22.5,22.5,253557.0,0.0,1.0
2021-02-04,22.11,22.45,22.09,22.35,22.35,235325.0,0.0,1.0
2021-02-03,22.2,22.2,21.75,22.12,22.12,201199.0,0.0,1.0
2021-02-02,21.98,22.28,21.75,22.28,22.28,170862.0,0.0,1.0
2021-02-01,21.34,21.98,21.01,21.87,21.87,310275.0,0.0,1.0
2021-01-29,21.39,21.79,21.12,21.21,21.21,375077.0,0.0,1.0
2021-01-28,21.8,22.1703,21.52,21.53,21.53,257375.0,0.0,1.0
2021-01-27,22.24,22.43,21.77,21.84,21.84,350055.0,0.0,1.0
2021-01-26,22.78,22.855,22.19,22.61,22.61,648159.0,0.0,1.0
2021-01-25,22.1,22.7,21.92,22.66,22.66,281947.0,0.0,1.0
2021-01-22,21.51,22.29,21.42,22.23,22.23,347369.0,0.33,1.0
2021-01-21,22.71,22.71,22.16,22.38,22.0526329787,369884.0,0.0,1.0
2021-01-20,22.35,22.86,22.3,22.69,22.3580984043,297733.0,0.0,1.0
2021-01-19,23.08,23.08,22.2,22.35,22.0230718085,287662.0,0.0,1.0
2021-01-15,22.2,22.525,21.99,22.31,21.9836569149,305260.0,0.0,1.0
2021-01-14,22.69,22.75,22.24,22.24,21.9146808511,298731.0,0.0,1.0
2021-01-13,22.22,22.58,22.04,22.5,22.1708776596,146664.0,0.0,1.0
2021-01-12,22.0,22.29,21.795,22.14,21.816143617,195602.0,0.0,1.0
2021-01-11,22.22,22.5,21.81,21.98,21.6584840426,220062.0,0.0,1.0
2021-01-08,22.48,22.68,22.21,22.27,21.9442420213,310741.0,0.0,1.0
2021-01-07,22.89,22.89,22.14,22.39,22.0624867021,255378.0,0.0,1.0
2021-01-06,22.82,23.3306,22.49,22.7,22.3679521277,575113.0,0.0,1.0
2021-01-05,22.62,22.92,22.5,22.59,22.2595611702,241398.0,0.0,1.0
2021-01-04,23.34,23.37,22.45,22.6,22.2694148936,268568.0,0.0,1.0
2020-12-31,23.24,23.47,22.91,23.29,22.9493218085,122438.0,0.0,1.0
2020-12-30,23.19,23.41,22.97,23.19,22.8507845745,121460.0,0.0,1.0
2020-12-29,23.25,23.31,22.835,23.05,22.7128324468,125024.0,0.0,1.0
2020-12-28,23.11,23.5081,22.92,23.24,22.9000531915,209426.0,0.0,1.0
2020-12-24,22.79,22.95,22.56,22.91,22.5748803191,146748.0,0.0,1.0
2020-12-23,22.91,23.07,22.65,22.71,22.3778058511,180412.0,0.0,1.0
2020-12-22,22.48,22.81,22.3,22.78,22.4467819149,156523.0,0.0,1.0
2020-12-21,22.55,22.95,22.31,22.49,22.1610239362,284985.0,0.0,1.0
2020-12-18,23.3,24.15,22.89,23.08,22.742393617,1602178.0,0.0,1.0
2020-12-17,23.93,24.2304,23.59,23.96,23.6095212766,253665.0,0.0,1.0
2020-12-16,24.29,24.37,23.82,23.93,23.5799601064,248750.0,0.0,1.0
2020-12-15,23.52,24.22,23.3,24.16,23.8065957447,383618.0,0.0,1.0
2020-12-14,23.0,23.62,22.91,23.29,22.9493218085,328869.0,0.0,1.0
2020-12-11,22.63,22.85,22.63,22.85,22.5157579787,130886.0,0.0,1.0
2020-12-10,22.72,22.88,22.55,22.72,22.3876595745,198844.0,0.0,1.0
2020-12-09,22.85,23.03,22.56,22.84,22.5059042553,302590.0,0.0,1.0
2020-12-08,22.7,22.95,22.61,22.79,22.4566356383,245380.0,0.0,1.0
2020-12-07,22.75,22.94,22.535,22.85,22.5157579787,190427.0,0.0,1.0
2020-12-04,22.43,22.83,22.34,22.8,22.4664893617,230967.0,0.0,1.0
2020-12-03,22.02,22.47,22.0,22.21,21.8851196809,165218.0,0.0,1.0
2020-12-02,22.17,22.23,21.86,22.06,21.7373138298,270352.0,0.0,1.0
2020-12-01,21.95,22.205,21.78,22.1,21.7767287234,181307.0,0.0,1.0
2020-11-30,21.75,21.97,21.68,21.73,21.4121409574,344749.0,0.0,1.0
2020-11-27,22.15,22.15,21.51,21.85,21.5303856383,104533.0,0.0,1.0
2020-11-25,22.05,22.25,21.6,22.01,21.6880452128,609650.0,0.0,1.0
2020-11-24,22.14,22.3,22.0,22.05,21.7274601064,321973.0,0.0,1.0
2020-11-23,21.82,22.15,21.64,21.75,21.4318484043,327241.0,0.0,1.0
2020-11-20,21.7,21.86,21.56,21.7,21.3825797872,260369.0,0.0,1.0
2020-11-19,21.49,22.02,21.02,21.81,21.4909707447,411133.0,0.0,1.0
2020-11-18,22.05,22.24,21.56,21.56,21.2446276596,191120.0,0.0,1.0
2020-11-17,22.08,22.22,21.695,21.95,21.6289228723,268464.0,0.0,1.0
2020-11-16,21.8,22.46,21.63,22.22,21.8949734043,250138.0,0.0,1.0
2020-11-13,20.9,21.53,20.73,21.43,21.1165292553,183635.0,0.0,1.0
2020-11-12,21.09,21.09,20.32,20.67,20.3676462766,212730.0,0.0,1.0
2020-11-11,20.97,21.23,20.61,21.15,20.840625,212637.0,0.0,1.0
2020-11-10,20.05,20.98,20.05,20.92,20.6139893617,327319.0,0.0,1.0
2020-11-09,20.48,21.3,19.92,19.92,19.6286170213,392789.0,0.0,1.0
2020-11-06,19.66,19.77,19.05,19.16,18.8797340426,158164.0,0.0,1.0
2020-11-05,19.5,19.68,19.31,19.57,19.2837367021,184525.0,0.0,1.0
2020-11-04,19.58,19.71,19.26,19.5,19.2147606383,171100.0,0.0,1.0
2020-11-03,19.67,19.89,19.27,19.75,19.4611037234,230185.0,0.0,1.0
2020-11-02,19.49,19.51,18.96,19.45,19.1654920213,250199.0,0.0,1.0
2020-10-30,19.24,19.35,18.9,19.18,18.8994414894,300754.0,0.0,1.0
2020-10-29,19.04,19.6,18.76,19.36,19.0768085106,393362.0,0.0,1.0
2020-10-28,20.1,20.2,19.0185,19.14,18.8600265957,309779.0,0.0,1.0
2020-10-27,20.42,20.51,19.96,19.99,19.6975930851,187743.0,0.0,1.0
2020-10-26,21.11,21.19,20.28,20.5,20.2001329787,291293.0,0.0,1.0
2020-10-23,21.56,21.66,21.195,21.35,21.0376994681,235159.0,0.33,1.0
2020-10-22,21.57,21.83,21.27,21.76,21.1153293554,199801.0,0.0,1.0
2020-10-21,21.65,21.7016,21.305,21.59,20.9503658448,148361.0,0.0,1.0
2020-10-20,21.55,21.9,21.35,21.71,21.0668106758,188426.0,0.0,1.0
2020-10-19,22.02,22.04,21.34,21.34,20.7077724469,193865.0,0.0,1.0
2020-10-16,22.05,22.19,21.9,21.94,21.2899966019,151415.0,0.0,1.0
2020-10-15,21.79,22.43,21.56,22.17,21.513182528,200939.0,0.0,1.0
2020-10-14,22.39,22.55,21.86,21.94,21.2899966019,125279.0,0.0,1.0
2020-10-13,22.75,22.82,22.37,22.4,21.7363684541,210227.0,0.0,1.0
2020-10-12,22.25,22.94,22.05,22.84,22.1633328345,277734.0,0.0,1.0
2020-10-09,22.42,22.45,22.0,22.15,21.4937750562,257130.0,0.0,1.0
2020-10-08,22.15,22.51,22.0,22.34,21.6781460386,288845.0,0.0,1.0
2020-10-07,22.49,22.58,21.96,22.0,21.3482190174,289307.0,0.0,1.0
2020-10-06,22.33,22.79,22.08,22.33,21.6684423027,349880.0,0.0,1.0
2020-10-05,22.93,23.0,22.17,22.2,21.5422937358,282994.0,0.0,1.0
2020-10-02,21.9,22.9,21.53,22.79,22.1148141549,179852.0,0.0,1.0
2020-10-01,21.9,22.3,21.55,22.29,21.629627359,225334.0,0.0,1.0
2020-09-30,21.75,22.22,21.705,21.87,21.2220704505,320858.0,0.0,1.0
2020-09-29,21.94,21.94,21.3901,21.7,21.0571069399,172119.0,0.0,1.0
2020-09-28,21.42,22.015,21.39,21.93,21.280292866,229431.0,0.0,1.0
2020-09-25,20.5,21.19,20.5,21.12,20.4942902567,253690.0,0.0,1.0
2020-09-24,20.85,21.16,20.65,20.79,20.1740669715,206124.0,0.0,1.0
2020-09-23,21.7,21.7,20.82,20.85,20.232289387,373213.0,0.0,1.0
