date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,5.65,5.65,5.35,5.37,5.37,49951.0,0.0,1.0
2021-04-15,5.851,5.851,5.5001,5.59,5.59,18321.0,0.0,1.0
2021-04-14,5.5238,5.8299,5.5115,5.53,5.53,12702.0,0.0,1.0
2021-04-13,5.87,5.87,5.5599,5.68,5.68,20514.0,0.0,1.0
2021-04-12,5.865,5.865,5.6,5.63,5.63,31392.0,0.0,1.0
2021-04-09,6.03,6.03,5.859,5.89,5.89,6939.0,0.0,1.0
2021-04-08,6.06,6.14,5.91,6.0,6.0,9026.0,0.0,1.0
2021-04-07,5.99,6.15,5.962,6.11,6.11,10110.0,0.0,1.0
2021-04-06,6.0,6.1271,5.9,6.02,6.02,31194.0,0.0,1.0
2021-04-05,6.24,6.24,6.0,6.0,6.0,8376.0,0.0,1.0
2021-04-01,6.11,6.4,5.96,6.08,6.08,13137.0,0.0,1.0
2021-03-31,6.14,6.14,5.89,6.0,6.0,8122.0,0.0,1.0
2021-03-30,6.03,6.165,5.81,5.83,5.83,13513.0,0.0,1.0
2021-03-29,6.27,6.27,5.95,5.97,5.97,11001.0,0.0,1.0
2021-03-26,5.96,6.2,5.9,6.03,6.03,28344.0,0.0,1.0
2021-03-25,5.8,5.9414,5.79,5.83,5.83,9064.0,0.0,1.0
2021-03-24,6.34,6.4069,5.7155,5.87,5.87,36440.0,0.0,1.0
2021-03-23,6.5,6.51,6.13,6.35,6.35,36103.0,0.0,1.0
2021-03-22,6.34,6.69,6.3,6.64,6.64,15386.0,0.0,1.0
2021-03-19,6.4778,6.54,6.2,6.4,6.4,19096.0,0.0,1.0
2021-03-18,6.43,6.7869,6.26,6.37,6.37,57837.0,0.0,1.0
2021-03-17,6.2,6.74,6.2,6.54,6.54,21158.0,0.0,1.0
2021-03-16,6.56,6.9499,6.22,6.23,6.23,20210.0,0.0,1.0
2021-03-15,6.42,6.8,6.42,6.53,6.53,20707.0,0.0,1.0
2021-03-12,6.5,6.7,6.36,6.48,6.48,27932.0,0.0,1.0
2021-03-11,6.39,6.59,6.34,6.41,6.41,17877.0,0.0,1.0
2021-03-10,6.1,6.5,6.09,6.39,6.39,38652.0,0.0,1.0
2021-03-09,6.095,6.255,5.71,5.91,5.91,30041.0,0.0,1.0
2021-03-08,6.29,6.29,5.66,5.92,5.92,24700.0,0.0,1.0
2021-03-05,5.95,6.4987,5.41,6.15,6.15,97160.0,0.0,1.0
2021-03-04,6.33,6.39,5.55,5.76,5.76,66704.0,0.0,1.0
2021-03-03,6.65,6.7,6.23,6.49,6.49,32905.0,0.0,1.0
2021-03-02,6.9,6.96,6.64,6.73,6.73,14459.0,0.0,1.0
2021-03-01,6.72,6.9899,6.61,6.92,6.92,21378.0,0.0,1.0
2021-02-26,6.97,7.08,6.71,6.74,6.74,33325.0,0.0,1.0
2021-02-25,7.18,7.43,6.9,6.9,6.9,39408.0,0.0,1.0
2021-02-24,6.85,7.14,6.85,7.06,7.06,37850.0,0.0,1.0
2021-02-23,7.67,7.73,6.79,6.85,6.85,164077.0,0.0,1.0
2021-02-22,8.31,8.5875,7.7,7.74,7.74,129036.0,0.0,1.0
2021-02-19,7.71,8.6899,7.67,8.22,8.22,235161.0,0.0,1.0
2021-02-18,7.885,7.885,7.67,7.72,7.72,56704.0,0.0,1.0
2021-02-17,8.15,8.15,7.77,7.95,7.95,54849.0,0.0,1.0
2021-02-16,8.0,8.2,7.91,8.06,8.06,50848.0,0.0,1.0
2021-02-12,7.99,8.26,7.82,7.82,7.82,115543.0,0.0,1.0
2021-02-11,8.19,8.4999,8.01,8.11,8.11,206985.0,0.0,1.0
2021-02-10,8.3,8.38,7.52,7.99,7.99,143940.0,0.0,1.0
2021-02-09,7.54,9.23,7.51,8.37,8.37,1462422.0,0.0,1.0
2021-02-08,7.47,7.6899,7.3801,7.53,7.53,112801.0,0.0,1.0
2021-02-05,7.15,7.3995,7.035,7.35,7.35,85779.0,0.0,1.0
2021-02-04,7.08,7.25,7.0,7.15,7.15,48885.0,0.0,1.0
2021-02-03,6.98,7.39,6.76,7.15,7.15,59629.0,0.0,1.0
2021-02-02,6.99,7.1,6.8698,6.9,6.9,43179.0,0.0,1.0
2021-02-01,6.86,7.15,6.8426,6.9,6.9,43867.0,0.0,1.0
2021-01-29,6.76,7.1125,6.76,6.935,6.935,41635.0,0.0,1.0
2021-01-28,6.8,7.2,6.625,6.77,6.77,84095.0,0.0,1.0
2021-01-27,7.46,7.46,6.85,6.96,6.96,113854.0,0.0,1.0
2021-01-26,7.5391,8.0689,7.4235,7.54,7.54,133162.0,0.0,1.0
2021-01-25,7.26,7.86,7.1642,7.7,7.7,215145.0,0.0,1.0
2021-01-22,7.32,7.32,7.0909,7.28,7.28,33278.0,0.0,1.0
2021-01-21,7.0,7.45,7.0,7.32,7.32,64666.0,0.0,1.0
2021-01-20,7.28,7.28,6.98,7.02,7.02,39785.0,0.0,1.0
2021-01-19,6.85,7.29,6.81,7.23,7.23,66873.0,0.0,1.0
2021-01-15,6.77,6.9791,6.7328,6.87,6.87,24201.0,0.0,1.0
2021-01-14,6.665,6.9399,6.6,6.91,6.91,32547.0,0.0,1.0
2021-01-13,6.85,6.85,6.59,6.63,6.63,32879.0,0.0,1.0
2021-01-12,6.89,6.92,6.7512,6.83,6.83,19566.0,0.0,1.0
2021-01-11,6.92,7.0,6.72,6.87,6.87,23287.0,0.0,1.0
2021-01-08,6.775,6.89,6.76,6.86,6.86,18118.0,0.0,1.0
2021-01-07,6.73,6.89,6.6386,6.78,6.78,26199.0,0.0,1.0
2021-01-06,6.82,6.89,6.48,6.82,6.82,28547.0,0.0,1.0
2021-01-05,6.5599,6.7938,6.5214,6.78,6.78,30736.0,0.0,1.0
2021-01-04,6.45,6.66,6.3,6.63,6.63,28619.0,0.0,1.0
2020-12-31,6.5,6.5,6.18,6.37,6.37,103419.0,0.0,1.0
2020-12-30,6.67,6.68,6.3,6.59,6.59,72760.0,0.0,1.0
2020-12-29,6.78,6.78,6.43,6.67,6.67,106996.0,0.0,1.0
2020-12-28,6.72,6.92,6.5661,6.78,6.78,53059.0,0.0,1.0
2020-12-24,6.95,6.95,6.7,6.71,6.71,32225.0,0.0,1.0
2020-12-23,6.85,6.95,6.75,6.82,6.82,52714.0,0.0,1.0
2020-12-22,6.96,7.0199,6.75,6.96,6.96,62610.0,0.0,1.0
2020-12-21,6.9658,7.1,6.85,7.0,7.0,53771.0,0.0,1.0
2020-12-18,7.1,7.2,6.8975,7.19,7.19,58375.0,0.0,1.0
2020-12-17,7.11,7.4861,6.9,6.95,6.95,48026.0,0.0,1.0
2020-12-16,7.3,7.34,7.02,7.1,7.1,55415.0,0.0,1.0
2020-12-15,7.87,8.0,7.11,7.49,7.49,334000.0,0.0,1.0
2020-12-14,7.22,7.22,6.9001,7.0,7.0,394890.0,0.0,1.0
2020-12-11,7.14,7.14,6.9259,7.04,7.04,23582.0,0.0,1.0
2020-12-10,6.8,7.4,6.78,7.14,7.14,44835.0,0.0,1.0
2020-12-09,6.96,6.96,6.62,6.8,6.8,27332.0,0.0,1.0
2020-12-08,6.92,7.099,6.9,7.01,7.01,37138.0,0.0,1.0
2020-12-07,7.2,7.21,6.87,7.03,7.03,28627.0,0.0,1.0
2020-12-04,7.0,7.12,6.8636,7.12,7.12,39267.0,0.0,1.0
2020-12-03,6.94,7.12,6.8,7.03,7.03,31053.0,0.0,1.0
2020-12-02,6.91,7.1,6.805,6.99,6.99,24239.0,0.0,1.0
2020-12-01,7.24,7.32,6.62,7.03,7.03,45251.0,0.0,1.0
2020-11-30,7.27,7.335,7.06,7.12,7.12,49035.0,0.0,1.0
2020-11-27,7.47,7.48,7.03,7.3899,7.3899,44418.0,0.0,1.0
2020-11-25,7.62,7.62,7.35,7.44,7.44,41022.0,0.0,1.0
2020-11-24,7.63,7.72,7.35,7.55,7.55,51893.0,0.0,1.0
2020-11-23,7.54,7.73,7.51,7.63,7.63,33190.0,0.0,1.0
2020-11-20,7.32,7.6,7.25,7.49,7.49,32522.0,0.0,1.0
2020-11-19,7.83,7.83,7.32,7.45,7.45,33136.0,0.0,1.0
2020-11-18,7.2,7.95,7.2,7.74,7.74,83095.0,0.0,1.0
2020-11-17,7.34,7.3786,7.02,7.21,7.21,53311.0,0.0,1.0
2020-11-16,8.57,8.57,7.21,7.22,7.22,78301.0,0.0,1.0
2020-11-13,8.0,8.0,7.215,7.33,7.33,103570.0,0.0,1.0
2020-11-12,7.9,8.04,7.41,7.59,7.59,290105.0,0.0,1.0
2020-11-11,7.7,9.48,7.01,8.4,8.4,4606683.0,0.0,1.0
2020-11-10,6.68,6.9939,6.45,6.75,6.75,48499.0,0.0,1.0
2020-11-09,7.5,7.5,6.6,6.76,6.76,79829.0,0.0,1.0
2020-11-06,6.32,6.4294,6.15,6.24,6.24,22086.0,0.0,1.0
2020-11-05,6.16,6.3799,6.16,6.26,6.26,22133.0,0.0,1.0
2020-11-04,6.25,6.32,6.09,6.2,6.2,13091.0,0.0,1.0
2020-11-03,5.98,6.26,5.931,6.06,6.06,22855.0,0.0,1.0
2020-11-02,6.75,6.75,5.8002,6.01,6.01,149816.0,0.0,1.0
2020-10-30,7.0,7.11,6.65,6.75,6.75,24755.0,0.0,1.0
2020-10-29,7.1512,7.1512,7.0,7.02,7.02,20220.0,0.0,1.0
2020-10-28,7.2,7.2,6.86,7.06,7.06,32336.0,0.0,1.0
2020-10-27,7.33,7.36,6.92,7.21,7.21,43791.0,0.0,1.0
2020-10-26,7.6,7.6,7.21,7.35,7.35,43584.0,0.0,1.0
2020-10-23,7.21,7.722,7.21,7.4,7.4,14708.0,0.0,1.0
2020-10-22,7.18,7.465,7.15,7.333,7.333,11968.0,0.0,1.0
2020-10-21,7.4,7.4,7.16,7.2,7.2,18137.0,0.0,1.0
2020-10-20,7.43,7.52,7.3,7.39,7.39,6062.0,0.0,1.0
2020-10-19,7.73,7.8256,7.38,7.4,7.4,31457.0,0.0,1.0
2020-10-16,7.52,7.92,7.52,7.72,7.72,17616.0,0.0,1.0
2020-10-15,7.7542,8.09,7.52,7.75,7.75,26390.0,0.0,1.0
2020-10-14,8.12,8.317,8.08,8.15,8.15,51802.0,0.0,1.0
2020-10-13,8.29,8.8,8.1,8.19,8.19,78203.0,0.0,1.0
2020-10-12,8.41,8.8,8.0,8.5,8.5,176128.0,0.0,1.0
2020-10-09,8.23,8.4,7.53,7.78,7.78,118315.0,0.0,1.0
2020-10-08,7.0971,7.7,7.02,7.37,7.37,41220.0,0.0,1.0
2020-10-07,7.01,7.3057,7.01,7.01,7.01,30360.0,0.0,1.0
2020-10-06,7.2116,7.37,7.03,7.11,7.11,29979.0,0.0,1.0
2020-10-05,6.99,7.29,6.99,7.1,7.1,19041.0,0.0,1.0
2020-10-02,6.95,7.33,6.84,7.05,7.05,33454.0,0.0,1.0
2020-10-01,7.8,7.8,7.3141,7.33,7.33,11347.0,0.0,1.0
2020-09-30,7.0901,7.5,7.0901,7.5,7.5,19627.0,0.0,1.0
2020-09-29,7.2222,7.35,6.9866,7.35,7.35,26073.0,0.0,1.0
2020-09-28,7.5066,7.5066,7.08,7.08,7.08,41197.0,0.0,1.0
2020-09-25,7.3228,7.39,6.91,7.3,7.3,66089.0,0.0,1.0
2020-09-24,7.365,7.406,6.895,7.25,7.25,38617.0,0.0,1.0
2020-09-23,7.9,7.9899,7.04,7.28,7.28,47392.0,0.0,1.0
2020-09-22,8.02,8.175,7.79,7.79,7.79,19770.0,0.0,1.0
2020-09-21,8.09,8.2854,7.8901,7.97,7.97,33619.0,0.0,1.0
2020-09-18,8.03,8.25,7.84,8.12,8.12,40367.0,0.0,1.0
2020-09-17,8.45,8.4515,7.84,8.17,8.17,58728.0,0.0,1.0
2020-09-16,8.5,8.5,8.15,8.2,8.2,30273.0,0.0,1.0
2020-09-15,8.6,9.18,8.32,8.5,8.5,169551.0,0.0,1.0
2020-09-14,7.74,7.95,7.74,7.89,7.89,45988.0,0.0,1.0
2020-09-11,7.72,7.9286,7.62,7.74,7.74,20254.0,0.0,1.0
2020-09-10,8.0,8.0,7.7367,7.84,7.84,23037.0,0.0,1.0
2020-09-09,7.43,7.98,7.4,7.73,7.73,45423.0,0.0,1.0
2020-09-08,7.67,7.8968,7.2,7.46,7.46,137268.0,0.0,1.0
2020-09-04,8.1,8.1,7.3653,8.05,8.05,82616.0,0.0,1.0
2020-09-03,8.41,8.7483,8.1601,8.19,8.19,66529.0,0.0,1.0
2020-09-02,8.61,8.96,8.5101,8.52,8.52,121018.0,0.0,1.0
2020-09-01,8.89,9.0,8.25,8.89,8.89,241728.0,0.0,1.0
2020-08-31,9.02,9.27,8.92,9.15,9.15,95460.0,0.0,1.0
2020-08-28,8.96,9.1,8.775,9.07,9.07,72307.0,0.0,1.0
2020-08-27,9.2,9.45,8.909,9.08,9.08,71927.0,0.0,1.0
2020-08-26,9.37,9.5929,9.1501,9.17,9.17,57320.0,0.0,1.0
2020-08-25,9.21,9.69,9.21,9.37,9.37,99539.0,0.0,1.0
2020-08-24,9.78,9.93,8.88,9.33,9.33,273075.0,0.0,1.0
2020-08-21,10.0,10.2,9.67,10.05,10.05,365080.0,0.0,1.0
2020-08-20,10.55,10.59,10.15,10.23,10.23,295387.0,0.0,1.0
2020-08-19,10.86,11.22,10.54,10.69,10.69,222802.0,0.0,1.0
2020-08-18,10.75,11.5,10.315,10.9,10.9,619677.0,0.0,1.0
2020-08-17,10.9,10.99,10.1,10.75,10.75,384761.0,0.0,1.0
2020-08-14,10.13,11.1,9.8,11.08,11.08,635137.0,0.0,1.0
2020-08-13,9.96,10.38,9.96,10.14,10.14,254142.0,0.0,1.0
2020-08-12,10.22,10.6743,9.74,10.09,10.09,294342.0,0.0,1.0
2020-08-11,10.95,11.14,10.05,10.24,10.24,283946.0,0.0,1.0
2020-08-10,10.96,11.18,10.8,11.03,11.03,194159.0,0.0,1.0
2020-08-07,11.0,11.7399,10.7,10.97,10.97,510109.0,0.0,1.0
2020-08-06,11.5,11.5661,10.86,11.14,11.14,397544.0,0.0,1.0
2020-08-05,10.08,11.94,10.0135,10.95,10.95,1059998.0,0.0,1.0
2020-08-04,9.98,10.5,9.91,10.32,10.32,311799.0,0.0,1.0
