date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,61.31,61.31,60.57,60.97,60.97,4615.0,0.0,1.0
2021-04-15,60.72,60.85,60.24,60.75,60.75,5687.0,0.0,1.0
2021-04-14,59.9696,61.0,59.4,59.4,59.4,4742.0,0.0,1.0
2021-04-13,60.3,60.43,59.35,59.66,59.66,9092.0,0.0,1.0
2021-04-12,60.61,60.61,59.68,59.99,59.99,4459.0,0.0,1.0
2021-04-09,61.0501,61.08,59.75,59.75,59.75,8546.0,0.0,1.0
2021-04-08,61.0,61.849,60.53,60.95,60.95,8747.0,0.0,1.0
2021-04-07,61.9,61.98,60.95,60.95,60.95,36084.0,0.0,1.0
2021-04-06,61.65,62.11,61.31,62.11,62.11,8390.0,0.0,1.0
2021-04-05,62.55,63.74,61.2162,62.17,62.17,2121.0,0.0,1.0
2021-04-01,61.0,62.18,61.0,61.54,61.54,8115.0,0.0,1.0
2021-03-31,60.59,61.12,60.0,60.16,60.16,23487.0,0.0,1.0
2021-03-30,61.0,61.73,61.0,61.0,61.0,4003.0,0.0,1.0
2021-03-29,62.13,62.13,61.0,61.0,61.0,11121.0,0.0,1.0
2021-03-26,61.42,63.11,61.0,62.09,62.09,8083.0,0.0,1.0
2021-03-25,60.2971,61.76,60.2971,61.05,61.05,16465.0,0.0,1.0
2021-03-24,60.52,63.0,60.304,61.0,61.0,40597.0,0.0,1.0
2021-03-23,65.0,65.0,59.1,59.1,59.1,26086.0,0.0,1.0
2021-03-22,65.88,67.01,64.45,65.17,65.17,36315.0,0.0,1.0
2021-03-19,65.0,70.59,62.84,64.62,64.62,138288.0,0.0,1.0
2021-03-18,67.4,68.98,63.95,64.28,64.28,28074.0,0.0,1.0
2021-03-17,66.05,69.26,64.77,66.87,66.87,32625.0,0.0,1.0
2021-03-16,61.84,66.19,61.455,66.05,66.05,29325.0,0.0,1.0
2021-03-15,60.145,61.2,59.225,61.2,61.2,45010.0,0.0,1.0
2021-03-12,60.5,60.5,59.135,59.9,59.9,23303.0,0.0,1.0
2021-03-11,62.19,62.19,59.505,60.98,60.98,18148.0,0.0,1.0
2021-03-10,59.52,61.0,59.1,60.01,60.01,31090.0,0.0,1.0
2021-03-09,59.54,60.44,58.5,59.15,59.15,18592.0,0.0,1.0
2021-03-08,59.86,60.49,58.5,58.5,58.5,28515.0,0.0,1.0
2021-03-05,58.44,59.79,57.1996,59.79,59.79,44380.0,0.0,1.0
2021-03-04,58.02,59.31,57.5,57.5,57.5,101148.0,0.0,1.0
2021-03-03,56.94,59.5,56.3,58.2,58.2,492420.0,0.0,1.0
2021-03-02,60.01,62.84,60.01,60.7,60.7,16775.0,0.0,1.0
2021-03-01,62.0,62.68,61.31,62.68,62.68,3220.0,0.0,1.0
2021-02-26,62.9,62.9,60.68,60.68,60.68,1743.0,0.0,1.0
2021-02-25,63.63,64.33,63.15,63.15,63.15,3992.0,0.0,1.0
2021-02-24,64.0,64.9,64.0,64.9,64.9,2568.0,0.0,1.0
