date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.1,10.1,10.1,10.1,10.1,74.0,0.0,1.0
2021-04-15,10.175,10.175,10.07,10.1,10.1,72652.0,0.0,1.0
2021-04-14,10.1,10.24,10.1,10.24,10.24,231383.0,0.0,1.0
2021-04-13,10.15,10.1553,10.15,10.15,10.15,800.0,0.0,1.0
2021-04-12,10.125,10.125,10.125,10.125,10.125,300010.0,0.0,1.0
2021-04-09,10.1,10.24,10.09,10.24,10.24,84829.0,0.0,1.0
2021-04-08,10.057,10.057,10.057,10.057,10.057,40.0,0.0,1.0
2021-04-07,10.057,10.057,10.057,10.057,10.057,441.0,0.0,1.0
2021-04-06,9.95,10.11,9.95,10.11,10.11,4643.0,0.0,1.0
2021-04-05,10.05,10.11,10.05,10.11,10.11,13316.0,0.0,1.0
2021-04-01,10.02,10.15,9.995,10.0,10.0,65294.0,0.0,1.0
2021-03-31,9.99,10.03,9.9,9.95,9.95,39001.0,0.0,1.0
2021-03-30,10.1,10.13,9.95,9.99,9.99,42201.0,0.0,1.0
2021-03-29,10.18,10.18,10.05,10.05,10.05,1123.0,0.0,1.0
2021-03-26,10.02,10.3,10.02,10.27,10.27,43675.0,0.0,1.0
2021-03-25,10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
2021-03-24,10.05,10.08,10.0,10.0,10.0,15527.0,0.0,1.0
2021-03-23,10.03,10.1,10.03,10.04,10.04,10488.0,0.0,1.0
2021-03-22,10.12,10.19,10.11,10.11,10.11,7477.0,0.0,1.0
2021-03-19,10.06,10.18,10.06,10.11,10.11,12831.0,0.0,1.0
2021-03-18,10.17,10.21,10.15,10.15,10.15,19759.0,0.0,1.0
2021-03-17,10.1,10.15,10.04,10.04,10.04,41100.0,0.0,1.0
2021-03-16,10.1,10.15,10.06,10.06,10.06,147356.0,0.0,1.0
2021-03-15,10.27,10.28,10.0725,10.1,10.1,287521.0,0.0,1.0
2021-03-12,10.23,10.28,10.2,10.28,10.28,5202.0,0.0,1.0
2021-03-11,10.46,10.47,10.13,10.3,10.3,104523.0,0.0,1.0
2021-03-10,10.25,10.35,10.25,10.35,10.35,2372.0,0.0,1.0
2021-03-09,10.44,10.45,10.1,10.22,10.22,114540.0,0.0,1.0
2021-03-08,10.285,10.48,10.25,10.48,10.48,111066.0,0.0,1.0
2021-03-05,10.21,10.28,10.0,10.25,10.25,63092.0,0.0,1.0
2021-03-04,10.22,10.25,10.14,10.22,10.22,44107.0,0.0,1.0
2021-03-03,10.39,10.39,10.21,10.3,10.3,169946.0,0.0,1.0
2021-03-02,10.33,10.48,9.96,10.3,10.3,373418.0,0.0,1.0
2021-03-01,10.45,10.54,10.31,10.4,10.4,183822.0,0.0,1.0
2021-02-26,10.47,10.47,10.25,10.35,10.35,191207.0,0.0,1.0
2021-02-25,10.52,10.63,10.44,10.47,10.47,393926.0,0.0,1.0
2021-02-24,10.54,10.6,10.51,10.55,10.55,37875.0,0.0,1.0
2021-02-23,10.57,10.6001,10.445,10.6,10.6,44108.0,0.0,1.0
2021-02-22,10.7,10.7,10.61,10.665,10.665,32686.0,0.0,1.0
2021-02-19,10.6,10.67,10.6,10.64,10.64,23352.0,0.0,1.0
2021-02-18,10.62,10.7,10.61,10.68,10.68,7109.0,0.0,1.0
2021-02-17,10.64,10.66,10.53,10.57,10.57,39098.0,0.0,1.0
2021-02-16,10.629,10.65,10.55,10.63,10.63,34747.0,0.0,1.0
2021-02-12,10.631,10.631,10.56,10.61,10.61,14017.0,0.0,1.0
2021-02-11,10.6,10.7,10.54,10.56,10.56,16603.0,0.0,1.0
2021-02-10,10.56,10.6407,10.55,10.56,10.56,9721.0,0.0,1.0
2021-02-09,10.62,10.6464,10.6,10.6199,10.6199,13385.0,0.0,1.0
2021-02-08,10.59,10.8,10.57,10.65,10.65,73259.0,0.0,1.0
2021-02-05,10.71,10.75,10.67,10.67,10.67,128158.0,0.0,1.0
2021-02-04,10.75,10.75,10.6,10.675,10.675,107600.0,0.0,1.0
2021-02-03,10.7,10.75,10.65,10.72,10.72,307492.0,0.0,1.0
2021-02-02,10.5,10.6,10.43,10.58,10.58,7570.0,0.0,1.0
2021-02-01,10.42,10.5,10.4,10.41,10.41,29105.0,0.0,1.0
2021-01-29,10.49,10.49,10.35,10.36,10.36,48696.0,0.0,1.0
2021-01-28,10.39,10.515,10.38,10.38,10.38,23876.0,0.0,1.0
2021-01-27,10.47,10.49,10.355,10.37,10.37,340482.0,0.0,1.0
2021-01-26,10.6,10.6,10.45,10.49,10.49,345258.0,0.0,1.0
2021-01-25,10.73,10.73,10.51,10.59,10.59,16429.0,0.0,1.0
2021-01-22,10.6,10.69,10.6,10.61,10.61,58744.0,0.0,1.0
2021-01-21,10.5,10.6,10.5,10.55,10.55,27955.0,0.0,1.0
2021-01-20,10.5,10.51,10.5,10.5,10.5,42385.0,0.0,1.0
2021-01-19,10.45,10.47,10.45,10.47,10.47,201344.0,0.0,1.0
2021-01-15,10.53,10.53,10.39,10.47,10.47,166973.0,0.0,1.0
2021-01-14,10.65,10.65,10.55,10.63,10.63,289182.0,0.0,1.0
2021-01-13,10.51,10.65,10.5,10.65,10.65,251040.0,0.0,1.0
2021-01-12,10.39,10.51,10.3525,10.5,10.5,213448.0,0.0,1.0
2021-01-11,10.4,10.63,10.36,10.36,10.36,203352.0,0.0,1.0
2021-01-08,10.45,10.49,10.36,10.36,10.36,103088.0,0.0,1.0
2021-01-07,10.4,10.55,10.38,10.42,10.42,4901652.0,0.0,1.0
