date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,3.34,3.38,3.32,3.33,3.33,127795.0,0.0,1.0
2021-04-15,3.33,3.3452,3.3075,3.33,3.33,173499.0,0.0,1.0
2021-04-14,3.26,3.3289,3.26,3.31,3.31,324221.0,0.0,1.0
2021-04-13,3.27,3.28,3.25,3.27,3.27,137746.0,0.0,1.0
2021-04-12,3.27,3.3,3.25,3.25,3.25,190565.0,0.0,1.0
2021-04-09,3.26,3.29,3.26,3.277,3.277,94007.0,0.0,1.0
2021-04-08,3.25,3.3,3.24,3.29,3.29,222026.0,0.0,1.0
2021-04-07,3.27,3.3,3.265,3.28,3.28,252748.0,0.0,1.0
2021-04-06,3.26,3.29,3.25,3.27,3.27,312897.0,0.0,1.0
2021-04-05,3.23,3.26,3.23,3.2397,3.2397,307803.0,0.0,1.0
2021-04-01,3.2,3.27,3.2,3.26,3.26,523545.0,0.077,1.0
2021-03-31,3.3,3.3246,3.28,3.31,3.23362301468,411253.0,0.0,1.0
2021-03-30,3.32,3.32,3.29,3.31,3.23362301468,356742.0,0.0,1.0
2021-03-29,3.3,3.3384,3.3,3.32,3.2433922685,571927.0,0.0,1.0
2021-03-26,3.3,3.34,3.29,3.31,3.23362301468,1859410.0,0.0,1.0
2021-03-25,3.05,3.06,2.9815,3.03,2.9600839077,105490.0,0.0,1.0
2021-03-24,3.04,3.1,3.0214,3.07,2.99916092298,164853.0,0.0,1.0
2021-03-23,3.05,3.05,3.0,3.03,2.9600839077,169783.0,0.0,1.0
2021-03-22,3.1,3.11,3.06,3.08,3.00893017681,140122.0,0.0,1.0
2021-03-19,3.1,3.11,3.05,3.1,3.02846868445,120954.0,0.0,1.0
2021-03-18,3.13,3.17,3.06,3.06,2.98939166916,121858.0,0.0,1.0
2021-03-17,3.11,3.18,3.11,3.14,3.06754569973,36811.0,0.0,1.0
2021-03-16,3.13,3.16,3.11,3.12,3.04800719209,79640.0,0.0,1.0
2021-03-15,3.08,3.18,3.0686,3.17,3.09685346119,246483.0,0.0,1.0
2021-03-12,3.11,3.11,3.08,3.08,3.00893017681,61654.0,0.0,1.0
2021-03-11,3.1,3.11,3.06,3.1,3.02846868445,58982.0,0.0,1.0
2021-03-10,3.05,3.08,3.026,3.08,3.00893017681,64761.0,0.0,1.0
2021-03-09,3.02,3.06,2.9829,3.04,2.96985316152,374206.0,0.0,1.0
2021-03-08,3.1,3.12,3.01,3.02,2.95031465388,322867.0,0.0,1.0
2021-03-05,3.11,3.1599,2.99,3.08,3.00893017681,88443.0,0.0,1.0
2021-03-04,3.12,3.16,3.04,3.04,2.96985316152,166798.0,0.0,1.0
2021-03-03,3.046,3.225,3.04,3.11,3.03823793827,178453.0,0.0,1.0
2021-03-02,3.07,3.1,3.04,3.06,2.98939166916,58593.0,0.0,1.0
2021-03-01,3.04,3.1,3.01,3.06,2.98939166916,114672.0,0.0,1.0
2021-02-26,3.06,3.078,2.97,3.01,2.94054540006,114458.0,0.0,1.0
2021-02-25,3.15,3.19,3.04,3.04,2.96985316152,94728.0,0.0,1.0
2021-02-24,3.08,3.17,3.0168,3.17,3.09685346119,90281.0,0.0,1.0
2021-02-23,3.05,3.06,2.96,3.04,2.96985316152,185741.0,0.0,1.0
2021-02-22,2.97,3.13,2.96,3.06,2.98939166916,155494.0,0.0,1.0
2021-02-19,2.93,2.99,2.93,2.96,2.89169913096,55479.0,0.0,1.0
2021-02-18,2.95,2.974,2.9222,2.95,2.88192987714,56574.0,0.0,1.0
2021-02-17,2.93,2.95,2.92,2.95,2.88192987714,93204.0,0.0,1.0
2021-02-16,2.9,2.95,2.875,2.92,2.85262211567,98115.0,0.0,1.0
2021-02-12,2.82,2.88,2.82,2.87,2.80377584657,67095.0,0.0,1.0
2021-02-11,2.86,2.8725,2.83,2.84,2.77446808511,173370.0,0.0,1.0
2021-02-10,2.86,2.91,2.85,2.86,2.79400659275,131101.0,0.0,1.0
2021-02-09,2.89,2.89,2.83,2.85,2.78423733893,82760.0,0.0,1.0
2021-02-08,2.86,2.8873,2.84,2.88,2.81354510039,81371.0,0.0,1.0
2021-02-05,2.87,2.8799,2.81,2.84,2.77446808511,86929.0,0.0,1.0
2021-02-04,2.83,2.84,2.79,2.81,2.74516032364,186717.0,0.0,1.0
2021-02-03,2.75,2.83,2.73,2.82,2.75492957746,114481.0,0.0,1.0
2021-02-02,2.78,2.84,2.75,2.76,2.69631405454,161726.0,0.0,1.0
2021-02-01,2.67,2.75,2.63,2.75,2.68654480072,147166.0,0.0,1.0
2021-01-29,2.65,2.7,2.65,2.65,2.58885226251,175781.0,0.0,1.0
2021-01-28,2.64,2.7,2.62,2.7,2.63769853162,71600.0,0.0,1.0
2021-01-27,2.7,2.72,2.655,2.67,2.60839077015,55375.0,0.0,1.0
2021-01-26,2.74,2.76,2.72,2.74,2.6767755469,45554.0,0.0,1.0
2021-01-25,2.76,2.8,2.7,2.71,2.64746778544,135641.0,0.0,1.0
2021-01-22,2.8,2.8388,2.77,2.8,2.73539106982,74900.0,0.0,1.0
2021-01-21,2.81,2.85,2.77,2.84,2.77446808511,149898.0,0.0,1.0
2021-01-20,2.93,2.93,2.84,2.84,2.77446808511,128385.0,0.0,1.0
2021-01-19,2.86,2.95,2.837,2.91,2.84285286185,124035.0,0.0,1.0
2021-01-15,2.89,2.92,2.84,2.84,2.77446808511,174067.0,0.0,1.0
2021-01-14,2.9,2.9556,2.85,2.93,2.86239136949,91846.0,0.0,1.0
2021-01-13,2.9,2.92,2.86,2.87,2.80377584657,81960.0,0.0,1.0
2021-01-12,2.82,2.885,2.82,2.87,2.80377584657,46135.0,0.0,1.0
2021-01-11,2.76,2.86,2.75,2.82,2.75492957746,105816.0,0.0,1.0
2021-01-08,2.83,2.8301,2.78,2.78,2.71585256218,37441.0,0.0,1.0
2021-01-07,2.76,2.83,2.76,2.8,2.73539106982,86212.0,0.0,1.0
2021-01-06,2.73,2.79,2.72,2.75,2.68654480072,140028.0,0.0,1.0
2021-01-05,2.58,2.72,2.58,2.7,2.63769853162,137379.0,0.0,1.0
2021-01-04,2.57,2.59,2.54,2.56,2.50092897812,165518.0,0.0,1.0
2020-12-31,2.59,2.68,2.54,2.56,2.50092897812,365949.0,0.0,1.0
2020-12-30,2.62,2.6864,2.59,2.6,2.54000599341,780869.0,0.077,1.0
2020-12-29,2.77,2.77,2.7,2.72,2.58080549199,134858.0,0.0,1.0
2020-12-28,2.73,2.765,2.73,2.75,2.60927025845,174732.0,0.0,1.0
2020-12-24,2.74,2.74,2.71,2.73,2.59029374748,48100.0,0.0,1.0
2020-12-23,2.67,2.74,2.67,2.72,2.58080549199,64904.0,0.0,1.0
2020-12-22,2.69,2.71,2.67,2.67,2.53336421457,90101.0,0.0,1.0
2020-12-21,2.67,2.75,2.6306,2.73,2.59029374748,124849.0,0.0,1.0
2020-12-18,2.76,2.76,2.7101,2.73,2.59029374748,73246.0,0.0,1.0
2020-12-17,2.76,2.76,2.71,2.74,2.59978200296,88902.0,0.0,1.0
2020-12-16,2.72,2.75,2.7,2.72,2.58080549199,35881.0,0.0,1.0
2020-12-15,2.65,2.72,2.65,2.71,2.57131723651,99806.0,0.0,1.0
2020-12-14,2.75,2.76,2.65,2.65,2.5143877036,114326.0,0.0,1.0
2020-12-11,2.74,2.76,2.67,2.74,2.59978200296,110870.0,0.0,1.0
2020-12-10,2.66,2.79,2.66,2.74,2.59978200296,197316.0,0.0,1.0
2020-12-09,2.69,2.7349,2.65,2.67,2.53336421457,174842.0,0.0,1.0
2020-12-08,2.72,2.73,2.67,2.68,2.54285247005,183851.0,0.0,1.0
2020-12-07,2.7,2.74,2.68,2.68,2.54285247005,128601.0,0.0,1.0
