date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,13.44,13.5395,13.26,13.34,13.34,11836.0,0.0,1.0
2021-04-15,13.71,13.785,13.4,13.41,13.41,10046.0,0.0,1.0
2021-04-14,13.68,13.87,13.4,13.6,13.6,6011.0,0.0,1.0
2021-04-13,14.0,14.45,13.6,13.99,13.99,19695.0,0.0,1.0
2021-04-12,14.17,14.7,14.0001,14.35,14.35,9317.0,0.0,1.0
2021-04-09,14.75,14.89,14.39,14.4384,14.4384,13296.0,0.0,1.0
2021-04-08,14.63,14.9899,14.63,14.76,14.76,10480.0,0.0,1.0
2021-04-07,14.67,15.44,14.65,14.87,14.87,6976.0,0.0,1.0
2021-04-06,14.54,15.14,14.508,15.14,15.14,65920.0,0.0,1.0
2021-04-05,14.64,15.3999,14.55,14.95,14.95,29372.0,0.0,1.0
2021-04-01,14.48,15.46,14.39,14.45,14.45,15153.0,0.0,1.0
2021-03-31,14.36,15.49,14.35,14.7,14.7,53328.0,0.0,1.0
2021-03-30,13.88,15.215,13.78,15.0,15.0,63829.0,0.0,1.0
2021-03-29,13.93,14.3499,13.5652,14.0,14.0,64787.0,0.0,1.0
2021-03-26,13.64,14.92,13.47,14.23,14.23,37884.0,0.0,1.0
2021-03-25,14.5,14.51,13.31,14.03,14.03,57265.0,0.0,1.0
2021-03-24,14.1,15.4999,13.625,14.51,14.51,191743.0,0.0,1.0
2021-03-23,13.07,13.07,12.3516,12.56,12.56,2262.0,0.0,1.0
2021-03-22,13.5,13.5,12.89,13.12,13.12,2331.0,0.0,1.0
2021-03-19,12.8,12.8,12.48,12.55,12.55,2510.0,0.0,1.0
2021-03-18,12.81,13.771,12.8,12.81,12.81,1788.0,0.0,1.0
2021-03-17,12.8,13.8,12.8,13.8,13.8,749.0,0.0,1.0
2021-03-16,12.8,13.27,12.675,12.9545,12.9545,111934.0,0.0,1.0
2021-03-15,12.97,13.19,12.6,12.8,12.8,42164.0,0.0,1.0
2021-03-12,12.82,13.3698,12.81,13.315,13.315,4497.0,0.0,1.0
2021-03-11,12.94,13.26,12.82,12.82,12.82,35207.0,0.0,1.0
2021-03-10,13.25,13.86,12.72,12.72,12.72,27926.0,0.0,1.0
2021-03-09,13.4,13.68,12.81,13.55,13.55,22911.0,0.0,1.0
2021-03-08,13.6,14.0,13.132,13.7,13.7,10343.0,0.0,1.0
2021-03-05,14.34,14.66,14.2,14.2,14.2,6495.0,0.0,1.0
2021-03-04,14.91,15.02,14.0,14.61,14.61,31675.0,0.0,1.0
2021-03-03,15.42,15.42,14.8,14.995,14.995,98633.0,0.0,1.0
2021-03-02,15.5,15.6,15.27,15.44,15.44,5362.0,0.0,1.0
2021-03-01,14.91,16.61,14.91,15.75,15.75,7372.0,0.0,1.0
2021-02-26,15.7,15.7,15.0,15.0,15.0,106796.0,0.0,1.0
2021-02-25,15.61,15.8,15.51,15.54,15.54,1051.0,0.0,1.0
2021-02-24,15.93,16.07,15.31,15.5,15.5,3642.0,0.0,1.0
2021-02-23,15.83,16.0029,15.24,15.24,15.24,5331.0,0.0,1.0
2021-02-22,16.0,16.5,16.0,16.5,16.5,108190.0,0.0,1.0
2021-02-19,16.39,16.69,16.39,16.41,16.41,2136.0,0.0,1.0
2021-02-18,15.885,15.93,15.7,15.92,15.92,103872.0,0.0,1.0
2021-02-17,16.49,16.49,16.0795,16.23,16.23,7113.0,0.0,1.0
2021-02-16,16.845,16.99,16.61,16.7,16.7,35560.0,0.0,1.0
2021-02-12,16.95,17.0,16.7,16.85,16.85,14248.0,0.0,1.0
2021-02-11,17.2,17.69,16.95,17.0,17.0,260212.0,0.0,1.0
2021-02-10,17.57,17.57,16.95,16.95,16.95,8336.0,0.0,1.0
2021-02-09,17.84,17.9,17.0247,17.8,17.8,11733.0,0.0,1.0
2021-02-08,17.65,17.78,17.3,17.69,17.69,10079.0,0.0,1.0
2021-02-05,17.74,17.74,16.9668,17.62,17.62,21039.0,0.0,1.0
2021-02-04,17.8,17.8,17.01,17.07,17.07,24021.0,0.0,1.0
2021-02-03,16.08,17.0,16.08,17.0,17.0,14202.0,0.0,1.0
2021-02-02,15.49,16.03,15.21,16.03,16.03,21579.0,0.0,1.0
2021-02-01,15.0,15.06,14.6,14.88,14.88,33970.0,0.0,1.0
2021-01-29,14.96,15.215,14.55,14.71,14.71,53584.0,0.0,1.0
2021-01-28,14.95,15.3,14.95,15.23,15.23,88502.0,0.0,1.0
2021-01-27,15.92,15.97,14.63,14.71,14.71,58802.0,0.0,1.0
2021-01-26,16.98,17.17,16.04,16.25,16.25,108564.0,0.0,1.0
2021-01-25,17.17,17.27,16.5,16.88,16.88,52546.0,0.0,1.0
2021-01-22,17.4366,18.42,17.4366,18.0,18.0,7548.0,0.0,1.0
2021-01-21,18.99,19.0636,18.4,18.7,18.7,52133.0,0.0,1.0
2021-01-20,18.4,19.0,18.4,19.0,19.0,9843.0,0.0,1.0
2021-01-19,17.73,18.29,17.4201,17.9,17.9,26328.0,0.0,1.0
2021-01-15,16.0,16.65,15.4438,15.87,15.87,21600.0,0.0,1.0
2021-01-14,16.8,16.8,16.04,16.07,16.07,11228.0,0.0,1.0
2021-01-13,16.03,17.25,16.03,16.84,16.84,57491.0,0.0,1.0
2021-01-12,15.7431,16.0,15.4,15.75,15.75,42881.0,0.0,1.0
2021-01-11,14.98,15.6,14.8851,15.58,15.58,25686.0,0.0,1.0
2021-01-08,14.6899,14.94,14.3719,14.9,14.9,4350.0,0.0,1.0
2021-01-07,14.58,14.67,14.27,14.5,14.5,11110.0,0.0,1.0
2021-01-06,14.84,14.85,14.55,14.78,14.78,57383.0,0.0,1.0
2021-01-05,14.73,14.73,14.35,14.67,14.67,64642.0,0.0,1.0
2021-01-04,14.51,14.755,14.18,14.41,14.41,24512.0,0.0,1.0
2020-12-31,14.4,14.5,14.0084,14.5,14.5,5748.0,0.0,1.0
2020-12-30,13.2,13.8,13.2,13.8,13.8,8822.0,0.0,1.0
2020-12-29,12.7544,13.2,12.7544,12.87,12.87,10342.0,0.0,1.0
2020-12-28,12.85,13.045,12.6,12.76,12.76,25844.0,0.0,1.0
2020-12-24,12.8,12.88,12.71,12.8,12.8,17865.0,0.0,1.0
2020-12-23,12.71,13.1334,12.71,12.9,12.9,81311.0,0.0,1.0
2020-12-22,12.37,12.59,12.29,12.35,12.35,22063.0,0.0,1.0
2020-12-21,12.1,12.5,12.1,12.42,12.42,149366.0,0.0,1.0
2020-12-18,12.06,12.53,12.06,12.24,12.24,72471.0,0.0,1.0
2020-12-17,12.14,12.4,12.01,12.03,12.03,154228.0,0.0,1.0
2020-12-16,12.15,12.48,11.985,12.0,12.0,58745.0,0.0,1.0
2020-12-15,12.2,12.34,12.0,12.0,12.0,37794.0,0.0,1.0
2020-12-14,12.56,12.715,12.06,12.2,12.2,146197.0,0.0,1.0
2020-12-11,12.02,12.58,11.94,12.0,12.0,68822.0,0.0,1.0
2020-12-10,12.0,12.35,11.93,12.35,12.35,24434.0,0.0,1.0
2020-12-09,12.1,12.41,11.6,11.84,11.84,100113.0,0.0,1.0
2020-12-08,11.86,12.31,11.86,12.09,12.09,88178.0,0.0,1.0
2020-12-07,12.4035,12.4035,11.77,11.77,11.77,123015.0,0.0,1.0
2020-12-04,12.76,12.988,12.04,12.38,12.38,106343.0,0.0,1.0
2020-12-03,12.58,13.0,12.42,12.43,12.43,16025.0,0.0,1.0
2020-12-02,12.5,12.7,12.275,12.275,12.275,34605.0,0.0,1.0
2020-12-01,12.8,13.15,12.37,12.55,12.55,29207.0,0.0,1.0
2020-11-30,12.99,13.2001,12.57,12.8,12.8,37746.0,0.0,1.0
2020-11-27,13.25,13.25,12.715,12.95,12.95,4600.0,0.0,1.0
2020-11-25,13.23,13.3,12.9,13.015,13.015,20989.0,0.0,1.0
2020-11-24,13.23,13.6575,13.2,13.35,13.35,4341.0,0.0,1.0
