date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,8.58,8.75,8.5238,8.75,8.75,136487.0,0.0,1.0
2021-04-15,8.52,8.52,8.4672,8.5199,8.5199,52116.0,0.0,1.0
2021-04-14,8.57,8.57,8.43,8.49,8.49,73086.0,0.047,1.0
2021-04-13,8.49,8.61,8.4705,8.59,8.54270821132,53985.0,0.0,1.0
2021-04-12,8.43,8.62,8.429,8.53,8.48303853813,52903.0,0.0,1.0
2021-04-09,8.44,8.46,8.42,8.46,8.41342391941,24018.0,0.0,1.0
2021-04-08,8.55,8.55,8.38,8.42,8.37364413728,48208.0,0.0,1.0
2021-04-07,8.42,8.42,8.38,8.42,8.37364413728,43304.0,0.0,1.0
2021-04-06,8.41,8.42,8.37,8.4155,8.3691689118,42040.0,0.0,1.0
2021-04-05,8.42,8.43,8.39,8.3903,8.34410764906,51004.0,0.0,1.0
2021-04-01,8.39,8.43,8.38,8.41,8.36369919175,55481.0,0.0,1.0
2021-03-31,8.37,8.39,8.37,8.39,8.34380930069,24849.0,0.0,1.0
2021-03-30,8.39,8.39,8.33,8.37,8.32391940963,33395.0,0.0,1.0
2021-03-29,8.35,8.4,8.33,8.38,8.33386435516,47986.0,0.0,1.0
2021-03-26,8.32,8.34,8.32,8.34,8.29408457304,29966.0,0.0,1.0
2021-03-25,8.37,8.39,8.31,8.33,8.2841396275,58366.0,0.0,1.0
2021-03-24,8.36,8.41,8.356,8.39,8.34380930069,46585.0,0.0,1.0
2021-03-23,8.43,8.43,8.34,8.36,8.3139744641,51426.0,0.0,1.0
2021-03-22,8.39,8.39,8.36,8.38,8.33386435516,32262.0,0.0,1.0
2021-03-19,8.36,8.46,8.35,8.3928,8.34659388544,46415.0,0.0,1.0
2021-03-18,8.47,8.47,8.37,8.39,8.34380930069,57570.0,0.0,1.0
2021-03-17,8.37,8.47,8.37,8.41,8.36369919175,53586.0,0.0,1.0
2021-03-16,8.75,8.75,8.38,8.41,8.36369919175,50587.0,0.0,1.0
2021-03-15,8.4,8.44,8.35,8.41,8.36369919175,194819.0,0.0,1.0
2021-03-12,8.25,8.36,8.23,8.35,8.30402951857,82486.0,0.047,1.0
2021-03-11,8.39,8.4,8.29,8.3,8.20810348983,75415.0,0.0,1.0
2021-03-10,8.29,8.35,8.29,8.33,8.23777133377,49157.0,0.0,1.0
2021-03-09,8.3,8.3699,8.285,8.3,8.20810348983,24792.0,0.0,1.0
2021-03-08,8.28,8.3,8.2601,8.28,8.1883249272,25158.0,0.0,1.0
2021-03-05,8.3,8.3145,8.23,8.27,8.17843564589,76975.0,0.0,1.0
2021-03-04,8.3,8.3599,8.27,8.3,8.20810348983,34122.0,0.0,1.0
2021-03-03,8.35,8.36,8.31,8.32,8.22788205246,44284.0,0.0,1.0
2021-03-02,8.31,8.37,8.31,8.37,8.27732845902,36601.0,0.0,1.0
2021-03-01,8.37,8.37,8.3,8.3399,8.24756172227,33544.0,0.0,1.0
2021-02-26,8.27,8.31,8.23,8.3,8.20810348983,50394.0,0.0,1.0
2021-02-25,8.3,8.32,8.25,8.25,8.15865708326,22965.0,0.0,1.0
2021-02-24,8.27,8.31,8.2672,8.29,8.19821420852,7424.0,0.0,1.0
2021-02-23,8.25,8.28,8.24,8.28,8.1883249272,22898.0,0.0,1.0
2021-02-22,8.34,8.34,8.18,8.3,8.20810348983,209506.0,0.0,1.0
2021-02-19,8.32,8.34,8.25,8.3342,8.24192483192,50381.0,0.0,1.0
2021-02-18,8.23,8.3453,8.2,8.34,8.24766061508,117788.0,0.0,1.0
2021-02-17,8.32,8.32,8.22,8.23,8.13887852064,50850.0,0.0,1.0
2021-02-16,8.28,8.36,8.28,8.31,8.21799277114,61645.0,0.0,1.0
2021-02-12,8.26,8.33,8.26,8.32,8.22788205246,54550.0,0.0,1.0
2021-02-11,8.21,8.29,8.21,8.27,8.17843564589,50469.0,0.047,1.0
2021-02-10,8.33,8.33,8.29,8.3,8.1617188723,68831.0,0.0,1.0
2021-02-09,8.25,8.31,8.25,8.3,8.1617188723,45930.0,0.0,1.0
2021-02-08,8.25,8.27,8.25,8.26,8.12238528737,49037.0,0.0,1.0
2021-02-05,8.24,8.29,8.23,8.27,8.1322186836,55251.0,0.0,1.0
2021-02-04,8.24,8.2662,8.24,8.24,8.10271849491,26315.0,0.0,1.0
2021-02-03,8.27,8.27,8.23,8.24,8.10271849491,61539.0,0.0,1.0
2021-02-02,8.27,8.29,8.25,8.29,8.15188547606,26199.0,0.0,1.0
2021-02-01,8.27,8.27,8.22,8.27,8.1322186836,31756.0,0.0,1.0
2021-01-29,8.23,8.25,8.18,8.24,8.10271849491,132757.0,0.0,1.0
2021-01-28,8.2,8.27,8.19,8.25,8.11255189114,79846.0,0.0,1.0
2021-01-27,8.24,8.24,8.16,8.23,8.09288509867,49490.0,0.0,1.0
2021-01-26,8.23,8.26,8.18,8.25,8.11255189114,72840.0,0.0,1.0
2021-01-25,8.2,8.2151,8.16,8.18,8.04371811752,44696.0,0.0,1.0
2021-01-22,8.22,8.24,8.1502,8.22,8.08305170244,72283.0,0.0,1.0
2021-01-21,8.21,8.2398,8.2,8.22,8.08305170244,49339.0,0.0,1.0
2021-01-20,8.2,8.25,8.2,8.22,8.08305170244,89614.0,0.0,1.0
2021-01-19,8.15,8.22,8.1,8.2,8.06338490998,134440.0,0.0,1.0
2021-01-15,8.17,8.17,8.1,8.11,7.97488434389,63722.0,0.0,1.0
2021-01-14,8.15,8.19,8.08,8.14,8.00438453259,209317.0,0.047,1.0
