date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.39,9.4099,9.37,9.37,9.37,117543.0,0.0,1.0
2021-04-15,9.4,9.42,9.39,9.4,9.4,154348.0,0.0,1.0
2021-04-14,9.41,9.424,9.39,9.4,9.4,57514.0,0.0205,1.0
2021-04-13,9.4,9.44,9.4,9.43,9.409479327,70299.0,0.0,1.0
2021-04-12,9.38,9.42,9.38,9.4,9.37954461016,137681.0,0.0,1.0
2021-04-09,9.37,9.4099,9.37,9.39,9.36956637121,143263.0,0.0,1.0
2021-04-08,9.37,9.4,9.37,9.4,9.37954461016,96585.0,0.0,1.0
2021-04-07,9.36,9.39,9.36,9.37,9.34960989332,112055.0,0.0,1.0
2021-04-06,9.35,9.39,9.35,9.37,9.34960989332,175623.0,0.0,1.0
2021-04-05,9.38,9.4,9.2,9.38,9.35958813226,740043.0,0.0,1.0
2021-04-01,9.39,9.4,9.3626,9.4,9.37954461016,101978.0,0.0,1.0
2021-03-31,9.36,9.39,9.36,9.37,9.34960989332,51767.0,0.0,1.0
2021-03-30,9.34,9.39,9.34,9.38,9.35958813226,79558.0,0.0,1.0
2021-03-29,9.37,9.39,9.35,9.35,9.32965341542,66036.0,0.0,1.0
2021-03-26,9.33,9.4,9.33,9.38,9.35958813226,167959.0,0.0,1.0
2021-03-25,9.32,9.34,9.32,9.33,9.30969693753,209717.0,0.0,1.0
2021-03-24,9.33,9.35,9.32,9.34,9.31967517648,159075.0,0.0,1.0
2021-03-23,9.33,9.35,9.32,9.32,9.29971869858,98843.0,0.0,1.0
2021-03-22,9.32,9.36,9.32,9.34,9.31967517648,93828.0,0.0,1.0
2021-03-19,9.3,9.34,9.3,9.32,9.29971869858,149648.0,0.0,1.0
2021-03-18,9.32,9.34,9.31,9.31,9.28974045964,126948.0,0.0,1.0
2021-03-17,9.33,9.35,9.29,9.34,9.31967517648,218902.0,0.0,1.0
2021-03-16,9.32,9.35,9.12,9.33,9.30969693753,90676.0,0.0,1.0
2021-03-15,9.32,9.3345,9.31,9.33,9.30969693753,80384.0,0.0,1.0
2021-03-12,9.35,9.35,9.3,9.32,9.29971869858,115615.0,0.0205,1.0
2021-03-11,9.33,9.36,9.32,9.36,9.31913356017,131850.0,0.0,1.0
2021-03-10,9.34,9.37,9.32,9.32,9.27930820307,193712.0,0.0,1.0
2021-03-09,9.32,9.35,9.31,9.32,9.27930820307,155265.0,0.0,1.0
2021-03-08,9.31,9.34,9.31,9.32,9.27930820307,192489.0,0.0,1.0
