date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,0.96,0.96,0.9399,0.9399,0.9399,7903.0,0.0,1.0
2021-04-15,0.88,0.9,0.7312,0.88,0.88,32949.0,0.0,1.0
2021-04-14,0.9,0.9,0.65,0.87,0.87,55033.0,0.0,1.0
2021-04-13,0.92,0.95,0.8,0.8898,0.8898,31980.0,0.0,1.0
2021-04-12,0.94,0.9401,0.7014,0.9,0.9,46550.0,0.0,1.0
2021-04-09,0.98,0.98,0.759751,0.9,0.9,42176.0,0.0,1.0
2021-04-08,0.615,0.85,0.615,0.85,0.85,17108.0,0.0,1.0
2021-04-07,0.6705,0.78,0.6701,0.78,0.78,14702.0,0.0,1.0
2021-04-06,0.6,0.6,0.565,0.6,0.6,17444.0,0.0,1.0
2021-04-05,0.57,0.62,0.561101,0.5787,0.5787,9744.0,0.0,1.0
2021-04-01,0.54,0.54,0.54,0.54,0.54,0.0,0.0,1.0
2021-03-31,0.5301,0.54,0.5301,0.54,0.54,2509.0,0.0,1.0
2021-03-30,0.6602,0.7,0.5899,0.59,0.59,92376.0,0.0,1.0
2021-03-29,0.8197,0.8197,0.76,0.76,0.76,461.0,0.0,1.0
2021-03-26,0.62,0.82,0.529401,0.82,0.82,102607.0,0.0,1.0
2021-03-25,0.615,0.7,0.55,0.7,0.7,191048.0,0.0,1.0
2021-03-24,0.63,0.849899,0.6299,0.849899,0.849899,125483.0,0.0,1.0
2021-03-23,0.5995,0.75,0.5995,0.68,0.68,19246.0,0.0,1.0
2021-03-22,0.71,0.71,0.67,0.7,0.7,20960.0,0.0,1.0
2021-03-19,0.7499,0.7595,0.67,0.7158,0.7158,23567.0,0.0,1.0
2021-03-18,0.79,0.79,0.6601,0.6699,0.6699,34754.0,0.0,1.0
2021-03-17,0.7,0.76,0.669899,0.7299,0.7299,30864.0,0.0,1.0
2021-03-16,0.79,0.8,0.7101,0.72,0.72,60527.0,0.0,1.0
2021-03-15,0.99,0.9905,0.76,0.7701,0.7701,47507.0,0.0,1.0
2021-03-12,0.81,0.98,0.75,0.88,0.88,68150.0,0.0,1.0
2021-03-11,0.9,0.9975,0.9,0.9975,0.9975,675.0,0.0,1.0
2021-03-10,0.95,1.035,0.9,0.9,0.9,35026.0,0.0,1.0
2021-03-09,0.951,0.952,0.95,0.95,0.95,7710.0,0.0,1.0
2021-03-08,0.8839,1.00005,0.87391,0.960101,0.960101,12717.0,0.0,1.0
2021-03-05,0.8,1.16,0.75,1.14,1.14,278228.0,0.0,1.0
2021-03-04,0.77,0.84,0.77,0.815,0.815,6400.0,0.0,1.0
2021-03-03,0.945,0.98,0.825,0.8501,0.8501,219598.0,0.0,1.0
2021-03-02,1.06,1.06,0.9101,0.9351,0.9351,106637.0,0.0,1.0
2021-03-01,1.11,1.2,1.06,1.1,1.1,132937.0,0.0,1.0
2021-02-26,1.57,1.57,1.06,1.1,1.1,78869.0,0.0,1.0
