date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,7.64,7.64,7.29,7.47,7.47,1095144.0,0.0,1.0
2021-04-15,7.43,7.67,7.39,7.61,7.61,1509830.0,0.0,1.0
2021-04-14,7.1,7.3866,7.08,7.21,7.21,1161272.0,0.0,1.0
2021-04-13,6.91,7.17,6.7526,7.16,7.16,892630.0,0.0,1.0
2021-04-12,7.5,7.506,6.78,6.87,6.87,1729617.0,0.0,1.0
2021-04-09,7.26,7.74,7.2,7.57,7.57,1354258.0,0.0,1.0
2021-04-08,7.2,7.3,7.12,7.26,7.26,525652.0,0.0,1.0
2021-04-07,7.06,7.3,7.01,7.19,7.19,913165.0,0.0,1.0
2021-04-06,7.3013,7.69,7.09,7.13,7.13,1216053.0,0.0,1.0
2021-04-05,7.23,7.3,7.08,7.24,7.24,1204588.0,0.0,1.0
2021-04-01,6.87,7.33,6.75,7.11,7.11,1378128.0,0.0,1.0
2021-03-31,6.55,6.77,6.45,6.74,6.74,1687166.0,0.0,1.0
2021-03-30,6.34,6.555,6.11,6.4,6.4,2515540.0,0.0,1.0
2021-03-29,7.06,7.075,6.0,6.24,6.24,8289527.0,0.0,1.0
2021-03-26,7.22,7.3,6.47,7.02,7.02,5847991.0,0.0,1.0
2021-03-25,7.03,7.225,6.77,7.2,7.2,2635326.0,0.0,1.0
2021-03-24,7.75,7.7968,7.02,7.14,7.14,3851945.0,0.0,1.0
2021-03-23,8.01,8.08,7.52,7.65,7.65,3125407.0,0.0,1.0
2021-03-22,8.26,8.335,7.88,8.09,8.09,3699932.0,0.0,1.0
2021-03-19,7.61,8.09,7.61,8.03,8.03,1923317.0,0.0,1.0
2021-03-18,8.0,8.12,7.52,7.66,7.66,2844727.0,0.0,1.0
2021-03-17,7.73,8.07,7.52,7.99,7.99,2777961.0,0.0,1.0
2021-03-16,7.77,8.09,7.64,7.83,7.83,1752008.0,0.0,1.0
2021-03-15,7.65,7.75,7.33,7.54,7.54,2881075.0,0.0,1.0
2021-03-12,7.68,7.89,7.48,7.66,7.66,1533775.0,0.0,1.0
2021-03-11,7.56,7.72,7.52,7.72,7.72,951941.0,0.0,1.0
2021-03-10,7.57,7.6399,7.34,7.49,7.49,1038664.0,0.0,1.0
2021-03-09,7.16,7.59,7.16,7.5,7.5,1251598.0,0.0,1.0
2021-03-08,7.07,7.494,6.98,7.07,7.07,1516625.0,0.0,1.0
2021-03-05,7.15,7.17,6.39,7.12,7.12,3445072.0,0.0,1.0
2021-03-04,7.43,7.6069,6.9156,7.09,7.09,2594239.0,0.0,1.0
2021-03-03,7.57,7.85,7.39,7.545,7.545,2556190.0,0.0,1.0
2021-03-02,7.36,7.54,7.27,7.36,7.36,1692300.0,0.0,1.0
2021-03-01,7.6,7.6499,7.31,7.36,7.36,1903407.0,0.0,1.0
2021-02-26,7.72,8.06,7.26,7.41,7.41,3148420.0,0.0,1.0
2021-02-25,8.85,9.0,7.67,7.735,7.735,4978162.0,0.0,1.0
2021-02-24,9.1,9.14,8.72,8.93,8.93,2160030.0,0.0,1.0
2021-02-23,8.9,9.07,8.2,9.01,9.01,2654072.0,0.0,1.0
2021-02-22,9.19,9.59,9.09,9.24,9.24,1705111.0,0.0,1.0
2021-02-19,8.76,9.08,8.63,9.02,9.02,1772673.0,0.0,1.0
2021-02-18,8.98,9.25,8.61,8.73,8.73,1558886.0,0.0,1.0
2021-02-17,9.18,9.3,8.65,9.07,9.07,2417282.0,0.0,1.0
2021-02-16,9.13,9.68,8.82,9.48,9.48,3378718.0,0.0,1.0
2021-02-12,8.84,8.99,8.45,8.63,8.63,1566173.0,0.0,1.0
2021-02-11,9.43,9.48,8.5,8.78,8.78,3305701.0,0.0,1.0
2021-02-10,9.5,9.83,9.02,9.45,9.45,2060276.0,0.0,1.0
2021-02-09,9.6,9.7339,9.16,9.39,9.39,2784324.0,0.0,1.0
2021-02-08,9.92,9.969,9.42,9.58,9.58,2819494.0,0.0,1.0
2021-02-05,9.23,9.6,8.88,9.42,9.42,2065986.0,0.0,1.0
2021-02-04,8.9,9.85,8.7,9.1,9.1,3345478.0,0.0,1.0
2021-02-03,8.58,8.94,8.41,8.66,8.66,2403739.0,0.0,1.0
2021-02-02,7.81,8.37,7.63,8.21,8.21,1790524.0,0.0,1.0
2021-02-01,7.55,7.7,7.3611,7.66,7.66,1357148.0,0.0,1.0
2021-01-29,7.64,7.74,7.3,7.43,7.43,1913060.0,0.0,1.0
2021-01-28,7.71,8.12,7.44,7.59,7.59,2158349.0,0.0,1.0
2021-01-27,7.17,8.43,6.92,7.74,7.74,4776810.0,0.0,1.0
2021-01-26,7.26,7.29,7.02,7.2,7.2,2004980.0,0.0,1.0
2021-01-25,7.44,7.47,7.02,7.1,7.1,3350683.0,0.0,1.0
2021-01-22,7.53,7.56,7.39,7.43,7.43,1528299.0,0.0,1.0
2021-01-21,7.51,7.5392,7.365,7.46,7.46,1770343.0,0.0,1.0
2021-01-20,7.5,7.62,7.4,7.55,7.55,2238318.0,0.0,1.0
2021-01-19,7.585,7.6,7.45,7.49,7.49,1686279.0,0.0,1.0
2021-01-15,7.51,7.63,7.41,7.49,7.49,1729963.0,0.0,1.0
2021-01-14,7.54,7.59,7.47,7.51,7.51,1129652.0,0.0,1.0
2021-01-13,7.66,7.66,7.44,7.5,7.5,1514080.0,0.0,1.0
2021-01-12,7.59,7.73,7.45,7.69,7.69,1410747.0,0.0,1.0
2021-01-11,7.66,7.83,7.47,7.54,7.54,1738581.0,0.0,1.0
2021-01-08,7.25,7.69,7.17,7.61,7.61,4744780.0,0.0,1.0
2021-01-07,7.1,7.2637,6.92,7.08,7.08,2222215.0,0.0,1.0
2021-01-06,6.81,6.95,6.7,6.81,6.81,1598798.0,0.0,1.0
2021-01-05,6.86,6.97,6.74,6.75,6.75,1481765.0,0.0,1.0
2021-01-04,6.88,6.925,6.62,6.86,6.86,2369945.0,0.0,1.0
2020-12-31,6.95,7.1,6.725,6.78,6.78,1394542.0,0.0,1.0
2020-12-30,6.83,6.955,6.73,6.88,6.88,2147889.0,0.0,1.0
2020-12-29,7.3,7.32,6.61,6.71,6.71,4743647.0,0.0,1.0
2020-12-28,7.67,7.74,7.26,7.28,7.28,3323907.0,0.0,1.0
2020-12-24,7.85,7.86,7.59,7.66,7.66,1675928.0,0.0,1.0
2020-12-23,8.11,8.125,7.69,7.82,7.82,2285077.0,0.0,1.0
2020-12-22,7.56,8.14,7.48,7.99,7.99,3023877.0,0.0,1.0
2020-12-21,7.42,7.57,7.25,7.45,7.45,2185074.0,0.0,1.0
2020-12-18,7.61,7.65,7.51,7.54,7.54,2040832.0,0.0,1.0
2020-12-17,7.59,7.68,7.55,7.6,7.6,1767129.0,0.0,1.0
2020-12-16,7.65,7.74,7.51,7.57,7.57,1884034.0,0.0,1.0
2020-12-15,7.65,7.88,7.555,7.63,7.63,1730635.0,0.0,1.0
