date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,105.17,106.5994,102.525,104.79,104.79,143523.0,0.0,1.0
2021-04-15,104.64,105.35,101.48,104.63,104.63,177913.0,0.0,1.0
2021-04-14,102.92,105.92,102.92,103.7,103.7,152580.0,0.0,1.0
2021-04-13,103.13,104.31,99.12,102.57,102.57,233247.0,0.0,1.0
2021-04-12,106.51,109.0,101.28,103.27,103.27,204624.0,0.0,1.0
2021-04-09,105.66,107.71,104.3,106.96,106.96,135552.0,0.0,1.0
2021-04-08,102.3,106.49,101.3766,104.56,104.56,293910.0,0.0,1.0
2021-04-07,109.06,109.06,99.805,100.79,100.79,203486.0,0.0,1.0
2021-04-06,101.8,109.76,100.525,108.02,108.02,351304.0,0.0,1.0
2021-04-05,103.36,103.58,97.745,101.1,101.1,242072.0,0.0,1.0
2021-04-01,99.72,103.2,98.845,100.21,100.21,355659.0,0.0,1.0
2021-03-31,93.81,100.7,93.81,99.12,99.12,368173.0,0.0,1.0
2021-03-30,90.86,93.94,89.82,92.88,92.88,173844.0,0.0,1.0
2021-03-29,91.16,94.0,88.98,90.85,90.85,222926.0,0.0,1.0
2021-03-26,95.8,96.66,90.4,92.15,92.15,154589.0,0.0,1.0
2021-03-25,90.36,96.03,88.36,95.36,95.36,223870.0,0.0,1.0
2021-03-24,96.0,96.95,91.04,91.38,91.38,287182.0,0.0,1.0
2021-03-23,98.8,100.33,94.5,95.74,95.74,239528.0,0.0,1.0
2021-03-22,103.95,104.5,99.86,100.01,100.01,190324.0,0.0,1.0
2021-03-19,100.69,103.66,99.47,102.69,102.69,233714.0,0.0,1.0
2021-03-18,101.67,105.73,99.71,100.58,100.58,349997.0,0.0,1.0
2021-03-17,99.12,102.805,98.5,102.31,102.31,130619.0,0.0,1.0
2021-03-16,103.83,106.23,100.635,101.31,101.31,197545.0,0.0,1.0
2021-03-15,104.08,104.5,101.33,103.25,103.25,246898.0,0.0,1.0
2021-03-12,99.39,105.01,99.0,104.93,104.93,423063.0,0.0,1.0
2021-03-11,100.47,102.725,98.47,99.49,99.49,543571.0,0.0,1.0
2021-03-10,95.85,100.45,95.082,98.0,98.0,344515.0,0.0,1.0
2021-03-09,96.53,99.88,95.8325,95.99,95.99,460346.0,0.0,1.0
2021-03-08,101.37,102.05,92.88,94.39,94.39,375315.0,0.0,1.0
2021-03-05,100.94,102.1713,92.66,101.44,101.44,276770.0,0.0,1.0
2021-03-04,105.0,108.16,96.69,98.91,98.91,496832.0,0.0,1.0
2021-03-03,114.42,114.42,105.31,105.63,105.63,185533.0,0.0,1.0
2021-03-02,118.9,118.98,113.985,114.2,114.2,145042.0,0.0,1.0
2021-03-01,114.01,118.42,113.37,118.37,118.37,128643.0,0.0,1.0
2021-02-26,111.88,114.51,109.51,113.13,113.13,204178.0,0.0,1.0
2021-02-25,115.01,117.99,109.8,110.87,110.87,221925.0,0.0,1.0
2021-02-24,115.22,116.0,113.39,115.0,115.0,176220.0,0.0,1.0
2021-02-23,115.87,116.93,112.01,115.43,115.43,400208.0,0.0,1.0
2021-02-22,119.06,123.11,118.0,118.67,118.67,382659.0,0.0,1.0
2021-02-19,116.64,125.0,116.46,119.41,119.41,570176.0,0.0,1.0
2021-02-18,116.17,119.64,104.41,118.98,118.98,651184.0,0.0,1.0
2021-02-17,110.31,120.9699,104.64,116.85,116.85,1435262.0,0.0,1.0
2021-02-16,97.29,99.6608,95.33,97.49,97.49,287508.0,0.0,1.0
2021-02-12,96.25,98.28,95.06,98.1,98.1,82810.0,0.0,1.0
2021-02-11,98.1,99.15,93.68,96.75,96.75,114116.0,0.0,1.0
2021-02-10,99.91,101.27,96.44,97.11,97.11,79441.0,0.0,1.0
2021-02-09,99.94,101.16,98.59,99.73,99.73,161139.0,0.0,1.0
2021-02-08,97.51,101.45,97.5,100.13,100.13,205940.0,0.0,1.0
2021-02-05,91.96,97.04,91.06,97.04,97.04,609801.0,0.0,1.0
2021-02-04,93.86,94.16,90.98,91.16,91.16,158884.0,0.0,1.0
2021-02-03,93.61,95.04,92.45,92.57,92.57,84162.0,0.0,1.0
2021-02-02,93.31,94.83,92.65,93.61,93.61,153889.0,0.0,1.0
2021-02-01,91.0,94.0,90.65,92.27,92.27,248728.0,0.0,1.0
2021-01-29,94.42,94.74,87.785,90.635,90.635,256168.0,0.0,1.0
2021-01-28,96.91,97.35,94.0,94.99,94.99,160744.0,0.0,1.0
2021-01-27,93.82,97.73,92.45,96.05,96.05,271170.0,0.0,1.0
2021-01-26,97.54,97.74,95.23,96.46,96.46,98768.0,0.0,1.0
2021-01-25,99.02,99.23,94.94,96.9,96.9,127960.0,0.0,1.0
2021-01-22,96.65,98.315,95.45,97.95,97.95,181820.0,0.0,1.0
2021-01-21,98.83,100.34,96.28,97.5,97.5,207781.0,0.0,1.0
2021-01-20,95.87,100.47,95.8425,98.96,98.96,220988.0,0.0,1.0
2021-01-19,97.08,97.08,92.67,94.89,94.89,359487.0,0.0,1.0
2021-01-15,93.54,95.09,91.23,94.26,94.26,182033.0,0.0,1.0
2021-01-14,90.32,94.16,89.31,94.01,94.01,164463.0,0.0,1.0
2021-01-13,90.4,91.56,89.5,90.05,90.05,81751.0,0.0,1.0
2021-01-12,88.28,91.215,88.2,90.7,90.7,242634.0,0.0,1.0
2021-01-11,88.5,89.67,86.71,88.15,88.15,189207.0,0.0,1.0
