date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,6.36,6.8,6.16,6.8,6.8,38443.0,0.0,1.0
2021-04-15,6.66,6.7799,6.31,6.75,6.75,53714.0,0.0,1.0
2021-04-14,6.6,7.097,6.3,6.49,6.49,124216.0,0.0,1.0
2021-04-13,6.81,6.92,6.6,6.66,6.66,86523.0,0.0,1.0
2021-04-12,6.82,6.872,6.72,6.8,6.8,95118.0,0.0,1.0
2021-04-09,6.99,7.13,6.8001,6.93,6.93,10988.0,0.0,1.0
2021-04-08,6.97,7.1,6.72,7.09,7.09,30504.0,0.0,1.0
2021-04-07,6.7,7.03,6.7,6.9,6.9,28276.0,0.0,1.0
2021-04-06,6.82,6.915,6.52,6.65,6.65,39577.0,0.0,1.0
2021-04-05,7.17,7.17,6.78,6.94,6.94,26610.0,0.0,1.0
2021-04-01,7.0,7.27,6.805,7.03,7.03,37717.0,0.0,1.0
2021-03-31,6.7,6.97,6.7,6.85,6.85,80317.0,0.0,1.0
2021-03-30,6.52,7.01,6.52,6.67,6.67,57225.0,0.0,1.0
2021-03-29,6.4,6.99,6.4,6.7,6.7,67423.0,0.0,1.0
2021-03-26,6.99,7.315,6.28,6.32,6.32,78333.0,0.0,1.0
2021-03-25,6.59,6.9948,6.35,6.77,6.77,242999.0,0.0,1.0
2021-03-24,9.29,9.34,7.5229,7.62,7.62,273789.0,0.0,1.0
2021-03-23,9.38,11.37,8.41,8.98,8.98,1527864.0,0.0,1.0
2021-03-22,7.55,10.1691,7.2,8.55,8.55,2372590.0,0.0,1.0
2021-03-19,7.65,7.9494,7.5,7.65,7.65,56763.0,0.0,1.0
2021-03-18,8.77,10.44,7.4188,8.0,8.0,868613.0,0.0,1.0
2021-03-17,7.09,10.7,6.68,9.29,9.29,1524569.0,0.0,1.0
2021-03-16,6.9,7.18,6.6,7.0,7.0,75669.0,0.0,1.0
2021-03-15,6.98,6.98,6.73,6.81,6.81,11913.0,0.0,1.0
2021-03-12,6.64,6.85,6.6,6.81,6.81,6814.0,0.0,1.0
2021-03-11,6.98,6.98,6.7,6.7,6.7,5925.0,0.0,1.0
2021-03-10,6.66,6.9,6.66,6.7,6.7,12087.0,0.0,1.0
2021-03-09,6.05,6.53,5.97,6.49,6.49,34456.0,0.0,1.0
2021-03-08,5.99,6.19,5.99,6.01,6.01,12325.0,0.0,1.0
2021-03-05,6.6,6.6965,5.6901,5.91,5.91,36366.0,0.0,1.0
2021-03-04,6.94,6.94,5.57,5.645,5.645,30015.0,0.0,1.0
2021-03-03,7.12,7.12,6.88,6.9,6.9,8631.0,0.0,1.0
2021-03-02,7.0499,7.07,6.96,7.02,7.02,5991.0,0.0,1.0
2021-03-01,6.95,7.08,6.94,7.0651,7.0651,15074.0,0.0,1.0
2021-02-26,7.24,7.24,6.89,6.95,6.95,44272.0,0.0,1.0
2021-02-25,7.7,7.7012,7.19,7.25,7.25,44857.0,0.0,1.0
2021-02-24,7.81,7.965,7.8,7.81,7.81,10633.0,0.0,1.0
2021-02-23,8.35,8.35,7.68,7.81,7.81,59522.0,0.0,1.0
2021-02-22,8.8,8.8713,8.587,8.63,8.63,36326.0,0.0,1.0
2021-02-19,8.7,8.72,8.5,8.57,8.57,28100.0,0.0,1.0
2021-02-18,8.68,8.73,8.59,8.67,8.67,24628.0,0.0,1.0
2021-02-17,8.93,8.94,8.69,8.73,8.73,34269.0,0.0,1.0
2021-02-16,9.13,9.13,8.81,8.94,8.94,42430.0,0.0,1.0
2021-02-12,8.63,9.08,8.6,9.07,9.07,35155.0,0.0,1.0
2021-02-11,8.84,8.875,8.58,8.7,8.7,58553.0,0.0,1.0
2021-02-10,8.99,9.09,8.8,8.92,8.92,49008.0,0.0,1.0
2021-02-09,8.98,9.02,8.95,8.98,8.98,33612.0,0.0,1.0
2021-02-08,9.05,9.1209,8.91,8.95,8.95,130854.0,0.0,1.0
2021-02-05,9.1999,9.3899,8.9945,9.16,9.16,30802.0,0.0,1.0
2021-02-04,9.38,9.4299,9.07,9.07,9.07,46497.0,0.0,1.0
2021-02-03,9.92,9.92,9.38,9.41,9.41,26751.0,0.0,1.0
2021-02-02,9.34,9.8,9.11,9.8,9.8,81547.0,0.0,1.0
2021-02-01,9.1,9.4899,8.93,8.93,8.93,121561.0,0.0,1.0
2021-01-29,9.19,9.72,9.13,9.36,9.36,47425.0,0.0,1.0
2021-01-28,9.0,9.35,9.0,9.35,9.35,54756.0,0.0,1.0
2021-01-27,8.88,9.08,8.48,9.08,9.08,157186.0,0.0,1.0
2021-01-26,9.0,9.17,9.0,9.02,9.02,95719.0,0.0,1.0
2021-01-25,9.35,9.39,8.9,9.13,9.13,116756.0,0.0,1.0
2021-01-22,9.04,9.5,9.04,9.43,9.43,87552.0,0.0,1.0
2021-01-21,9.36,9.48,9.18,9.36,9.36,82568.0,0.0,1.0
2021-01-20,9.71,9.71,9.32,9.5,9.5,203330.0,0.0,1.0
2021-01-19,9.7,9.89,9.5,9.7,9.7,379047.0,0.0,1.0
2021-01-15,9.0,10.5,8.88,10.1,10.1,996460.0,0.0,1.0
2021-01-14,10.15,10.25,8.89,9.19,9.19,690500.0,0.0,1.0
2021-01-13,11.11,11.72,10.13,10.15,10.15,772994.0,0.0,1.0
2021-01-12,10.5,15.06,10.06,10.1,10.1,2926735.0,0.0,1.0
