date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.88,9.9547,9.88,9.88,9.88,1069.0,0.0,1.0
2021-04-15,9.9,9.94,9.87,9.9,9.9,22954.0,0.0,1.0
2021-04-14,10.1,10.1,9.865,9.87,9.87,101983.0,0.0,1.0
2021-04-13,10.0,10.07,9.85,10.03,10.03,1581114.0,0.0,1.0
2021-04-12,9.81,9.8499,9.74,9.8499,9.8499,251187.0,0.0,1.0
2021-04-09,9.88,9.89,9.87,9.89,9.89,17857.0,0.0,1.0
2021-04-08,9.81,9.81,9.7937,9.7937,9.7937,1693.0,0.0,1.0
2021-04-07,9.82,9.87,9.71,9.83,9.83,15868.0,0.0,1.0
2021-04-06,9.78,9.78,9.78,9.78,9.78,205.0,0.0,1.0
2021-04-05,9.76,9.76,9.76,9.76,9.76,100.0,0.0,1.0
2021-04-01,9.7597,9.7597,9.7597,9.7597,9.7597,153.0,0.0,1.0
